"","rownames(res)","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"4500","4500",5.73836269401687,-5.928192547498,3.914258948588,-1.51451210187218,0.129896006810595,NA
"30010","30010",2.66400618061832,-4.82751620872874,1.68284008844618,-2.86867198010843,0.00412199037474317,NA
"388381","388381",2.44467877693943,-4.69714502315466,3.92433337512733,-1.19692813381388,0.231334567310391,NA
"6696","6696",3.67808589794571,-4.26562342923266,1.60926673582029,-2.65066277347636,0.00803340070693258,NA
"107986939","107986939",1.76048075082533,-4.2253304485582,1.80407934198862,-2.34209790568338,0.0191756839349762,NA
"109616964","109616964",3.43212134414207,-4.14182644830244,1.523702583121,-2.71826437402156,0.0065625378853563,NA
"644314","644314",1.64081303958281,-4.11744394088004,1.88065586681329,-2.18936596191674,0.0285702515693119,NA
"107986181","107986181",1.60405076479317,-4.09015559336764,1.99164005464813,-2.05366204792978,0.0400084122105331,NA
"401258","401258",1.58148106340248,-4.07394324411607,1.858246474029,-2.19235892603798,0.0283535999848461,NA
"105373554","105373554",1.55933830910921,-4.0569732455065,1.89800670742329,-2.13749152183671,0.0325580345619911,NA
"100996266","100996266",1.55181507531231,-4.04993151346837,2.00887337041176,-2.01602130483628,0.0437977480375907,NA
"116937","116937",8.61142634691582,-3.99159098462068,1.03883779068911,-3.84236212852141,0.000121855867139508,NA
"105369746","105369746",2.84851196482943,-3.87031182964759,1.59301299548965,-2.42955446101553,0.0151173935265536,NA
"100287467","100287467",2.82059276646111,-3.87026430620841,1.5958056383706,-2.42527298635198,0.0152968793932761,NA
"100616144","100616144",2.38864310188998,-3.59115001673398,1.65076621065367,-2.17544434430358,0.0295968345203754,NA
"4498","4498",2.35711946072312,-3.55390370151425,1.69433042673824,-2.09752693183696,0.035946955657884,NA
"4161","4161",2.31225593340088,-3.55160268080701,1.80326781961629,-1.96953699399057,0.0488914587635879,NA
"9473","9473",2.29720946580709,-3.54167760524982,1.68688447640743,-2.09953773052234,0.0357695254163293,NA
"1233","1233",2.15365221054945,-3.42227231422677,1.70541896559342,-2.00670473547592,0.0447811115079711,NA
"22999","22999",2.0664010360008,-3.38731264931361,1.69083721909465,-2.00333456766899,0.045141389520874,NA
"107985828","107985828",3.63876867569516,-3.30597839931173,1.40502165013266,-2.35297327909472,0.0186239723655587,NA
"5126","5126",1.99679527741987,-3.30165269443624,1.73072238802381,-1.90767318738285,0.0564334692785492,NA
"51806","51806",1.96627539513485,-3.28343358206191,1.91489873606634,-1.71467739793221,0.0864043896924534,NA
"677823","677823",1.92459057046501,-3.27327472146406,1.72092051381405,-1.90204875541262,0.0571647809197663,NA
"100422943","100422943",10.6999684600399,-3.24632313026033,0.801060022808951,-4.05253418948179,5.06658169532615e-05,0.00317887719371771
"105375167","105375167",1.88650845305095,-3.22780087845506,1.86965992744918,-1.72641068627857,0.084273554629457,NA
"101927629","101927629",1.85021333364217,-3.1703493595581,1.78227082884526,-1.77882581493643,0.0752683235114334,NA
