"","HCT116 cells transfected with siRNA control for 48 h","HCT116 cells transfected with siRNA control for 48 h","HCT116 cells transfected with siRNA targeting KIF26B for 48 h","HCT116 cells transfected with siRNA targeting KIF26B for 48 h"
"653635",1235,1656,967,1371
"102466751",113,132,62,87
"100996442",121,119,112,152
"729737",1395,1800,1275,1402
"102723897",1222,1632,961,1288
"102465909",39,43,23,44
"112268260",20,17,17,19
"100132287",548,692,474,529
"113219467",341,581,231,279
"81399",7,15,16,7
"100133331",465,601,457,478
"107984841",140,174,143,154
"107984847",192,213,158,207
"107984849",56,85,68,91
"100288069",217,258,205,263
"105378580",33,33,40,21
"400728",14,19,19,7
"79854",12,26,14,17
"643837",556,730,545,361
"284600",53,40,78,94
"100130417",49,53,29,54
"107985728",58,104,28,41
"148398",600,802,547,593
"26155",6387,8595,6614,6669
"339451",2093,2753,1411,2587
"84069",434,576,348,608
"84808",81,70,75,80
"57801",1710,2310,1300,3074
"9636",1985,2478,1496,2505
"375790",6991,9025,5825,8847
"100288175",298,329,246,445
"112267874",106,135,87,166
"105378948",166,210,152,314
"401934",196,260,95,224
"54991",567,700,417,449
"554210",5,9,15,16
"8784",650,858,806,997
"51150",3364,4338,3587,3369
"126792",581,695,680,335
"388581",121,129,76,115
"118424",1403,1921,1218,1041
"101928895",55,97,51,151
"6339",145,196,157,340
"116983",1600,1992,1205,1882
"109623456",11,13,8,23
"126789",656,737,657,599
"54973",2558,3400,2427,2378
"102465435",21,19,12,19
"80772",385,498,491,235
"83756",33,49,42,38
"1855",4976,6152,4329,4957
"102466740",19,18,14,23
"54587",185,247,323,385
"54998",2300,3247,2009,1521
"81669",5173,6973,4870,5424
"148413",419,643,660,277
"55052",1306,1782,1153,615
"107984868",11,16,10,6
"102724312",31,53,60,28
"107985729",28,57,41,42
"64856",937,1221,994,492
"219293",66,72,57,47
"83858",1877,2427,2147,2248
"55210",2030,2778,2219,1998
"339453",26,42,25,19
"29101",1288,1510,1373,1189
"643988",153,195,215,168
"105378586",35,46,47,34
"142678",1734,2349,2203,1729
"8510",57,82,72,41
"984",2026,2601,1730,1716
"728661",1594,1973,2205,943
"8511",11,21,13,8
"728642",1533,2106,1351,1327
"9906",609,877,996,443
"112268218",123,165,166,128
"65220",1784,2389,2052,1770
"2782",9133,12096,6065,7779
"105378949",24,49,48,69
"163688",37,42,110,42
"339456",142,207,225,191
"85452",83,112,151,144
"107984872",6,7,11,23
"105378589",11,9,3,10
"2563",407,443,405,315
"5590",1006,1365,1001,909
"100506504",77,94,86,89
"199990",1341,1688,1245,946
"112268219",308,411,218,167
"105378593",17,29,28,12
"6497",2013,2559,2835,1500
"79906",119,204,269,167
"100129534",11,12,51,28
"11079",2106,2539,2079,1586
"5192",364,462,536,365
"9651",133,157,89,110
"55229",1078,1460,779,1045
"127281",839,1122,1028,671
"79258",210,265,248,215
"440556",15,26,38,25
"63976",464,520,384,323
"27237",1165,1491,1089,1164
"1953",2194,2819,2181,3530
"105378608",6,10,16,8
"127262",953,1229,1634,919
"49856",1004,1345,770,959
"7161",657,843,523,366
"105378610",17,15,12,12
"57212",15,8,11,8
"388588",32,43,48,35
"57470",1625,2112,1885,1527
"9731",904,1187,1367,1014
"1677",332,400,389,234
"339448",708,913,669,719
"261734",775,929,728,845
"8514",670,966,746,959
"26038",992,1316,843,921
"6146",10178,13767,11473,11282
"107985733",131,222,199,60
"102724450",16,22,45,39
"388591",1191,1366,1335,710
"23463",2103,2635,2207,1420
"148645",43,57,20,26
"387509",360,491,605,250
"11332",3323,4325,2817,2322
"54626",627,906,1115,696
"83715",2804,3315,2979,3002
"8718",493,636,600,699
"57449",2153,2728,2076,2568
"79707",1530,2063,1403,816
"3104",610,797,637,689
"9903",1125,1452,1864,1788
"107984913",7,17,23,5
"148479",1204,1500,1068,929
"90326",726,909,729,662
"55735",1513,1993,1755,1200
"23261",1185,1470,804,812
"105376689",56,106,53,78
"9341",2033,2554,2460,2145
"8863",147,201,163,142
"10911",37,48,41,27
"3604",77,69,46,5
"11315",4330,5721,4575,3717
"54206",33659,41909,33294,41008
"102724539",9,7,17,16
"50651",853,1005,906,893
"473",1932,2544,1749,1400
"2023",75475,98065,67439,95965
"102465436",13,26,14,15
"100505975",14,11,39,17
"80045",516,711,548,393
"106614088",157,208,322,178
"102724571",10,19,20,33
"9563",1487,1817,2113,1619
"80176",612,827,558,491
"84275",622,797,648,484
"199953",762,938,952,523
"107985734",25,28,37,17
"5293",830,1097,913,912
"101929074",107,139,148,107
"22883",5572,7083,5647,4283
"56998",662,796,874,627
"105376717",79,77,101,73
"84328",764,946,666,608
"64802",348,430,404,213
"113391335",13,6,25,9
"116362",376,494,373,348
"10277",1752,2355,1357,1517
"23095",3028,3963,3336,3321
"105376725",9,23,11,17
"5226",3766,4672,3904,3104
"100526739",161,184,185,100
"378708",171,205,184,103
"1325",22,17,20,8
"1676",2026,2728,3278,2031
"5195",647,929,766,548
