"","HCT116 cells transfected with siRNA control for 48 h","HCT116 cells transfected with siRNA control for 48 h","HCT116 cells transfected with siRNA targeting KIF26B for 48 h","HCT116 cells transfected with siRNA targeting KIF26B for 48 h"
"653635",1284.07267107315,1352.40708955736,955.616344710735,1600.3117110289
"102466751",117.490050065802,107.800565109645,61.2701275822808,101.551509014963
"100996442",125.807929716479,97.1838427882403,110.681520793798,177.423326095108
"729737",1450.43026408667,1470.00770604061,1259.99052689368,1636.49673148251
"102723897",1270.5561166408,1332.80698681015,949.686977525353,1503.42923691118
"102465909",40.5496632970468,35.1168507554146,22.7292408772977,51.3593838696364
"112268260",20.7946991266907,13.8834061126058,16.7998736919157,22.1779157618885
"100132287",569.774756071324,565.136295877834,468.420007645179,617.479865159947
"113219467",354.549620110076,474.485820671997,228.280636637208,325.665184082467
"81399",7.27814469434174,12.2500642170051,15.8116458276854,8.17081107016943
"100133331",483.476754695558,490.819239628003,451.620133953264,557.949670220141
"107984841",145.562893886835,142.100744917259,141.316584584938,179.757843543728
"107984847",199.62911161623,173.950911881472,156.140002548393,241.622555932153
"107984849",58.2251575547339,69.4170305630288,67.1994947676629,106.220543912203
"100288069",225.622485524594,210.701104532487,202.586712167219,306.989044493509
"105378580",34.3112535590396,26.9501412774112,39.5291145692134,24.5124332105083
"400728",14.5562893886835,15.5167480082064,18.7763294203764,8.17081107016943
"79854",12.4768194760144,21.2334446428088,13.8351900992247,19.8433983132686
"643837",578.092635722001,596.169791894247,538.584186005533,421.380399475881
"284600",55.1059526857303,32.6668379120135,77.0817734099662,109.722320085132
"100130417",50.9470128603921,43.2835602334179,28.6586080626797,63.0319711127356
"107985728",60.304627467403,84.9337785712352,27.6703801984494,47.8576076967067
"148398",623.84097380072,654.970100135871,540.560641733994,692.184423515782
"26155",6640.78716610867,7019.28679634391,6536.13909401944,7784.44843242285
"339451",2176.16526360818,2248.29511929433,1394.389516429,3019.69831978976
"84069",451.244971049188,470.402465932995,343.903296752157,709.693304380431
"84808",84.2185314630972,57.1669663460237,74.1170898172752,93.3806979447935
"57801",1777.94677533205,1886.50988941878,1284.69622349944,3588.15331852869
"9636",2063.87388832405,2023.71060864924,1478.38888488858,2923.98310439635
"375790",7268.78707973472,7370.45530389805,5756.42730914171,10326.7379339699
"100288175",309.841016987691,268.684741826311,243.104054600663,519.430132317914
"112267874",110.211905371461,110.250577953046,85.9758241880392,193.764948235447
"105378948",172.596002751533,171.500899038071,150.210635363011,366.519239433315
"401934",203.788051441569,212.334446428088,93.8816471018819,261.465954245422
"54991",589.529720241681,571.669663460237,412.09101938405,524.099167215154
"554210",5.19867478167267,7.35003853020305,14.823417963455,18.6761395889587
"8784",675.827721617447,700.70367321269,796.511658569651,1163.75694813699
"51150",3497.66839310937,3542.71857155787,3544.77334899422,3932.49464220012
"126792",604.086009630364,567.586308721235,671.994947676628,391.031672643823
"388581",125.807929716479,105.350552266244,75.1053176815055,134.234753295641
"118424",1458.74814373735,1568.82489072445,1203.66153863255,1215.11633200663
"101928895",57.1854225983993,79.2170819366328,50.3996210757471,176.256067370798
"6339",150.761568668507,160.067505768866,155.151774684163,396.867966265372
"116983",1663.57593013525,1626.80852801827,1190.81457639755,2196.78091915127
"109623456",11.4370845196799,10.6167223214044,7.90582291384269,26.8469506591281
"126789",682.066131355454,601.886488528849,649.265706799331,699.187975861641
"54973",2659.64201830374,2776.68122252115,2398.42902648703,2775.74124640899
"102465435",21.8344340830252,15.5167480082064,11.858734370764,22.1779157618885
"80772",400.297958188795,406.702132004569,485.219881337095,274.305800212831
"83756",34.3112535590396,40.0168764422166,41.5055702976741,44.3558315237769
"1855",5173.72114272064,5024.15967086768,4278.03842425312,5786.10149640427
"102466740",19.7549641703561,14.7000770604061,13.8351900992247,26.8469506591281
"54587",192.350966921889,201.717724106684,319.197600146399,449.394608859319
"54998",2391.39039956943,2651.7305675077,1985.34977923875,1775.40051967539
"81669",5378.54892911854,5694.64651901176,4812.66969880174,6331.211320657
"148413",435.64894670417,525.119419435618,652.230390392022,323.330666633848
"55052",1357.8938529729,1455.3076289802,1139.42672745758,717.8641154506
"107984868",11.4370845196799,13.0667351648054,9.88227864230336,7.00355234585951
"102724312",32.2317836463705,43.2835602334179,59.2936718538202,32.6832442806777
"107985729",29.1125787773669,46.5502440246193,40.5173424334438,49.0248664210166
"64856",974.231654085458,997.155227264213,982.298497044954,574.29129236048
"219293",68.6225071180792,58.8003082416244,56.3289882611292,54.8611600425662
"83858",1951.58251303992,1982.06039031142,2121.72522450253,2623.9976122487
"55210",2110.6619613591,2268.71189298934,2192.87763072712,2332.18293117122
"339453",27.0331088646979,34.3001798076142,24.7056966057584,22.1779157618885
"29101",1339.17862375888,1233.17313117851,1356.83685758825,1387.87062320449
"643988",159.079448319184,159.250834821066,212.468990809522,196.099465684066
"105378586",36.3907234717087,37.5668635988156,46.4467096188258,39.6867966265372
"142678",1802.90041428408,1918.360056383,2177.06598489943,2018.19033433185
"8510",59.2648925110684,66.9670177196278,71.1524062245842,47.8576076967067
"984",2106.50302153377,2124.16113522868,1709.63420511848,2003.01597091582
"728661",1657.33752039725,1611.29178001007,2179.04244062789,1100.72497702425
"8511",11.4370845196799,17.1500899038071,12.8469622349944,9.33806979447935
"728642",1593.91368806084,1719.90901606751,1335.09584457518,1548.95232715926
"9906",633.198588407731,716.220421220897,984.274952773415,517.095614869294
"112268218",127.887399629148,134.750706387056,164.045825462236,149.40911671167
"65220",1854.88716210081,1951.02689429501,2027.84357740065,2066.04794202856
"2782",9495.8993562033,9878.45178459289,5993.60199655699,9080.10561640686
"105378949",24.9536389520288,40.0168764422166,47.4349374830561,80.5408519773844
"163688",38.4701933843777,34.3001798076142,108.705065065337,49.0248664210166
"339456",147.642363799504,169.05088619467,222.351269451826,222.946416343194
"85452",86.2980013757663,91.4671461536379,149.222407498781,168.085256300628
"107984872",6.2384097380072,5.71669663460237,10.8705065065337,26.8469506591281
"105378589",11.4370845196799,7.35003853020305,2.96468359269101,11.6725872430992
"2563",423.172127228155,361.78522987555,400.232285013286,367.686498157624
"5590",1045.97336607254,1114.75584374746,989.216092094566,1061.03818039772
"100506504",80.0595916377591,76.7670690932318,84.9875963238089,103.886026463583
"199990",1394.28457644461,1378.54055988697,1230.34369096677,1104.22675319718
"112268219",320.238366551036,335.651759545939,215.433674402213,194.932206959756
"105378593",17.6754942576871,23.6834574862098,27.6703801984494,14.007104691719
"6497",2092.98646710142,2089.86095542107,2801.625995093,1750.88808646488
"79906",123.728459803809,166.600873351269,265.83329547796,194.932206959756
"100129534",11.4370845196799,9.80005137360406,50.3996210757471,32.6832442806777
"11079",2189.68181804053,2073.52753646506,2054.52572973487,1851.27233675553
"5192",378.46352410577,377.301977883756,529.69013522746,426.04943437312
"9651",138.284749192493,128.217338804653,87.9522799164999,128.398459674091
"55229",1120.83428292863,1192.33958378849,769.829506235432,1219.78536690387
"127281",872.337628364674,916.30480343198,1015.89824442879,783.230604011956
"79258",218.344340830252,216.41780116709,245.080510329123,250.960625726633
"440556",15.596024345018,21.2334446428088,37.5526588407528,29.181468107748
"63976",482.437019739224,424.668892856176,379.479499864449,377.024567952104
"27237",1211.29122412973,1217.6563831703,1076.18014414684,1358.68915509675
"1953",2281.17849419797,2302.19540184915,2155.32497188636,4120.42329681401
"105378608",6.2384097380072,8.16670947800339,15.8116458276854,9.33806979447935
"127262",990.867413386811,1003.68859484662,1614.76433015237,1072.71076764082
"49856",1043.89389615987,1098.42242479146,760.935455457359,1119.40111661321
"7161",683.105866311789,688.453608995685,516.843172992466,427.21669309743
"105378610",17.6754942576871,12.2500642170051,11.858734370764,14.007104691719
"57212",15.596024345018,6.53336758240271,10.8705065065337,9.33806979447935
"388588",33.2715186027051,35.1168507554146,47.4349374830561,40.8540553508472
"57470",1689.56930404362,1724.80904175431,1862.80952407418,1782.40407202125
"9731",939.920400526418,969.388415039002,1350.90749040287,1183.60034645026
"1677",345.192005503065,326.668379120135,384.420639185601,273.138541488521
"339448",736.13234908485,745.620575341709,661.124441170095,839.259022778832
"261734",805.794591159264,758.687310506514,719.429885159685,986.333622041881
"8514",696.622420744138,788.904135575127,737.217986715831,1119.40111661321
"26038",1031.41707668386,1074.73896730525,833.076089546173,1075.04528508944
"6146",10582.4223855729,11243.1089383673,11337.9382863146,13169.0129276645
"107985733",136.205279279824,181.300950411675,196.657344981837,70.0355234585951
"102724450",16.6357593013525,17.9667608516074,44.4702538903651,45.5230902480868
"388591",1238.32433299443,1115.57251469526,1319.2841987475,828.753694260042
"23463",2186.56261317152,2151.92794745389,2181.01889635635,1657.50738852008
"148645",44.7086031223849,46.5502440246193,19.7645572846067,30.3487268320579
"387509",374.304584280432,400.985435369966,597.877857859353,291.81468107748
"11332",3455.03925989966,3532.10184923646,2783.83789353686,2710.37475784763
"54626",651.913817621753,739.903878707107,1101.87406861682,812.412072119704
"83715",2915.41681756203,2707.26419195812,2943.93080754217,3504.11069037838
