"","HT-29 cells treatment sample-3","HT-29 cells treatment sample-2","HT-29 cells treatment sample-1","HT-29 cells control sample-3","HT-29 cells control sample-2","HT-29 cells control sample-1"
"DDX11L1",0,0,0,0,0,1
"WASH7P",131,122,154,123,162,154
"MIR6859-1",0,1,1,2,1,1
"MIR1302-2HG",0,0,1,2,1,1
"MIR1302-2",0,0,0,0,0,0
"FAM138A",1,0,0,0,0,1
"OR4F5",0,0,0,0,0,0
"LOC124903816",0,1,0,2,0,0
"LOC124900384",20,12,5,11,7,10
"LOC729737",35,36,27,55,44,34
"LOC124903814",12,10,11,10,10,4
"DDX11L17",1,0,1,0,0,1
"WASH9P",109,85,105,114,84,106
"MIR6859-2",0,1,0,1,0,0
"LOC127239154",7,2,4,15,13,5
"LOC124903815",0,0,0,0,0,0
"LOC124900618",2,0,2,3,0,2
"LOC112268260",28,24,30,23,15,31
"OR4F29",0,0,0,0,0,0
"LOC100132287",20,12,13,34,12,18
"LOC124904706",0,0,0,0,1,0
"LOC105378947",9,8,13,2,4,6
"LOC101928626",0,0,0,0,0,0
"MIR12136",3999,2332,2969,2481,3522,3540
"OR4F16",2,0,1,1,0,0
"LOC100288069",84,60,58,122,53,51
"LINC01409",8,12,16,14,10,10
"LOC124903817",5,14,11,20,14,9
"FAM87B",4,1,3,3,3,3
"LINC00115",6,12,22,21,11,19
"LINC01128",250,241,217,357,346,195
"LOC107984850",0,0,1,1,1,0
"FAM41C",0,2,0,0,0,0
"LOC284600",84,84,77,96,60,63
"LINC02593",16,11,14,12,10,19
"LOC107985728",59,56,60,63,46,50
"SAMD11",92,102,127,103,133,137
"NOC2L",1733,1752,2010,1433,1707,2082
"KLHL17",178,160,217,162,156,190
"PLEKHN1",46,46,47,35,36,57
"PERM1",2,0,0,0,0,1
"HES4",161,214,225,151,200,295
"ISG15",349,359,453,398,495,657
"AGRN",3310,3050,3375,2606,3241,3500
"LOC100288175",104,163,121,95,94,158
"LOC105378948",5,11,13,11,5,13
"RNF223",63,75,86,29,37,85
"C1orf159",192,195,216,188,232,196
"LOC124903819",0,0,0,0,0,0
"LOC124903820",0,0,0,0,0,0
"LINC01342",0,0,0,0,0,0
"LOC124903818",0,0,0,0,0,0
"MIR200B",0,0,0,0,0,0
"MIR200A",0,0,0,0,0,0
"MIR429",0,0,0,0,0,0
"TTLL10-AS1",0,0,0,0,0,0
"TTLL10",0,0,0,0,0,0
"TNFRSF18",0,0,0,1,0,0
"TNFRSF4",0,0,0,0,0,0
