"","rownames(res)","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PRDM7","PRDM7",2.2673681726234,-4.62707398141466,1.61943398335223,-2.85721679857342,0.00427373820746164,0.999986944030967
"LOC101928093","LOC101928093",1.95119958484529,-4.4091743378452,1.66133480031905,-2.65399505084613,0.00795449935563622,0.999986944030967
"LOC124902503","LOC124902503",1.73136371841187,-4.23951514022464,2.38561841563563,-1.77711368777099,0.0755495365498103,0.999986944030967
"LINC03100_1","LINC03100_1",1.63640618149768,-4.15312176599787,1.75994898079744,-2.35979668235387,0.018284953407827,0.999986944030967
"CT47A11_1","CT47A11_1",1.59157130798678,-4.12164519319167,1.80936235611146,-2.27795453976924,0.0227292862646697,0.999986944030967
"LINC01730","LINC01730",1.56984146344658,-4.10239356545008,2.03518940099569,-2.01573060642073,0.0438281533420199,0.999986944030967
"SLC25A34","SLC25A34",2.24066062814291,-3.54461978023501,1.65905330707063,-2.13653157805622,0.0326361099070519,0.999986944030967
"LOC124901360","LOC124901360",2.21073008934787,-3.51903978662498,1.78121485913318,-1.97564025955718,0.0481955354761731,0.999986944030967
"LOC124904942","LOC124904942",2.15262942570932,-3.46360763805018,1.67333374851347,-2.06988452908879,0.0384631590521589,0.999986944030967
"PCDHGA9","PCDHGA9",2.09289021748256,-3.43664037253608,1.67006780049958,-2.05778494232872,0.0396107821377516,0.999986944030967
"LOC105373349","LOC105373349",2.07329336392315,-3.42176654836872,1.67417867565342,-2.04384788680529,0.0409685767406835,0.999986944030967
"LOC105372131","LOC105372131",2.05883412539604,-3.40571230599366,1.87721433280986,-1.8142373230743,0.0696411963517119,0.999986944030967
"LOC124909493","LOC124909493",2.04530497511067,-3.40539846003532,1.84335249658999,-1.84739406398665,0.064690048887155,0.999986944030967
"LOC124904932","LOC124904932",1.94312724451152,-3.31393787644285,1.73856428311459,-1.90613479675657,0.0566327191337468,0.999986944030967
"PRG4","PRG4",1.93762650678955,-3.31159970016492,1.6409416353814,-2.0181093762029,0.0435798713959301,0.999986944030967
"LOC124906020","LOC124906020",1.93487613792856,-3.309276417524,1.68288802324164,-1.96642698255678,0.0492493091320063,0.999986944030967
"LOC124902985","LOC124902985",1.91238848683806,-3.29841260609724,1.74004603687266,-1.89558927534205,0.0580143765096407,0.999986944030967
"LOC400627","LOC400627",1.91177110895786,-3.29457126278916,1.70783268360133,-1.92909486650756,0.0537190861830006,0.999986944030967
"SNORA20","SNORA20",1.89637232784942,-3.26149657567276,1.87532998755238,-1.73915875996286,0.0820068412419277,0.999986944030967
"LOC105369952","LOC105369952",1.82781504748763,-3.20713328246688,1.66607581979994,-1.92496238427612,0.054234064319601,0.999986944030967
"HELZ-AS1","HELZ-AS1",1.83371046907022,-3.2071235334695,1.66515689440634,-1.92601882996311,0.0541020227015024,0.999986944030967
"LOC105375457","LOC105375457",3.35555018534527,-3.1910480941724,1.39214693201502,-2.29217765796719,0.0218953936339565,0.999986944030967
"LOC124909437","LOC124909437",1.76439538215813,-3.16158156689858,1.71229158567871,-1.84640372781217,0.0648336063561338,0.999986944030967
"LOC105376485","LOC105376485",1.73814530046583,-3.14339682620458,1.91820075509169,-1.63872150392012,0.101271273461165,0.999986944030967
"LOC124902213","LOC124902213",1.73539493160484,-3.1422581850517,1.86701887929044,-1.68303503510683,0.0923683093338417,0.999986944030967
"LOC105372862","LOC105372862",1.74837922316949,-3.11958595593789,1.92895683696567,-1.61723989679579,0.105826507380276,0.999986944030967
"BTNL3","BTNL3",1.71587059720492,-3.10339409774815,1.90230387668156,-1.63138714891429,0.102808654810938,0.999986944030967
"LOC124904644","LOC124904644",1.62420828787243,-3.02848779275031,1.70187108866773,-1.77950481262425,0.0751570365832872,0.999986944030967
"LOC112268227","LOC112268227",1.61657455916966,-3.02725464385523,1.72421242068602,-1.75573183880137,0.0791342076588198,0.999986944030967
"PLA2G10","PLA2G10",1.62735334059404,-3.02575640166729,1.77436626083342,-1.7052603334816,0.0881458820219598,0.999986944030967
"LOC105369801","LOC105369801",1.60034545235143,-3.01223599009221,2.00720693481005,-1.50071023463122,0.133430524754259,0.999986944030967
"KLF8","KLF8",1.60699868048433,-3.0112556918361,1.74122078492452,-1.72939337613446,0.0837387147147598,0.999986944030967
"HLA-DOB_2","HLA-DOB_2",1.58074859879202,-2.99180231041624,1.94453114250036,-1.53857258699866,0.123908675170227,0.999986944030967
"FRMD3-AS1","FRMD3-AS1",1.57662304550054,-2.98923334723196,1.89902932963987,-1.57408487619243,0.115467828496198,0.999986944030967
"ARMC3","ARMC3",2.76370938217889,-2.89140241585454,1.44796372512837,-1.99687489795243,0.0458387746849881,0.999986944030967
"LOC105376675","LOC105376675",2.62433050677161,-2.78043159932759,1.43804122650526,-1.93348531883514,0.053176439916068,0.999986944030967
"LOC124905489","LOC124905489",2.44209046900693,-2.66573490451367,1.41559507189239,-1.88311965578552,0.0596841540325477,0.999986944030967
"LAPTM4A-DT","LAPTM4A-DT",2.43526495918259,-2.63492048014831,1.55295522575469,-1.69671374708683,0.0897507923831701,0.999986944030967
"LOC124904524","LOC124904524",3.51814033681296,-2.62081664717111,1.26696781677626,-2.068573970442,0.0385860826260029,0.999986944030967
"CFAP210","CFAP210",4.64918648167407,-2.59351070683763,1.10463170109394,-2.34785105684477,0.0188820701624767,0.999986944030967
"LOC105376626","LOC105376626",2.33814287011667,-2.58215231322205,1.71372336363947,-1.50674978704747,0.131874804697657,0.999986944030967
"LOC101929918","LOC101929918",2.2954725487575,-2.53391430908584,1.49842305267085,-1.69105400812494,0.0908264880865077,0.999986944030967
