"","HT.29.cells.treatment.sample.3","HT.29.cells.treatment.sample.2","HT.29.cells.treatment.sample.1","HT.29.cells.control.sample.3","HT.29.cells.control.sample.2","HT.29.cells.control.sample.1"
"WASH7P",126.286705136754,126.507222293429,154.24207499201,116.158765835269,151.6529147605,166.783599115521
"LOC124900384",19.2804129979777,12.4433333403372,5.00785957766267,10.3881823104712,6.55290372421912,10.8301038386702
"LOC729737",33.740722746461,37.3300000210117,27.0424417193784,51.9409115523561,41.1896805522344,36.8223530514786
"LOC124903814",11.5682477987866,10.369444450281,11.0172910708579,9.44380210042838,9.36129103459874,4.33204153546807
"WASH9P",105.078250838978,88.1402778273888,105.165051130916,107.659343944884,78.6348446906294,114.799100689904
"LOC127239154",6.74814454929219,2.07388889005621,4.00628766213013,14.1657031506426,12.1696783449784,5.41505191933508
"LOC112268260",26.9925781971688,24.8866666806745,30.047157465976,21.7207448309853,14.0419365518981,33.5733218998775
"LOC100132287",19.2804129979777,12.4433333403372,13.0204349019229,32.1089271414565,11.2335492415185,19.4941869096063
"LOC105378947",8.67618584908996,8.29555556022483,13.0204349019229,1.88876042008568,3.74451641383949,6.4980623032021
"MIR12136",3855.11857894564,2418.15444580554,2973.66701721609,2343.00730111628,3297.04670238567,3833.85675888924
"LOC100288069",80.9777345915063,62.2166667016862,58.0911711008869,115.214385625226,49.6148424833733,55.2335295772178
"LINC01409",7.71216519919108,12.4433333403372,16.0251506485205,13.2213229405997,9.36129103459874,10.8301038386702
"LOC124903817",4.82010324949442,14.5172222303935,11.0172910708579,18.8876042008568,13.1058074484382,9.74709345480315
"FAM87B",3.85608259959554,1.0369444450281,3.0047157465976,2.83314063012851,2.80838731037962,3.24903115160105
"LINC00115",5.78412389939331,12.4433333403372,22.0345821417157,19.8319844108996,10.2974201380586,20.5771972934733
"LINC01128",241.005162474721,249.903611251773,217.34110567056,337.143734985293,323.900669797116,211.187024854068
"LOC284600",80.9777345915063,87.1033333823607,77.121037496005,90.6605001641124,56.1677462075924,68.229654183622
"LINC02593",15.4243303983822,11.4063888953091,14.0220068174555,11.3325625205141,9.36129103459874,20.5771972934733
"LOC107985728",56.8772183440342,58.0688889215738,60.094314931952,59.4959532326988,43.0619387591542,54.1505191933508
"SAMD11",88.6898997906974,105.768333392867,127.199633272632,97.2711616344123,124.505170760163,148.372422589781
"NOC2L",1670.64778627477,1816.72666768924,2013.15955022039,1353.29684099139,1597.972379606,2254.82761921113
"KLHL17",171.595675682001,165.911111204497,217.34110567056,152.98959402694,146.03614013974,205.771972934733
"PLEKHN1",44.3449498953487,47.6994444712928,47.073880030029,33.0533073514993,33.7006477245555,61.7315918804199
"HES4",155.20732463372,221.906111236014,225.35368099482,142.601411716469,187.225820691975,319.48806324077
"ISG15",336.443206814711,372.263055765089,453.712077736237,375.86332359705,463.383906212637,711.53782220063
"AGRN",3190.90835116531,3162.68055733572,3380.3052149223,2461.05482737164,3033.99442431345,3790.53634353456
"LOC100288175",100.258147589484,169.021944539581,121.190201779436,89.7161199540696,87.9961357252281,171.115640650989
"LOC105378948",4.82010324949442,11.4063888953091,13.0204349019229,10.3881823104712,4.68064551729937,14.0791349902712
"RNF223",60.7333009436297,77.7708333771078,86.1351847357978,27.3870260912423,34.6367768280153,92.0558826286964
"C1orf159",185.091964780586,202.20416678048,216.339533755027,177.543479488054,217.181952002691,212.270035237935
"SDF4",2525.73410273508,2684.64916817776,3088.84778750233,1990.7534827703,2459.21115478909,3450.47108300031
"B3GALT6",403.924652307633,361.893611314808,393.617762804285,303.146047423751,405.343901798125,402.87986279853
"C1QTNF12",2.89206194969665,2.07388889005621,2.00314383106507,1.88876042008568,0.936129103459874,2.16602076773403
"UBE2J2",880.150853357682,991.318889446867,1072.68352153534,840.498386938126,889.32264828688,1206.47356762786
"LINC01786",42.4169085955509,22.8127777906183,38.0597327902363,25.4982656711566,24.3393566899567,24.9092388289414
"SCNN1D",21.2084542977755,29.0344444607869,33.0518732125736,14.1657031506426,22.467098483037,25.9922492128084
"ACAP3",234.257017925429,231.238611241267,239.375687812275,227.595630620324,266.796794486064,298.910865947297
"PUSL1",160.027427883215,241.608055691548,196.308095444376,121.825047095526,185.353562485055,281.582699805424
"INTS11",875.330750108187,969.543056101277,1107.73853857898,875.440454709711,991.360720564006,1173.98325611185
"CPTP",362.471764361981,433.442778021747,426.669636016859,374.918943387007,422.194225660403,595.655711126859
"TAS1R3",5.78412389939331,6.22166667016862,5.00785957766267,2.83314063012851,0.936129103459874,8.66408307093613
"DVL1",834.841882812434,864.811667153439,987.549908715077,714.895819002428,920.214908701056,1290.94837756948
"MXRA8",122.430622537158,110.953055618007,131.205920934762,81.2166980636841,85.1877484148485,101.8029760835
"AURKAIP1",741.331879772242,832.666389357567,1006.5797751102,725.2840013129,826.601998355068,1307.19353332749
"CCNL2",1056.56663228918,1103.3088895099,1102.73067900132,1203.14038759458,953.915556425611,931.388930125634
"MRPL20-AS1",216.904646227249,247.829722361717,282.443280180174,233.261911880581,286.455505658721,298.910865947297
"MRPL20",960.164567299289,1132.34333397069,1321.07335658741,905.660621431082,1025.99749739202,1619.10052388119
"MRPL20-DT",101.222168239383,93.3250000525293,115.180770286241,106.714963734841,93.6129103459874,133.210277215643
"VWA1",35.6687640462587,40.440833356096,42.0660204523664,21.7207448309853,26.2116148968765,58.4825607288189
"ATAD3C",117.610519287664,103.69444450281,127.199633272632,97.2711616344123,90.8045230356077,124.546194144707
"ATAD3B",509.002903146611,499.807222503546,597.938433572922,583.626969806474,610.356175455838,891.317545922554
"ATAD3A",832.913841512636,928.065278300153,1013.59077851892,904.716241221039,998.849753391685,1319.10664755003
"SSU72",1880.80428795272,2173.43555677891,2325.64998786654,1751.82528962946,1848.85497933325,2427.02627024598
"FNDC10",403.924652307633,418.925555791354,472.741944131356,308.812328684008,342.623251866314,522.011005023902
"LOC105378586",7.71216519919108,6.22166667016862,6.0094314931952,6.61066147029987,12.1696783449784,8.66408307093613
"MIB2",95.4380443399896,134.802777853653,104.163479215383,98.2155418444552,97.3574267598269,137.542318751111
"LOC124903821",2.89206194969665,1.0369444450281,5.00785957766267,10.3881823104712,1.87225820691975,8.66408307093613
"CDK11B",663.246207130432,657.422778147818,712.117631943631,702.618876271871,674.949083594569,744.02813371664
"SLC35E2B",893.647142456266,875.18111160372,806.265392003689,938.713928782581,981.063300425948,854.495192871076
"CDK11A",372.111970860969,400.260555780848,432.679067510054,422.137953889149,430.619387591542,493.852735043359
"SLC35E2A",378.860115410262,434.479722466775,341.536023196594,472.190105021419,352.920672004372,320.571073624637
"NADK",1381.4415913051,1482.83055639019,1573.46947930161,1322.13229405997,1502.4872110531,1835.70260065459
"GNB1",5927.76297622824,6304.62222577087,5787.08252794698,5890.09937003718,6228.06692531854,6016.12268238128
"GNB1-DT",21.2084542977755,14.5172222303935,26.0408698038459,8.49942189038554,8.42516193113886,10.8301038386702
"LOC124903822",1.92804129979777,2.07388889005621,2.00314383106507,5.66628126025703,2.80838731037962,1.08301038386702
"CALML6",2.89206194969665,5.18472222514052,2.00314383106507,2.83314063012851,2.80838731037962,4.33204153546807
"TMEM52",107.970312788675,101.620555612754,117.183914117306,80.2723178536412,103.910330484046,172.198651034856
"CFAP74",0.964020649898884,2.07388889005621,1.00157191553253,5.66628126025703,0,0
"GABRD",6.74814454929219,7.25861111519673,6.0094314931952,0,5.61677462075924,9.74709345480315
"PRKCZ",251.609389623609,317.3050001786,290.455855504435,255.927036921609,275.221956417203,338.982250150376
"PRKCZ-AS1",7.71216519919108,4.14777778011242,1.00157191553253,14.1657031506426,9.36129103459874,4.33204153546807
"FAAP20",257.393513523002,314.194166843515,375.5894683247,276.703401542552,300.497442210619,475.44155851762
"LOC112268219",30.8486607967643,34.2191666859274,45.070736198964,22.6651250410281,14.978065655358,30.3242907482765
"LOC105378593",5.78412389939331,10.369444450281,9.0141472397928,0,2.80838731037962,4.33204153546807
"SKI",896.539204405963,905.252500509535,816.281111159014,1012.37558516592,952.979427322151,884.819483619352
"LOC124903824",3.85608259959554,3.11083333508431,4.00628766213013,0.944380210042838,1.87225820691975,7.58107268706911
"MORN1",93.5100030401918,82.9555556022483,82.1288970736677,89.7161199540696,68.3374245525708,71.4786853352231
"LOC100129534",35.6687640462587,26.9605555707307,17.0267225640531,31.1645469314137,31.8283895176357,29.2412803644094
"RER1",2042.75975713574,2248.09555682093,2302.61383380929,1929.36876911752,2142.79951781965,2554.82149554229
"PEX10",340.299289414306,460.403333592478,494.776526273071,314.478609944265,375.387770487409,520.927994640035
"PLCH2",0.964020649898884,3.11083333508431,1.00157191553253,2.83314063012851,4.68064551729937,4.33204153546807
"PANK4",316.198773166834,335.970000189106,351.551742351919,236.09505251071,263.052278072225,397.464810879195
"PRXL2B",589.980637738117,591.058333666019,670.051611491265,471.245724811376,536.401976282508,728.865988342502
"MMEL1",26.9925781971688,14.5172222303935,19.0298663951181,6.61066147029987,10.2974201380586,10.8301038386702
"MMEL1-AS1",1.92804129979777,1.0369444450281,5.00785957766267,0,3.74451641383949,0
"TTC34",15.4243303983822,18.6650000105059,30.047157465976,21.7207448309853,14.0419365518981,11.9131142225372
"LOC124903825",4.82010324949442,4.14777778011242,6.0094314931952,1.88876042008568,3.74451641383949,3.24903115160105
"LOC124903826",0,4.14777778011242,3.0047157465976,1.88876042008568,2.80838731037962,2.16602076773403
"LOC124903827",10.6042271488877,17.6280555654778,21.0330102261832,7.5550416803427,11.2335492415185,12.9961246064042
"PRDM16",74.2295900422141,79.844722267164,70.1100340872773,81.2166980636841,54.2954880006727,61.7315918804199
"LOC107984909",0.964020649898884,2.07388889005621,0,1.88876042008568,4.68064551729937,4.33204153546807
"ARHGEF16",333.551144865014,341.154722414246,377.592612155765,254.038276501523,309.858733245218,411.543945869466
"MEGF6",799.173118766175,795.336389336555,901.41472397928,605.347714637459,523.296168834069,627.063012259002
"TPRG1L",1065.24281813827,1190.41222289226,1222.91930886522,970.822855924038,1113.05750401379,1518.38055818156
"WRAP73",421.277024005813,504.991944728687,518.814252245852,384.362745487435,477.425842764536,564.248409994716
"TP73",195.696191929474,225.016944571099,230.361540572483,215.318687889767,240.585179589188,299.993876331164
"GFOD3P",408.744755557127,438.627500246888,437.686927087717,363.586380866493,358.537446625132,396.381800495328
"CCDC27",1.92804129979777,2.07388889005621,5.00785957766267,1.88876042008568,0,4.33204153546807
"SMIM1",15.4243303983822,18.6650000105059,38.0597327902363,10.3881823104712,16.8503238622777,43.3204153546807
"LRRC47",782.784767717894,810.890556011977,818.284254990079,635.56788135883,792.901350630513,960.630210490044
"CEP104",632.397546333668,647.053333697537,523.822111823515,661.066147029987,702.096827594905,568.580451530184
"LOC124903829",3.85608259959554,11.4063888953091,4.00628766213013,5.66628126025703,4.68064551729937,7.58107268706911
"DFFB",126.286705136754,153.467777864159,107.168194961981,128.435708565826,139.483236415521,142.957370670446
"C1orf174",289.206194969665,342.191666859274,295.463715082097,293.702245323323,339.814864555934,371.472561666387
"LINC01134",5.78412389939331,7.25861111519673,9.0141472397928,7.5550416803427,3.74451641383949,7.58107268706911
