"","Gene","GSM1636497","GSM1636498","GSM1636499","GSM1636500","GSM1636505","GSM1636506","GSM1636507","GSM1636508"
"4","HEBP1",72,71,62,55,181,192,177,141
"5","KCNE4",0,0,0,0,0,0,0,0
"6","BPIFA3",0,0,0,0,0,0,0,0
"7","LOC100129869",0,0,0,0,0,0,0,0
"8","IRG1",0,1,0,0,0,0,0,0
"9","SNAR-G2",2362,2409,2183,1776,912,1096,829,659
"10","LOC100506844",2,2,2,2,2,3,3,3
"11","CKLF",1,5,5,4,0,0,0,0
"12","MGST2",219,241,290,247,120,133,138,120
"13","CLK1",8,11,9,9,8,7,10,9
"14","OCLM",0,0,0,0,0,0,0,0
"15","CASC2",0,0,0,0,0,0,0,0
"16","PWRN1",0,0,0,0,0,0,0,0
"17","MBNL3",18,17,17,17,18,19,21,19
"18","CYB5R4",10,10,11,11,10,10,13,10
"19","HOXC4",80,88,89,71,29,31,34,28
"20","AK3",164,159,190,158,111,116,116,103
"21","",0,0,0,0,0,0,0,0
"22","FAR1",37,38,42,30,24,29,28,29
"23","XLOC_l2_013153",0,0,0,0,0,0,0,0
"24","LOC100129203",1,1,1,1,1,1,1,1
"25","MAPK8",4,5,5,4,5,6,5,5
"26","THAP3",38,37,40,38,52,56,65,53
"27","XLOC_005939",0,0,0,0,0,0,0,0
"28","TMEM14B",127,132,158,141,79,84,84,76
"29","XLOC_005179",0,0,0,0,0,0,0,0
"30","PHLPP1",3,3,4,4,4,4,5,5
"31","KRT1",0,0,0,0,0,0,0,0
"32","SDC4",129,128,153,149,516,593,496,409
"33","XLOC_l2_015038",0,0,0,0,0,0,0,0
"34","",1,2,3,2,1,1,1,1
"35","",0,0,0,0,0,0,0,0
"36","DKFZp547G183",16,19,20,17,10,10,10,10
"37","",14,10,11,12,8,7,7,7
"38","LOC286087",0,1,1,0,0,0,0,0
"39","LOC389634",0,0,0,0,0,1,0,0
"40","UBAP2L",42,44,48,48,17,18,17,16
"41","TRAF4",157,159,193,169,125,135,143,121
"42","FAM75C2",1,1,1,1,1,1,1,1
