"","HT-29 cells control sample-1","HT-29 cells control sample-2","HT-29 cells control sample-3","HT-29 cells control sample-4","HT-29 cells treatment sample-1","HT-29 cells treatment sample-2","HT-29 cells treatment sample-3","HT-29 cells treatment sample-4"
"HEBP1",72,71,62,55,181,192,177,141
"KCNE4",0,0,0,0,0,0,0,0
"BPIFA3",0,0,0,0,0,0,0,0
"LOC100129869",0,0,0,0,0,0,0,0
"IRG1",0,1,0,0,0,0,0,0
"SNAR-G2",2362,2409,2183,1776,912,1096,829,659
"LOC100506844",2,2,2,2,2,3,3,3
"CKLF",1,5,5,4,0,0,0,0
"MGST2",219,241,290,247,120,133,138,120
"CLK1",8,11,9,9,8,7,10,9
"OCLM",0,0,0,0,0,0,0,0
"CASC2",0,0,0,0,0,0,0,0
"PWRN1",0,0,0,0,0,0,0,0
"MBNL3",18,17,17,17,18,19,21,19
"CYB5R4",10,10,11,11,10,10,13,10
"HOXC4",80,88,89,71,29,31,34,28
"AK3",164,159,190,158,111,116,116,103
"",0,0,0,0,0,0,0,0
"FAR1",37,38,42,30,24,29,28,29
"XLOC_l2_013153",0,0,0,0,0,0,0,0
"LOC100129203",1,1,1,1,1,1,1,1
"MAPK8",4,5,5,4,5,6,5,5
"THAP3",38,37,40,38,52,56,65,53
"XLOC_005939",0,0,0,0,0,0,0,0
"TMEM14B",127,132,158,141,79,84,84,76
"XLOC_005179",0,0,0,0,0,0,0,0
"PHLPP1",3,3,4,4,4,4,5,5
"KRT1",0,0,0,0,0,0,0,0
"SDC4",129,128,153,149,516,593,496,409
"XLOC_l2_015038",0,0,0,0,0,0,0,0
"DKFZp547G183",16,19,20,17,10,10,10,10
"LOC286087",0,1,1,0,0,0,0,0
"LOC389634",0,0,0,0,0,1,0,0
"UBAP2L",42,44,48,48,17,18,17,16
"TRAF4",157,159,193,169,125,135,143,121
"FAM75C2",1,1,1,1,1,1,1,1
"HAL",0,0,0,0,0,0,0,0
"FUCA1",84,97,91,82,223,252,239,207
"FCER1A",0,0,0,0,0,0,0,0
"XLOC_001975",0,0,0,1,1156,0,0,0
"SMNDC1",20,18,25,18,16,17,22,19
"LOC100507291",5,6,6,7,4,5,6,5
"DHX57",1,1,1,1,1,1,1,1
"TCERG1L",0,0,0,0,0,0,0,0
"XLOC_010597",0,0,0,0,0,0,0,0
"PAFAH1B1",85,82,97,87,78,79,111,87
"Q3AHP4",0,0,0,0,0,0,0,0
"MT1X",130,119,118,105,154,154,146,137
"LOC389831",26,27,32,25,22,23,24,23
"TMEM191B",156,152,164,155,262,264,259,229
"C17orf104",0,0,0,0,0,0,0,0
"RNF13",131,150,173,139,149,164,172,144
"PICALM",22,27,27,21,35,41,44,37
"TRIM78P",1,1,1,1,1,1,1,1
"SSFA2",137,144,166,120,84,97,112,98
"DNAJA4",63,69,69,53,39,40,54,46
"ACIN1",48,46,51,46,42,42,49,42
"PRKD1",0,0,0,0,0,0,0,0
"MAP3K9",17,20,21,20,34,35,40,34
"SORD",26,24,32,26,16,16,14,13
"XLOC_001602",0,0,0,0,0,0,0,0
"SCGB1D4",0,0,0,0,0,0,0,0
"LOC100287813",1,1,1,1,2,3,2,2
"ZNF346",59,65,79,60,63,66,83,70
"XLOC_000934",0,0,0,0,0,0,0,0
"PCDH9",0,0,0,0,0,0,0,0
"XLOC_014042",0,0,0,0,0,0,0,0
"FIG4",10,11,13,11,10,11,11,11
"ZSCAN21",5,5,6,5,8,8,9,7
"IFNG",0,0,0,0,0,0,0,0
"CISH",1,1,2,1,2,3,3,2
"SCXA",12,11,14,14,16,16,19,21
"TUBGCP3",23,27,28,23,9,11,11,9
"FAS",9,9,8,7,4,4,4,3
"XLOC_006644",1,2,2,2,1,1,1,1
"EFNB2",63,72,76,61,188,229,249,216
"CYP2S1",78,85,104,109,119,127,141,121
"HSP90AA1",386,431,408,356,212,224,253,200
"XLOC_001128",0,0,0,0,0,0,0,0
"APOA1",0,0,0,0,0,0,0,0
"MPRIP",3,3,3,2,8,9,8,8
"RASGRP3",0,0,0,0,0,0,0,0
"PRPF40B",1,2,1,1,3,2,2,2
"TPTE2P6",1,1,0,0,1,1,1,1
"EMX2",0,0,0,0,0,0,0,0
"XLOC_005512",0,0,0,0,0,0,0,0
"OGFOD2",116,122,125,112,136,151,137,114
"IZUMO2",0,0,0,0,0,0,0,0
"XLOC_004428",0,0,0,0,0,0,0,0
"HRAS",172,179,199,181,202,205,208,182
"XLOC_l2_008731",0,0,0,0,0,0,0,0
"XLOC_009428",1,1,1,1,1,1,1,1
"LOC389199",0,0,0,0,0,0,0,0
"SPAG5-AS1",1,1,1,1,2,1,1,1
"MSRB3",0,0,0,0,0,0,0,0
"THOC2",38,41,40,37,30,29,36,30
"XLOC_008342",0,0,0,0,0,0,0,0
"XLOC_005586",39,43,42,48,49,51,49,48
"LOC100294362",0,1,1,1,2,2,2,2
"XLOC_006364",0,0,0,0,0,0,0,0
"LOC100507013",0,0,0,0,0,0,0,0
"FLJ30838",1,1,1,1,1,1,1,1
"ISY1-RAB43",4,3,4,3,4,5,4,3
"TLN1",3,4,4,3,5,4,4,5
"MSH3",37,41,45,38,17,18,22,18
"IL25",0,0,0,0,0,0,0,0
