"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig","gene_name"
"TPRN",1564.51067859779,1.80555976347962,0.057905895043117,31.1809317882953,1.93236995294635e-213,2.59246752887283e-209,"yes","TPRN"
"TUFT1",784.299491579643,2.59644987202411,0.0895990253688273,28.9785503953423,1.22621358928553e-184,8.22544075692734e-181,"yes","TUFT1"
"CHKA",631.87992460821,2.63220597236943,0.0968366149572513,27.1819287934778,1.06233146010441e-162,4.7507462895869e-159,"yes","CHKA"
"NEU1",633.662378754848,2.24705643785973,0.0863148480215918,26.0332548728769,2.0820708546606e-149,6.98326564653165e-146,"yes","NEU1"
"AREG",489.655868674567,2.46011585353874,0.096855716226339,25.3998003358911,2.53470667758026e-142,6.80112495728336e-139,"yes","AREG"
"AGPAT2",1823.58317718569,1.2950682687213,0.0525576543035951,24.6409069407939,4.60625648018094e-134,1.02995894896846e-130,"yes","AGPAT2"
"METRNL",613.986311237697,1.92211502895001,0.0788751529726361,24.36908147255,3.63932365594316e-131,6.97502373830477e-128,"yes","METRNL"
"EHD1",700.991606639073,1.80553517156212,0.074508741464924,24.2325281042641,1.01064106955425e-129,1.69484507364248e-126,"yes","EHD1"
"LMTK3",270.999254469338,2.9475800945946,0.123139666466029,23.9368854828575,1.26557774310599e-126,1.88655455572333e-123,"yes","LMTK3"
"SLC9A3R1",1033.97947630493,1.38439832179653,0.0587749212170983,23.5542352610384,1.13597417504391e-122,1.52402295323891e-119,"yes","SLC9A3R1"
"HES4",819.680820129995,3.07934950912583,0.131725767521918,23.3769714692568,7.33043135957625e-121,8.94046064727955e-118,"yes","HES4"
"CAPN5",488.35426693015,2.30184452524137,0.0985923907388948,23.3470809257218,1.47554547477412e-120,1.64965984079746e-117,"yes","CAPN5"
"ABTB2",317.201398503245,2.42170408658682,0.105194051248819,23.0213026101512,2.85245367481356e-117,2.94373219240759e-114,"yes","ABTB2"
"IER5",451.078016206805,2.08761322755502,0.0907231594303048,23.0108082728178,3.63341168184822e-117,3.48184650883398e-114,"yes","IER5"
"CEBPB",573.290020839247,1.91699990695641,0.0833822043205589,22.990516052881,5.79957999512218e-117,5.18714434763728e-114,"yes","CEBPB"
"MAP2K3",991.64049543108,1.48581506885916,0.0647122215047222,22.9603471231587,1.16143087169066e-116,9.73859785912617e-114,"yes","MAP2K3"
"RPUSD1",651.175930908164,1.52268144424201,0.0666744305968758,22.8375620250645,1.94266324504064e-115,1.53310412326266e-112,"yes","RPUSD1"
"MICA",643.700472706499,1.83088024400336,0.0811553149540853,22.5602013255596,1.06636382340774e-112,7.94796503046568e-110,"yes","MICA"
"PLA2G15",413.828814533562,1.97554394182835,0.0901744598830005,21.9080207898287,2.17845403417652e-106,1.53821785907959e-103,"yes","PLA2G15"
"C2CD2L",282.378401371647,2.30148022020902,0.107296291426258,21.4497648484967,4.5896631390848e-102,3.07874603369808e-99,"yes","C2CD2L"
"XLOC_006513",981.071989366887,1.68565975470125,0.0794546066501013,21.2153810303848,6.88665731467066e-100,4.39959021588674e-97,"yes","XLOC_006513"
"PRSS8",1327.86072645946,1.53442835141052,0.0727891397238573,21.0804572939278,1.2021645303724e-98,7.33101788158007e-96,"yes","PRSS8"
"FAM102A",608.863137511421,1.58432199869048,0.0753095818209747,21.0374557975467,2.97940376776204e-98,1.73789917166502e-95,"yes","FAM102A"
"LGALS1",163.951906591287,4.23184296532812,0.203433895394732,20.8020544320645,4.14662102680356e-96,2.31796115398319e-93,"yes","LGALS1"
"TNFRSF21",956.042510829341,1.32038930069806,0.0635856085121805,20.7655369130441,8.87302187130903e-96,4.76161845701927e-93,"yes","TNFRSF21"
"DAPK3",382.456223296122,1.82349741135119,0.0886894857404204,20.5604688777683,6.20307523918782e-94,3.20078682342091e-91,"yes","DAPK3"
"ATG2A",515.607265910649,1.84811096007836,0.0903713054731058,20.4501965574499,5.98336531001045e-93,2.97306774070741e-90,"yes","ATG2A"
"BBC3",268.605551812978,2.36431146807261,0.116350138513353,20.3206588172757,8.44356439636804e-92,4.04567356934549e-89,"yes","BBC3"
"LIPE",433.653999344479,1.63800609126933,0.0811679432916992,20.1804557913055,1.4539934120446e-90,6.72647435034152e-88,"yes","LIPE"
"TMEM184B",824.434621692036,1.2665280935123,0.0628486056414944,20.152047616409,2.58209764284674e-90,1.15471406588106e-87,"yes","TMEM184B"
"PPP1R15B",407.133698378756,1.84715589196726,0.0918665054099337,20.1069571953863,6.41397332289133e-90,2.77580213225516e-87,"yes","PPP1R15B"
"ASNS",1307.71930600968,2.18224936955751,0.109112925879703,19.9999161599189,5.51651353823523e-89,2.31279830090512e-86,"yes","ASNS"
"SPIRE2",262.834715175004,2.11486665871552,0.106599734256562,19.8393239295091,1.36278991022573e-87,5.54036043502679e-85,"yes","SPIRE2"
"EIF4A3",801.156570991796,1.29092376673013,0.0667375783161697,19.3432815409389,2.32216704071023e-83,9.16299794652014e-81,"yes","EIF4A3"
