"","rownames(res)","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ZNF84","ZNF84",223.518385190116,-6.13982478870006,1.67243974002966,-3.67117848359138,NA,NA
"HNRNPCL1","HNRNPCL1",3.21009477487439,-5.07026929431634,1.28450031589519,-3.94726979166429,7.90474642530424e-05,0.000363309619876265
"OR51E1","OR51E1",2.73967533509496,-4.84159676835395,1.26397113991761,-3.83046464863868,0.000127901508593348,0.000565752271443572
"KCNE3","KCNE3",81.532984274343,-4.71613133819586,0.329467551017927,-14.3144031138267,1.77884844211827e-46,1.72935005068541e-44
"LOC100288420","LOC100288420",23.8903878107499,-4.45838365367942,0.632458779059628,-7.04928732321239,1.79836469310698e-12,2.34697088742445e-11
"PHF15","PHF15",2.02691282267808,-4.40641773031193,1.35961966751857,-3.24091938031027,0.00119144874260557,0.00425006017835584
"LOC100505876","LOC100505876",1.90632799393304,-4.31825241790547,1.36899155073437,-3.15433094936855,0.00160866546746396,0.00555946829250294
"SET","SET",16.0134485160288,-4.28502440204501,0.710427416129692,-6.03161463755047,1.6232950753782e-09,1.54236025009022e-08
"NACAP1","NACAP1",10.6172133578667,-4.281616187912,0.854416718292349,-5.01115684682447,5.41037930399008e-07,3.61662425223373e-06
"NR0B2","NR0B2",65.2221996236884,-4.25266255307962,0.325842950188944,-13.0512645758138,6.2501266708063e-39,4.63269057544405e-37
"LOC283177","LOC283177",1.79857235750067,-4.23185954517095,1.36291961404071,-3.10499570302945,0.00190281788874469,NA
"BTN2A1","BTN2A1",1.785743165188,-4.22431418384209,1.3840666568222,-3.05210313608816,0.00227244006414097,NA
"CKLF","CKLF",1.78095465245682,-4.22102085409502,1.43388580994174,-2.94376360016181,0.00324247567101972,NA
"LINC00261","LINC00261",17.5237242196147,-4.19494296420725,0.678803805743166,-6.17990489846261,6.41402277347934e-10,6.41211099321899e-09
"C11orf92","C11orf92",14.4796448961936,-4.1363959475795,0.693670830921427,-5.96305302629632,2.47568036731435e-09,2.3033098341116e-08
"SETP20","SETP20",1.67319901602445,-4.12891986760989,1.39988086378756,-2.94947946958754,0.00318309720914882,NA
"FKSG2","FKSG2",1.66705761305734,-4.12476606225892,1.43159534505081,-2.88123740868445,0.00396117149612327,NA
"LOC100505899","LOC100505899",1.61702424687819,-4.07371945828929,2.17992305163798,-1.86874461244324,0.0616583540319848,NA
"PABPC3","PABPC3",122.073575906562,-4.0624535482348,0.332741887020411,-12.2090235906656,2.78207829983238e-34,1.62988482404154e-32
"PTPRO","PTPRO",2.74507716207532,-4.05093262388625,1.28708959599006,-3.14735868933053,0.00164752719492121,0.0056820629426897
"C9orf123","C9orf123",1.56354410297771,-4.02857805474315,1.4102687489802,-2.85660308197025,0.00428200936791133,NA
"SLC14A1","SLC14A1",2.65134145173171,-3.9957557146168,1.24597601447789,-3.20692827806252,0.00134160439627698,0.00473034548763519
"XLOC_006145","XLOC_006145",1.3505297899626,-3.82361567328885,2.62826562832893,-1.45480564524215,0.14572307490744,NA
"C19orf40","C19orf40",1.32047516887325,-3.78554146587521,1.47337639263531,-2.56929694597883,0.0101905093575995,NA
"MED29","MED29",1.31758593275645,-3.78333087011979,1.47314277485647,-2.56820379850039,0.0102227035506969,NA
"C15orf37","C15orf37",1.31758593275645,-3.78333087011979,1.47314277485647,-2.56820379850039,0.0102227035506969,NA
"DKFZp434L192","DKFZp434L192",1.22484105359414,-3.67531038255458,2.68291434955024,-1.36989478742424,0.170719747104596,NA
"XLOC_l2_000324","XLOC_l2_000324",1.20584828745039,-3.65422623461286,2.68988567471297,-1.3585061510106,0.174303132135003,NA
"XLOC_014404","XLOC_014404",1.19989034012822,-3.64752278308336,1.51448184185853,-2.40842952504945,0.0160213192059567,NA
"SEPT7","SEPT7",1.19510182739703,-3.64346193872645,1.51418370964631,-2.40622185770147,0.016118472770608,NA
"FLJ39639","FLJ39639",1.19510182739703,-3.64346193872645,1.51418370964631,-2.40622185770147,0.016118472770608,NA
"XLOC_007512","XLOC_007512",1.18508122881068,-3.63151508753283,2.14466883566619,-1.69327544986906,0.0904030488629726,NA
"TRPV4","TRPV4",1.13827068394817,-3.57887720430623,2.27770647311764,-1.57126356997511,0.116121439438066,NA
"XLOC_002695","XLOC_002695",1.1254414916355,-3.56115959173038,2.72092101803331,-1.30880667543389,0.190599845167509,NA
"TCP11","TCP11",1.1254414916355,-3.56115959173038,2.72092101803331,-1.30880667543389,0.190599845167509,NA
"DNAJA1P5","DNAJA1P5",43.6862618505361,-3.51820531251942,0.384260361470367,-9.15578515321502,5.39639420196283e-20,1.30446891195556e-18
"LINC00476","LINC00476",1.93837816504117,-3.51210476559384,1.32089628560623,-2.65888003764197,0.0078400873156905,0.022441350848582
"PA2G4","PA2G4",12.8461354057602,-3.50643099538213,0.630174090310759,-5.56422590089827,2.63318657569315e-08,2.14752772641333e-07
"STX19","STX19",10.7263317709611,-3.43062252023294,0.648664536702767,-5.2887468423527,1.23157204776863e-07,9.07844538069451e-07
"LOC729080","LOC729080",4.42566027615807,-3.38095550610212,1.0198823199116,-3.31504472633192,0.000916284626952081,0.00335687453718982
"MIR17HG","MIR17HG",7.38438364107182,-3.37448033332597,0.770812722808662,-4.37782127029527,1.19871586529222e-05,6.38680383191439e-05
"XLOC_006645","XLOC_006645",1.69039807734104,-3.30712411771717,1.35894222346719,-2.43360170918776,0.0149494347664382,NA
"CSNK1A1L","CSNK1A1L",1.68647936612645,-3.30023760891007,1.3689634839213,-2.41075649399848,0.0159194731604417,NA
"TPM3","TPM3",5.53836884888531,-3.27205910014214,0.867825174201146,-3.77041274834433,0.000162977776246549,0.000706237030401711
"B3GALT4","B3GALT4",28.8568468929666,-3.25671992534711,0.391254950569032,-8.32377947067664,8.52020576280331e-17,1.68098647814366e-15
"LOC100128320","LOC100128320",2.67797608133973,-3.20310680102383,1.24842120471834,-2.56572604575913,0.0102960110488008,0.0285100689846669
"XLOC_l2_007656","XLOC_l2_007656",5.16703733718783,-3.16234765700472,0.884980869126073,-3.57335143315309,0.000352441242493877,0.00142463142792945
"ANP32C","ANP32C",5.06443314422014,-3.12842997580763,0.88520465536359,-3.53413186075332,0.000409116919508804,0.00162357854101088
"PSIP1","PSIP1",6.15558274946796,-3.08660309621047,0.789434302880543,-3.90989229242745,9.23372843017124e-05,0.000419788887221882
"FLJ16734","FLJ16734",1.46733169649281,-3.07152351009998,1.40732377631833,-2.18252797386492,0.0290705890130164,NA
"XLOC_009631","XLOC_009631",1.45500689208458,-3.07004461289812,1.46634460575326,-2.09367197918735,0.0362892107051859,NA
"FLJ38717","FLJ38717",13.3351924648543,-3.05390829180368,0.535373759839606,-5.70425471117338,1.16853231351726e-08,9.92845441301305e-08
"FLJ35424","FLJ35424",2.40629745967679,-3.05033114918419,1.25121074390562,-2.43790357782787,0.0147727138481108,0.038777289960136
"LOC100652764","LOC100652764",8.34004682738157,-3.03071690967478,0.671594911415371,-4.51271571323793,6.40027852658138e-06,3.61085520238082e-05
"HNF1A-AS1","HNF1A-AS1",29.1700581520152,-2.99434088044225,0.361121782244758,-8.29177587081348,1.11570013826133e-16,2.16303945880261e-15
"LOC100652974","LOC100652974",9.15081207978886,-2.96502726961314,0.652152445713517,-4.54652480275393,5.45389454434895e-06,3.11491908075715e-05
"HOXB7","HOXB7",2.29444240609851,-2.95766765679765,1.26652391312277,-2.33526396631956,0.019529635345142,0.0491944400657952
"GINS3","GINS3",45.2247861597906,-2.94510648589476,0.286444776239912,-10.2815855975955,8.53123775486352e-25,2.80527170880512e-23
"EPC2","EPC2",31.1827669501585,-2.92093036904218,0.343062768518013,-8.5142738795592,1.6763739014916e-17,3.4707148553104e-16
"ARVCF","ARVCF",11.0665856048544,-2.91509678753156,0.606231200310868,-4.80855618456578,1.52024303118224e-06,9.49073080797627e-06
"FLJ45513","FLJ45513",4.35609621380094,-2.88276640428577,0.89600526597375,-3.21735431002504,0.00129378716630465,0.0045846404181572
"PRDM10","PRDM10",11.8384701372889,-2.8663254708758,0.548517840032394,-5.22558294677621,1.73607271400065e-07,1.24952529672923e-06
"NOX1","NOX1",24.4590179467497,-2.84830968069018,0.405142357975005,-7.03039221800132,2.05953766720705e-12,2.67480710002419e-11
"XLOC_l2_003065","XLOC_l2_003065",165.583847399312,-2.82965299285072,0.235981871195555,-11.9909761648844,3.9620822717647e-33,2.15203626550588e-31
"LOC728739","LOC728739",9.41051362048914,-2.82014883867162,0.61440806938417,-4.59002571613081,4.43191403635495e-06,2.57173696850078e-05
"PATZ1","PATZ1",4.12296723589235,-2.79129243994104,0.904314075291588,-3.08664048941294,0.00202432262431341,0.00682712728199815
"XLOC_010807","XLOC_010807",4.12106795927798,-2.79082440299824,0.904146574720014,-3.08669465884165,0.00202395379931438,0.00682712728199815
"HNF1A","HNF1A",4.12106795927798,-2.79082440299824,0.904146574720014,-3.08669465884165,0.00202395379931438,0.00682712728199815
"AKR1C4","AKR1C4",6.15181184924689,-2.78529603678325,0.756000187398738,-3.6842531036493,0.000229374234540103,0.000966787537100225
"CRYM-AS1","CRYM-AS1",1.22426276238836,-2.7808295204771,1.47040608240031,-1.89119832525287,0.0585978748376922,NA
