"","HT-29 cells control sample-1","HT-29 cells control sample-2","HT-29 cells control sample-3","HT-29 cells control sample-4","HT-29 cells treatment sample-1","HT-29 cells treatment sample-2","HT-29 cells treatment sample-3","HT-29 cells treatment sample-4"
"HEBP1",72.2150446903026,68.492182727182,55.821897985121,53.8930063581421,193.836778970518,194.847704622087,174.731969472472,154.441892565926
"SNAR-G2",2369.05466053465,2323.91081957439,1965.47102099224,1740.25416894655,976.680344868024,1112.25564721775,818.377416342821,721.824164545713
"LOC100506844",2.00597346361952,1.92935725992062,1.80070638661681,1.95974568575062,2.14184286155268,3.04449538472011,2.96155880461817,3.28599771416865
"CKLF",1.00298673180976,4.82339314980155,4.50176596654202,3.91949137150124,0,0,0,0
"MGST2",219.654094266337,232.487549820435,261.102426059437,242.028592190202,128.510571693161,134.972628722591,136.231705012436,131.439908566746
"CLK1",8.02389385447807,10.6114649295634,8.10317873977563,8.81885558587779,8.56737144621073,7.10382256434692,9.87186268206057,9.85799314250594
"MBNL3",18.0537611725757,16.3995367093253,15.3060042862429,16.6578383288803,19.2765857539741,19.2818041032273,20.7309116323272,20.8113188564014
"CYB5R4",10.0298673180976,9.64678629960309,9.90388512639243,10.7786012716284,10.7092143077634,10.148317949067,12.8334214866787,10.9533257138955
"HOXC4",80.2389385447807,84.8917194365072,80.1314342044479,69.570971844147,31.0567214925139,31.4597856421078,33.5643331190059,30.6693119989074
"AK3",164.4898240168,153.383902163689,171.067106728597,154.819909174299,118.872278816174,117.720488209177,114.513607111903,112.819254853124
"FAR1",37.1105090769611,36.6577879384918,37.8148341189529,29.3961852862593,25.7021143386322,29.4301220522944,27.6412155097696,31.7646445702969
"MAPK8",4.01194692723903,4.82339314980155,4.50176596654202,3.91949137150124,5.35460715388171,6.08899076944021,4.93593134103028,5.47666285694775
"THAP3",38.1134958087708,35.6931093085314,36.0141277323361,37.2351680292618,55.6879144003698,56.8305805147753,64.1671074333937,58.0526262836461
"TMEM14B",127.379314939839,127.337579154761,142.255804542728,138.162070845419,84.602793031331,85.245870772163,82.9236465293088,83.2452754256057
"PHLPP1",3.00896019542928,2.89403588988093,3.60141277323361,3.91949137150124,4.28368572310537,4.05932717962681,4.93593134103028,5.47666285694775
"SDC4",129.385288403459,123.47886463492,137.754038576186,146.001053588421,552.595458280592,601.795254379674,489.644389030204,447.991021698326
"DKFZp547G183",16.0477877089561,18.3288939692459,18.0070638661681,16.6578383288803,10.7092143077634,10.148317949067,9.87186268206057,10.9533257138955
"UBAP2L",42.1254427360099,42.4458597182536,43.2169532788033,47.0338964580149,18.2056643231978,18.2669723083206,16.782166559503,17.5253211422328
"TRAF4",157.468916894132,153.383902163689,173.768166308522,165.598510445927,133.865178847043,137.002292312405,141.167636353466,132.535241138135
"FUCA1",84.2508854720197,93.57382710615,81.9321405910647,80.3495731157754,238.815479063124,255.737612316489,235.937518101248,226.733842277637
"XLOC_001975",0,0,0,0.97987284287531,1237.98517397745,0,0,0
"SMNDC1",20.0597346361952,17.3642153392856,22.5088298327101,17.6377111717556,17.1347428924215,17.2521405134139,21.7180979005333,20.8113188564014
"LOC100507291",5.01493365904879,5.78807177976186,5.40211915985042,6.85910990012717,4.28368572310537,5.07415897453351,5.92311760923634,5.47666285694775
