"GeneSymbol","Log2FoldChange","DirectionalFoldChange"
"TPRN",1.80555976347962,3.49564762653608
"TUFT1",2.59644987202411,6.04796534131869
"CHKA",2.63220597236943,6.1997325151394
"NEU1",2.24705643785973,4.74713289361422
"AREG",2.46011585353874,5.50260913388549
"AGPAT2",1.2950682687213,2.45388607031581
"METRNL",1.92211502895001,3.78978243725562
"EHD1",1.80553517156212,3.49558804086971
"LMTK3",2.9475800945946,7.71453978487393
"SLC9A3R1",1.38439832179653,2.6106305795796
"HES4",3.07934950912583,8.45233242754635
"CAPN5",2.30184452524137,4.93087788784346
"ABTB2",2.42170408658682,5.35803530208014
"IER5",2.08761322755502,4.25044304242404
"CEBPB",1.91699990695641,3.77636943305197
"MAP2K3",1.48581506885916,2.80075360556607
"RPUSD1",1.52268144424201,2.87324585304289
"MICA",1.83088024400336,3.55754065566947
"PLA2G15",1.97554394182835,3.93276489189782
"C2CD2L",2.30148022020902,4.92963291451717
"XLOC_006513",1.68565975470125,3.21687472633936
"PRSS8",1.53442835141052,2.89673628871941
"FAM102A",1.58432199869048,2.99866840907975
"LGALS1",4.23184296532812,18.7893462427156
"TNFRSF21",1.32038930069806,2.49733489443348
"DAPK3",1.82349741135119,3.53938183648817
"ATG2A",1.84811096007836,3.60028461241146
"BBC3",2.36431146807261,5.14906851817865
"LIPE",1.63800609126933,3.11235384700678
"TMEM184B",1.2665280935123,2.40581897832482
"PPP1R15B",1.84715589196726,3.59790200276493
"ASNS",2.18224936955751,4.53860636917671
"SPIRE2",2.11486665871552,4.33149982414473
"EIF4A3",1.29092376673013,2.44684678531992
"GNAI2",1.24423146687436,2.36892326471629
"HKDC1",2.41942325294123,5.34957119034042
"NPIPL2",1.15049504210251,2.21990054355805
"SLC7A5",2.26645481274703,4.81139355880618
"EPAS1",2.20917436683701,4.62410567055842
"CNNM4",2.46673778192264,5.52792400298805
"PLCXD1",2.72693854271623,6.62049249663625
"SNHG12",1.56803222291958,2.9650002428162
"ANKRD11",1.04680657841381,2.06595177541585
"SGK223",1.86944961810568,3.65393157595725
"CDR2L",2.63482980243713,6.21101823078655
"C9orf89",1.27820059369435,2.42536283944274
"EXT1",2.71486370554702,6.56531260221294
"GADD45B",4.14819773110107,17.7309475454499
"XLOC_l2_014504",2.32447573640749,5.00883725319818
"ZDHHC8",1.12099656450069,2.17497160242924
"TRIM25",1.53897141801597,2.90587252881596
"TSC22D3",2.39180359884772,5.24813051598557
"NCEH1",1.88875986247704,3.70316764415654
"H1F0",2.05972926596102,4.16908060638906
"KLHL25",1.92012988107454,3.78457128403222
"ELF3",1.53764025122774,2.90319253279709
"PIDD",1.40076599032056,2.64041736328122
"CITED4",2.56374997239871,5.91242497800954
"MYO1E",1.7759137746413,3.42454845754646
"ERRFI1",2.23191567425805,4.6975733029645
"KRT80",2.43499445444314,5.407622545782
"MICALL2",1.51009376248833,2.84828549868401
"POR",1.81344745312175,3.51481182586467
"AZI1",1.54393502603584,2.91588743325308
"PLXNA3",1.80903263652568,3.50407252820545
"XLOC_l2_014191",2.74485648824831,6.70323024191732
"F11R",1.0737666584766,2.10492183178801
"TNFRSF10B",1.94007530917918,3.83725677820164
"TIMP2",2.42444039024923,5.36820732296759
"VAT1",1.4897934979638,2.80848772615104
"FAM82A2",1.45171162043673,2.73532379070184
"ACAP3",1.63256774452751,3.10064368169143
"CDKN2D",1.85043752130348,3.60609529310035
"TMEM45B",1.43889858434411,2.71113806480508
"SRSF6",-1.52440338459481,-2.87667728630603
"UBTD1",2.38679507625283,5.22994246823582
"FAM89B",1.54940652935682,2.92696709969539
"ARFGAP1",1.32595783626956,2.50699277126509
"CCNB2",-1.74717394933408,-3.35700328627232
"EMP1",1.8844833683011,3.69220682022221
