Official symbol for Interactor A,Official symbol for Interactor B,Organism ID for Interactor A,Organism ID for Interactor B,Interaction Throughput,Quantitative Score,Genes,Log2FoldChange,FoldChange,Regulation
CCL4,AMZ2,Homo sapiens,Homo sapiens,High Throughput,0.999664753,CCL4,5.23607385633261,37.6890586452678,UpRegulated
CCL4,PEX14,Homo sapiens,Homo sapiens,High Throughput,0.991465708,CCL4,5.23607385633261,37.6890586452678,UpRegulated
CCL4,ATP5S,Homo sapiens,Homo sapiens,High Throughput,0.999999987,CCL4,5.23607385633261,37.6890586452678,UpRegulated
CCL4,GCHFR,Homo sapiens,Homo sapiens,High Throughput,0.999999995,CCL4,5.23607385633261,37.6890586452678,UpRegulated
CCL4,AMZ2,Homo sapiens,Homo sapiens,High Throughput,0.990018907,CCL4,5.23607385633261,37.6890586452678,UpRegulated
CCL4,ATP5S,Homo sapiens,Homo sapiens,High Throughput,0.999999999,CCL4,5.23607385633261,37.6890586452678,UpRegulated
CCL4,PEX14,Homo sapiens,Homo sapiens,High Throughput,0.999095236,CCL4,5.23607385633261,37.6890586452678,UpRegulated
CSF3,SCARB1,Homo sapiens,Homo sapiens,High Throughput,0.985086031,CSF3,4.95007750589376,30.9116231458627,UpRegulated
CSF3,AHNAK2,Homo sapiens,Homo sapiens,High Throughput,0.97072927,CSF3,4.95007750589376,30.9116231458627,UpRegulated
CSF3,PTPRJ,Homo sapiens,Homo sapiens,High Throughput,0.999999874,CSF3,4.95007750589376,30.9116231458627,UpRegulated
CSF3,PTPRG,Homo sapiens,Homo sapiens,High Throughput,0.979340835,CSF3,4.95007750589376,30.9116231458627,UpRegulated
CSF3,NRN1,Homo sapiens,Homo sapiens,High Throughput,0.931757791,CSF3,4.95007750589376,30.9116231458627,UpRegulated
CCL5,NTMT1,Homo sapiens,Homo sapiens,High Throughput,0.943973615,CCL5,4.16399225097242,17.9261311417147,UpRegulated
CCL5,AK4,Homo sapiens,Homo sapiens,High Throughput,0.942770428,CCL5,4.16399225097242,17.9261311417147,UpRegulated
CCL5,GPD1L,Homo sapiens,Homo sapiens,High Throughput,0.908175879,CCL5,4.16399225097242,17.9261311417147,UpRegulated
CCL5,AK4,Homo sapiens,Homo sapiens,High Throughput,0.951429026,CCL5,4.16399225097242,17.9261311417147,UpRegulated
CCL5,C4A,Homo sapiens,Homo sapiens,High Throughput,0.996994267,CCL5,4.16399225097242,17.9261311417147,UpRegulated
CCL5,SPATA20,Homo sapiens,Homo sapiens,High Throughput,0.993144537,CCL5,4.16399225097242,17.9261311417147,UpRegulated
CCL5,NTMT1,Homo sapiens,Homo sapiens,High Throughput,0.990960426,CCL5,4.16399225097242,17.9261311417147,UpRegulated
CCL5,SPATA20,Homo sapiens,Homo sapiens,High Throughput,0.974397089,CCL5,4.16399225097242,17.9261311417147,UpRegulated
CCL5,C4A,Homo sapiens,Homo sapiens,High Throughput,0.963802585,CCL5,4.16399225097242,17.9261311417147,UpRegulated
TNF,PLXNA2,Homo sapiens,Homo sapiens,High Throughput,0.963544518,TNF,3.88465045591814,14.7705378510313,UpRegulated
TNF,GUF1,Homo sapiens,Homo sapiens,High Throughput,0.979527956,TNF,3.88465045591814,14.7705378510313,UpRegulated
TNF,INTS5,Homo sapiens,Homo sapiens,High Throughput,0.947637962,TNF,3.88465045591814,14.7705378510313,UpRegulated
TNFRSF1A,TNF,Homo sapiens,Homo sapiens,High Throughput,0.99997856,TNF,3.88465045591814,14.7705378510313,UpRegulated
TNF,HSPA13,Homo sapiens,Homo sapiens,High Throughput,0.988975416,TNF,3.88465045591814,14.7705378510313,UpRegulated
TNF,CAPNS1,Homo sapiens,Homo sapiens,High Throughput,0.910767142,TNF,3.88465045591814,14.7705378510313,UpRegulated
TNF,DAG1,Homo sapiens,Homo sapiens,High Throughput,0.997018043,TNF,3.88465045591814,14.7705378510313,UpRegulated
ICOS,TNF,Homo sapiens,Homo sapiens,High Throughput,0.996888163,TNF,3.88465045591814,14.7705378510313,UpRegulated
TNF,DAG1,Homo sapiens,Homo sapiens,High Throughput,0.995028814,TNF,3.88465045591814,14.7705378510313,UpRegulated
TNF,INTS5,Homo sapiens,Homo sapiens,High Throughput,0.90497788,TNF,3.88465045591814,14.7705378510313,UpRegulated
TNF,PTPRS,Homo sapiens,Homo sapiens,High Throughput,0.909522836,TNF,3.88465045591814,14.7705378510313,UpRegulated
TNF,MTX3,Homo sapiens,Homo sapiens,High Throughput,0.918782877,TNF,3.88465045591814,14.7705378510313,UpRegulated
TNF,GLS,Homo sapiens,Homo sapiens,High Throughput,0.914274149,TNF,3.88465045591814,14.7705378510313,UpRegulated
