#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ADM	CCL2	9606.ENSP00000436607	9606.ENSP00000225831	0	0	0	0	0.144	0	0	0.375	0.442
ADM	IL1B	9606.ENSP00000436607	9606.ENSP00000263341	0	0	0	0	0.109	0	0	0.468	0.505
ADM	CXCL8	9606.ENSP00000436607	9606.ENSP00000306512	0	0	0	0	0.124	0	0	0.394	0.446
ADM	PLAU	9606.ENSP00000436607	9606.ENSP00000361850	0	0	0	0	0.178	0	0	0.375	0.464
ADM	TNF	9606.ENSP00000436607	9606.ENSP00000398698	0	0	0	0	0.049	0	0	0.448	0.452
BDKRB2	CXCL8	9606.ENSP00000450482	9606.ENSP00000306512	0	0	0	0	0.048	0	0.500	0.180	0.575
BIRC3	NFKBIA	9606.ENSP00000263464	9606.ENSP00000216797	0	0	0	0	0.279	0.071	0	0.762	0.827
BIRC3	CCL2	9606.ENSP00000263464	9606.ENSP00000225831	0	0	0	0	0.132	0	0	0.348	0.410
BIRC3	IRF1	9606.ENSP00000263464	9606.ENSP00000245414	0	0	0	0	0.213	0.513	0	0.358	0.732
BIRC3	TICAM1	9606.ENSP00000263464	9606.ENSP00000248244	0	0	0	0	0.073	0.065	0.400	0.193	0.524
BIRC3	IL1A	9606.ENSP00000263464	9606.ENSP00000263339	0	0	0	0	0.128	0	0	0.370	0.427
BIRC3	IL1B	9606.ENSP00000263464	9606.ENSP00000263341	0	0	0	0	0.167	0	0	0.445	0.518
BIRC3	SOD2	9606.ENSP00000263464	9606.ENSP00000446252	0	0	0	0	0.137	0	0	0.335	0.402
BIRC3	CCL5	9606.ENSP00000263464	9606.ENSP00000474412	0	0	0	0	0.214	0	0	0.308	0.433
BIRC3	CXCL1	9606.ENSP00000263464	9606.ENSP00000379110	0	0	0	0	0.220	0	0	0.325	0.451
BIRC3	CXCL2	9606.ENSP00000263464	9606.ENSP00000427279	0	0	0	0	0.255	0	0	0.308	0.463
BIRC3	ICAM1	9606.ENSP00000263464	9606.ENSP00000264832	0	0	0	0	0.223	0	0	0.399	0.513
BIRC3	NFKBIZ	9606.ENSP00000263464	9606.ENSP00000325663	0	0	0	0	0.224	0.071	0	0.410	0.538
BIRC3	CXCL8	9606.ENSP00000263464	9606.ENSP00000306512	0	0	0	0	0.257	0	0	0.419	0.549
BIRC3	CCL20	9606.ENSP00000263464	9606.ENSP00000351671	0	0	0	0	0.337	0.091	0	0.352	0.576
BIRC3	TNFSF14	9606.ENSP00000263464	9606.ENSP00000469049	0	0	0	0	0.080	0	0.500	0.165	0.582
BIRC3	LTB	9606.ENSP00000263464	9606.ENSP00000410481	0	0	0	0	0.309	0	0.500	0.204	0.700
BIRC3	TNFAIP3	9606.ENSP00000263464	9606.ENSP00000481570	0	0	0	0	0.487	0.292	0.500	0.595	0.916
BIRC3	TNF	9606.ENSP00000263464	9606.ENSP00000398698	0	0	0	0	0.161	0.510	0.500	0.849	0.964
C9orf24	TICAM1	9606.ENSP00000297623	9606.ENSP00000248244	0	0	0.248	0	0	0.235	0	0	0.400
CCDC39	FOXJ1	9606.ENSP00000417960	9606.ENSP00000323880	0	0	0	0	0.059	0.072	0	0.485	0.511
CCL2	CX3CL1	9606.ENSP00000225831	9606.ENSP00000006053	0	0	0	0	0.096	0	0	0.821	0.831
CCL2	NFKBIA	9606.ENSP00000225831	9606.ENSP00000216797	0	0	0	0	0.176	0	0	0.714	0.754
CCL2	CCL22	9606.ENSP00000225831	9606.ENSP00000219235	0	0	0	0	0.099	0	0.400	0.854	0.914
CCL2	CSF3	9606.ENSP00000225831	9606.ENSP00000225474	0	0	0	0	0.146	0	0.400	0.875	0.930
CCL2	BIRC3	9606.ENSP00000225831	9606.ENSP00000263464	0	0	0	0	0.132	0	0	0.348	0.410
CCL2	H3C12	9606.ENSP00000225831	9606.ENSP00000352252	0	0	0	0	0	0	0	0.425	0.425
CCL2	NFKBIZ	9606.ENSP00000225831	9606.ENSP00000325663	0	0	0	0	0.178	0	0	0.336	0.431
CCL2	CFB	9606.ENSP00000225831	9606.ENSP00000416561	0	0	0	0	0.158	0	0	0.354	0.433
CCL2	ADM	9606.ENSP00000225831	9606.ENSP00000436607	0	0	0	0	0.144	0	0	0.375	0.442
CCL2	STAT5A	9606.ENSP00000225831	9606.ENSP00000341208	0	0	0	0	0.061	0	0	0.446	0.458
CCL2	MAFB	9606.ENSP00000225831	9606.ENSP00000362410	0	0	0	0	0.140	0.292	0	0.245	0.500
CCL2	SOD2	9606.ENSP00000225831	9606.ENSP00000446252	0	0	0	0	0.152	0	0	0.464	0.526
CCL2	CD83	9606.ENSP00000225831	9606.ENSP00000368450	0	0	0	0	0.142	0	0	0.478	0.533
CCL2	TNFAIP3	9606.ENSP00000225831	9606.ENSP00000481570	0	0	0	0	0.215	0	0	0.461	0.558
CCL2	PLAU	9606.ENSP00000225831	9606.ENSP00000361850	0	0	0	0	0.205	0	0	0.511	0.594
CCL2	POTEF	9606.ENSP00000225831	9606.ENSP00000386786	0	0	0	0	0	0	0	0.605	0.605
CCL2	LIF	9606.ENSP00000225831	9606.ENSP00000249075	0	0	0	0	0.119	0	0.400	0.521	0.724
CCL2	THBS1	9606.ENSP00000225831	9606.ENSP00000260356	0	0	0	0	0.194	0	0	0.693	0.742
CCL2	FOS	9606.ENSP00000225831	9606.ENSP00000306245	0	0	0	0	0.106	0	0	0.739	0.756
CCL2	IRF1	9606.ENSP00000225831	9606.ENSP00000245414	0	0	0	0	0.148	0.292	0	0.674	0.786
CCL2	CCL4	9606.ENSP00000225831	9606.ENSP00000482259	0	0	0	0.867	0.154	0.292	0.400	0.478	0.787
CCL2	CXCL11	9606.ENSP00000225831	9606.ENSP00000306884	0	0	0	0	0.257	0	0	0.736	0.796
CCL2	CSF1	9606.ENSP00000225831	9606.ENSP00000327513	0	0	0	0	0.229	0	0	0.792	0.833
CCL2	CXCL3	9606.ENSP00000225831	9606.ENSP00000296026	0	0	0	0	0.383	0	0	0.776	0.856
CCL2	CXCL5	9606.ENSP00000225831	9606.ENSP00000296027	0	0	0	0	0.494	0	0	0.794	0.891
CCL2	ICAM1	9606.ENSP00000225831	9606.ENSP00000264832	0	0	0	0	0.360	0	0	0.892	0.928
CCL2	CXCL2	9606.ENSP00000225831	9606.ENSP00000427279	0	0	0	0	0.451	0	0.400	0.803	0.929
CCL2	CSF2	9606.ENSP00000225831	9606.ENSP00000296871	0	0	0	0	0.130	0	0.400	0.879	0.931
CCL2	IL1A	9606.ENSP00000225831	9606.ENSP00000263339	0	0	0	0	0.144	0	0.400	0.882	0.934
CCL2	CXCL10	9606.ENSP00000225831	9606.ENSP00000305651	0	0	0	0	0.373	0	0.400	0.915	0.965
CCL2	IL1B	9606.ENSP00000225831	9606.ENSP00000263341	0	0	0	0	0.239	0	0.400	0.940	0.970
CCL2	TNF	9606.ENSP00000225831	9606.ENSP00000398698	0	0	0	0	0.311	0	0.400	0.952	0.978
CCL2	CCL20	9606.ENSP00000225831	9606.ENSP00000351671	0	0	0	0	0.148	0	0.400	0.962	0.979
CCL2	CXCL1	9606.ENSP00000225831	9606.ENSP00000379110	0	0	0	0	0.427	0	0.400	0.948	0.980
CCL2	CCL5	9606.ENSP00000225831	9606.ENSP00000474412	0	0	0	0.825	0.156	0.994	0.400	0.882	0.999
CCL2	CXCL8	9606.ENSP00000225831	9606.ENSP00000306512	0	0	0	0	0.487	0.994	0.400	0.948	0.999
CCL20	CX3CL1	9606.ENSP00000351671	9606.ENSP00000006053	0	0	0	0	0.060	0	0.500	0.844	0.920
CCL20	NFKBIA	9606.ENSP00000351671	9606.ENSP00000216797	0	0	0	0	0.139	0.095	0	0.474	0.554
CCL20	CCL22	9606.ENSP00000351671	9606.ENSP00000219235	0	0	0	0	0.073	0	0.400	0.721	0.831
CCL20	CSF3	9606.ENSP00000351671	9606.ENSP00000225474	0	0	0	0	0.217	0	0.400	0.607	0.799
CCL20	CCL2	9606.ENSP00000351671	9606.ENSP00000225831	0	0	0	0	0.148	0	0.400	0.962	0.979
CCL20	IL23A	9606.ENSP00000351671	9606.ENSP00000228534	0	0	0	0	0.196	0	0	0.523	0.600
CCL20	IRF1	9606.ENSP00000351671	9606.ENSP00000245414	0	0	0	0	0.085	0.048	0	0.390	0.422
CCL20	LIF	9606.ENSP00000351671	9606.ENSP00000249075	0	0	0	0	0.251	0	0.400	0.290	0.653
CCL20	IL1A	9606.ENSP00000351671	9606.ENSP00000263339	0	0	0	0	0.436	0	0.400	0.716	0.895
CCL20	IL1B	9606.ENSP00000351671	9606.ENSP00000263341	0	0	0	0	0.338	0	0.400	0.903	0.958
CCL20	BIRC3	9606.ENSP00000351671	9606.ENSP00000263464	0	0	0	0	0.337	0.091	0	0.352	0.576
CCL20	ICAM1	9606.ENSP00000351671	9606.ENSP00000264832	0	0	0	0	0.251	0	0	0.583	0.674
CCL20	CXCL3	9606.ENSP00000351671	9606.ENSP00000296026	0	0	0	0	0.546	0	0.500	0.802	0.951
CCL20	CXCL5	9606.ENSP00000351671	9606.ENSP00000296027	0	0	0	0	0.182	0.994	0.500	0.728	0.999
CCL20	CSF2	9606.ENSP00000351671	9606.ENSP00000296871	0	0	0	0	0.291	0	0.400	0.717	0.869
CCL20	CXCL10	9606.ENSP00000351671	9606.ENSP00000305651	0	0	0	0	0.159	0	0.500	0.860	0.936
CCL20	CXCL8	9606.ENSP00000351671	9606.ENSP00000306512	0	0	0	0	0.485	0	0.500	0.791	0.941
CCL20	CXCL11	9606.ENSP00000351671	9606.ENSP00000306884	0	0	0	0	0.100	0.994	0.500	0.720	0.999
CCL20	NFKBIZ	9606.ENSP00000351671	9606.ENSP00000325663	0	0	0	0	0.173	0.095	0	0.400	0.512
