Interactor A Genes,Interactor B Genes,Combined Score,Taxid interactor A,Taxid interactor B,Genes,Log2FoldChange,FoldChange,Regulation
CCL20,CCL4,0.94,Homo sapiens,Homo sapiens,CCL4,5.23607385633261,37.6890586452678,UpRegulated
CCL4,CXCL10,0.959,Homo sapiens,Homo sapiens,CCL4,5.23607385633261,37.6890586452678,UpRegulated
CSF2,CCL4,0.924,Homo sapiens,Homo sapiens,CCL4,5.23607385633261,37.6890586452678,UpRegulated
CSF3,CCL4,0.909,Homo sapiens,Homo sapiens,CCL4,5.23607385633261,37.6890586452678,UpRegulated
CCL4,CX3CL1,0.904,Homo sapiens,Homo sapiens,CCL4,5.23607385633261,37.6890586452678,UpRegulated
CCL4,IL1A,0.921,Homo sapiens,Homo sapiens,CCL4,5.23607385633261,37.6890586452678,UpRegulated
CCL4,IL1B,0.94,Homo sapiens,Homo sapiens,CCL4,5.23607385633261,37.6890586452678,UpRegulated
CCL4,CSF2,0.924,Homo sapiens,Homo sapiens,CCL4,5.23607385633261,37.6890586452678,UpRegulated
CCL4,CXCL8,0.988,Homo sapiens,Homo sapiens,CCL4,5.23607385633261,37.6890586452678,UpRegulated
CCL5,CCL4,0.953,Homo sapiens,Homo sapiens,CCL4,5.23607385633261,37.6890586452678,UpRegulated
CCL4,CXCL11,0.917,Homo sapiens,Homo sapiens,CCL4,5.23607385633261,37.6890586452678,UpRegulated
CCL4,CCL20,0.94,Homo sapiens,Homo sapiens,CCL4,5.23607385633261,37.6890586452678,UpRegulated
CCL4,CXCL1,0.941,Homo sapiens,Homo sapiens,CCL4,5.23607385633261,37.6890586452678,UpRegulated
CCL4,TNF,0.967,Homo sapiens,Homo sapiens,CCL4,5.23607385633261,37.6890586452678,UpRegulated
CCL4,CCL5,0.953,Homo sapiens,Homo sapiens,CCL4,5.23607385633261,37.6890586452678,UpRegulated
CXCL11,CCL4,0.917,Homo sapiens,Homo sapiens,CCL4,5.23607385633261,37.6890586452678,UpRegulated
CX3CL1,CCL4,0.904,Homo sapiens,Homo sapiens,CCL4,5.23607385633261,37.6890586452678,UpRegulated
CCL4,CSF3,0.909,Homo sapiens,Homo sapiens,CCL4,5.23607385633261,37.6890586452678,UpRegulated
CXCL10,CCL4,0.959,Homo sapiens,Homo sapiens,CCL4,5.23607385633261,37.6890586452678,UpRegulated
TNF,CCL4,0.967,Homo sapiens,Homo sapiens,CCL4,5.23607385633261,37.6890586452678,UpRegulated
CXCL1,CCL4,0.941,Homo sapiens,Homo sapiens,CCL4,5.23607385633261,37.6890586452678,UpRegulated
IL1A,CCL4,0.921,Homo sapiens,Homo sapiens,CCL4,5.23607385633261,37.6890586452678,UpRegulated
CXCL8,CCL4,0.988,Homo sapiens,Homo sapiens,CCL4,5.23607385633261,37.6890586452678,UpRegulated
IL1B,CCL4,0.94,Homo sapiens,Homo sapiens,CCL4,5.23607385633261,37.6890586452678,UpRegulated
CSF2,CXCL10,0.911,Homo sapiens,Homo sapiens,CSF2,5.02517728476931,32.5633514305733,UpRegulated
CCL5,CSF2,0.922,Homo sapiens,Homo sapiens,CSF2,5.02517728476931,32.5633514305733,UpRegulated
CSF2,CCL5,0.922,Homo sapiens,Homo sapiens,CSF2,5.02517728476931,32.5633514305733,UpRegulated
CSF2,CX3CL1,0.953,Homo sapiens,Homo sapiens,CSF2,5.02517728476931,32.5633514305733,UpRegulated
CSF2,CXCL1,0.931,Homo sapiens,Homo sapiens,CSF2,5.02517728476931,32.5633514305733,UpRegulated
CSF2,STAT5A,0.937,Homo sapiens,Homo sapiens,CSF2,5.02517728476931,32.5633514305733,UpRegulated
CSF2,CSF1,0.964,Homo sapiens,Homo sapiens,CSF2,5.02517728476931,32.5633514305733,UpRegulated
CSF2,TNF,0.97,Homo sapiens,Homo sapiens,CSF2,5.02517728476931,32.5633514305733,UpRegulated
CSF2,CXCL8,0.972,Homo sapiens,Homo sapiens,CSF2,5.02517728476931,32.5633514305733,UpRegulated
CSF2,CSF3,0.999,Homo sapiens,Homo sapiens,CSF2,5.02517728476931,32.5633514305733,UpRegulated
IL1A,CSF2,0.997,Homo sapiens,Homo sapiens,CSF2,5.02517728476931,32.5633514305733,UpRegulated
CSF2,CCL2,0.931,Homo sapiens,Homo sapiens,CSF2,5.02517728476931,32.5633514305733,UpRegulated
CSF2,CCL4,0.924,Homo sapiens,Homo sapiens,CSF2,5.02517728476931,32.5633514305733,UpRegulated
