"GeneSymbol","Log2FoldChange","DirectionalFoldChange"
"RGS2",-2.11944264440574,-4.3452604236889
"ADM",-1.50043028357346,-2.82927082851096
"TNF",3.88465045591814,14.7705378510313
"FOS",-1.84272770160375,-3.58687557757967
"TRNT",-1.70005141895278,-3.24912538512124
"TRNQ",-2.30991749682681,-4.95854722799144
"PLK2",-1.21779078014174,-2.3259027558588
"C10orf55",3.60666663189092,12.1818946834171
"IRF1",1.7410915722007,3.34288001161916
"TRNM",-1.91249383198897,-3.76459282307364
"ID1",-1.69131120700481,-3.22950086581108
"CSF1",2.82996705515294,7.11057907294105
"LTB",3.07253224726102,8.41248628256885
"MIR23AHG",1.37498056893948,2.5936441763502
"SNORD3A",1.68014402160317,3.20459940367925
"CYP1A1",1.3635432835192,2.57316377471471
"BNIP5",1.45731402588191,2.74596650143379
"HSPH1",-1.19016528371576,-2.28178883204879
"RND1",1.38354321351154,2.60908367581689
"CXCL8",4.64622612263692,25.041101556812
"CITED2",-1.09633104883452,-2.13810254704773
"HSPA7",-2.47099491103712,-5.54425998574298
"CSF2",5.02517728476931,32.5633514305733
"LOC112268133",1.6516833832792,3.14200044133873
"CXCL2",3.01027327604049,8.05717044930861
"NFKBIA",1.19305978331471,2.28637141297789
"SDC4",1.14132435045503,2.20583419178054
"NFKBIZ",2.28377693282185,4.86951110049655
"TRNE",-1.25750213513248,-2.39081439635846
"CXCL10",4.34026401095065,20.2558119464878
"TICAM1",1.12153591819263,2.17578487081678
"PLAU",3.36540331374543,10.3059337168001
"CHAC1",-1.07364294554551,-2.1047413398078
"DEDD2",-1.0388395588949,-2.0545743782748
"MIR22HG",-1.13205370414472,-2.1917051173292
"CYP1B1",2.60648585086941,6.09018414597829
"SNORD31",-1.9426787282402,-3.84418756142899
"CX3CL1",3.03074080887836,8.17229231543399
"STAT5A",1.82304952145319,3.53828319313219
"LOC105372652",1.96973081406083,3.91695027613387
"LOC112268301",1.37046597313053,2.58554062492231
"TNFAIP3",2.31160510592693,4.96435093940054
"LOC105373485",1.78003354651279,3.43434160243712
"RCAN1",2.10011035709735,4.2874217984055
"LINC00641",1.23305934197711,2.35064934346199
"TRNK",-1.1546070327908,-2.22623676233808
"LOC105377347",2.11977353116974,4.34625713748702
"CCL5",4.16399225097242,17.9261311417147
"HLA-L",1.69713702566069,3.24256844066309
"CXCL3",2.94988269379775,7.72686233109902
"BDKRB2",1.28447768542196,2.43593845839139
"DUSP2",-1.28342949247757,-2.43416926525455
"FKBPL",-1.26717163013102,-2.4068923707776
"LOC105374418",3.45098144050013,10.9357589319415
"SNORD14C",-1.32811392798599,-2.51074224519547
"BIRC3",2.51056629770384,5.69843713762084
"TNFSF14",2.95100104834556,7.73285439565647
"CXCL1",2.80678584844439,6.99723938210739
"SNORD14D",-1.19226970872348,-2.28511965195363
"ARHGAP31-AS1",3.34308736438072,10.1477456866859
"DNAJB4",-1.06814744641838,-2.0967392311717
"TRND",-1.05956050530407,-2.08429647632437
"LOC105378604",1.69957934307951,3.24806238653983
"ATXN1-AS1",1.09977849049456,2.14321783295238
"CCL4",5.23607385633261,37.6890586452678
"LOC107986649",1.30536974259029,2.47147059649187
"HSPA6",-2.72298202801727,-6.60236102046475
"SNORD3C",1.58198268211122,2.99381003613572
"TNFAIP2",1.05747631385943,2.08128756838752
"IL1B",1.74670715733247,3.35591728489506
"KRTAP3-1",-1.07116137287237,-2.10112409643194
"MIR17HG",-1.75178624941775,-3.36775280914603
"SERPINA3",1.47104432115442,2.77222493574562
"TRNL2",-1.01182180204671,-2.01645582700755
"MIR3142HG",3.46357436658971,11.0316322695267
"LOC105376361",2.83851114620636,7.15281508914755
"MIR8085",1.65812621318071,3.15606345736776
"ICAM1",1.66923465166507,3.18045825734968
"GSK3B-DT",1.2164437203477,2.32373204913624
"NR4A3",1.27072646315457,2.41283032032081
"LOC105373836",1.9149350721864,3.77096842918869
"MIR616",-1.44274763209342,-2.71838092100254
"TMEM88",1.80809693592146,3.50180059986875
"TRNI",-1.99542396499823,-3.98733263716898
"CXCL11",2.82128417103167,7.06791245807213
"MAFB",-1.12565448885744,-2.18200512296082
"CSF3",4.95007750589376,30.9116231458627
"LINC02603",-2.18916150131632,-4.56040357284841
"CYP2T1P",1.0268200421012,2.03752822159167
"HAP1",1.13344525231078,2.19382014128947
"CCL22",2.50832489515489,5.6895907948465
"SNORD15B",-2.81125758267712,-7.01896146237143
"NUAK2",1.43288848304044,2.69986726874086
"TTLL2",1.12155401674938,2.17581216612996
"SNORD83B",-2.32010892861392,-4.99369922344983
"LIF-AS2",1.450605992961,2.73322834397703
"LOC100419583",1.0034333600767,2.00476531577105
"PDGFA-DT",1.88358071292658,3.68989742853887
"CCDC121",-1.08520413635531,-2.12167567126276
"LOC105376360",4.36372402919645,20.587889356035
"MASP2",1.1892265524211,2.28030460301764
"NANOS1",-1.36438253994499,-2.57466109218448
"LINC00482",1.0116930762035,2.01627591483663
"DNAJB1",-1.3473069409665,-2.54436728344308
"WAKMAR2",1.60790869383063,3.04809674475701
"LINC01355",1.23724371910849,2.3574770381563
"MIR4492",1.69489967329469,3.23754371577374
"MIR3189",-3.24632313026033,-9.4894411722253
"FSCN2",1.03414169823614,2.04789493057671
"ZNRD2-DT",1.19012396831811,2.28172348791131
"IL23A",1.11927796209597,2.17238222226156
"NCOA7",1.32314420993196,2.50210825523457
"S100A3",1.3195697925001,2.49591671165762
"LOC105372711",1.41692402014644,2.6701559785333
"SNORD36C",-1.40176531219623,-2.64224695361494
"LOC105378328",3.64237708562719,12.4871911063268
"CD83",1.223622827613,2.33532417165544
"HSPA1A",-1.18157099573581,-2.26823637978504
NA,2.0542352679103,4.15323431683587
"H3C4",-1.0642991677858,-2.09115379238333
"TRNV",-1.47943830274593,-2.78840148825487
"CCL2",2.54628042579618,5.84126333572391
"GPM6B",1.88140539024942,3.68433792431381
"IL6ST-DT",1.13860498221779,2.20168028157234
"LINC01767",1.78553639704581,3.44746617575795
"DKK1",-1.39555452271792,-2.63089655290664
"LOC107984421",1.27528343571909,2.42046366248232
"L3MBTL1",1.00199056390099,2.00276141210768
"HSPA1B",-1.16389266336956,-2.24061172048945
"LOC101927080",1.39481756767174,2.62955298595775
"LOC105369161",1.33097909576482,2.515733491155
"STX11",1.69722295900474,3.24276158823784
"SNORD35A",-1.18450718352935,-2.27285741860471
"RASL11B",-1.45904856882369,-2.74926994470237
"ETS1",1.50201262659304,2.83237566551989
"LINC01004",1.31987216343615,2.49643987957851
"LINC02065",1.33901651349961,2.52978804121882
"PTAFR",1.07278441451032,2.10348920532435
"LOC105374584",1.45147447423156,2.73487420272379
"SOD2",1.41248730567937,2.66195707169751
"LOC107986197",1.0922463286615,2.13205747285361
"INHBC",1.93999965119143,3.83705554959424
"CFB",1.17808937867985,2.26276910573341
"SNORA57",-1.43090950374813,-2.69616633514589
"THBS1",1.7764927668638,3.42592309653274
"C9orf24",1.76547620264502,3.39986203279499
"CCDC39",1.57409742473616,2.9774915726008
"SNORD34",-1.27545705364666,-2.42075496532881
"LOC107987152",1.57430693427627,2.9779239981446
"MORF4L2-AS1",1.06182880652439,2.08757612361359
"CXCL5",2.91962297098245,7.56648351631896
"LOC105372380",1.38894772091512,2.61887594397743
"OXTR",1.07849535280287,2.11183241353212
"LOC107985080",2.79456805117332,6.93823185106239
"SNORA20",-1.83537400111865,-3.56863908399666
"LOC101930112",1.00862977536793,2.01199926116878
"FOXJ1",-1.15600371268471,-2.22839303626024
"LOC105373944",1.61592333287495,3.06507703298509
"GAPDHS",1.25112117533238,2.3802633081026
"EGOT",1.62395300696279,3.08218403553667
"SNORA29",-1.69734596259664,-3.24303807655728
"LOC105371159",1.4781189288488,2.78585260417872
"SNORD30",-1.41835023247127,-2.6727969332941
