Genes,Term
CCL4,Inflammatory Response (GO:0006954)
CCL4,Cytokine-Mediated Signaling Pathway (GO:0019221)
CCL4,Chemokine-Mediated Signaling Pathway (GO:0070098)
CCL4,Cellular Response To Chemokine (GO:1990869)
CCL4,Neutrophil Chemotaxis (GO:0030593)
CCL4,Granulocyte Chemotaxis (GO:0071621)
CCL4,Neutrophil Migration (GO:1990266)
CCL4,Lymphocyte Chemotaxis (GO:0048247)
CCL4,Cellular Response To Tumor Necrosis Factor (GO:0071356)
CCL4,Cellular Response To Cytokine Stimulus (GO:0071345)
CCL4,Cellular Response To Interleukin-1 (GO:0071347)
CCL4,Response To Interleukin-1 (GO:0070555)
CCL4,Cellular Response To Type II Interferon (GO:0071346)
CCL4,Lymphocyte Migration (GO:0072676)
CCL4,Monocyte Chemotaxis (GO:0002548)
CCL4,Eosinophil Chemotaxis (GO:0048245)
CCL4,Eosinophil Migration (GO:0072677)
CCL4,Response To Tumor Necrosis Factor (GO:0034612)
CCL4,Positive Regulation Of Intracellular Signal Transduction (GO:1902533)
CCL4,Positive Regulation Of MAPK Cascade (GO:0043410)
CCL4,Response To Type II Interferon (GO:0034341)
CCL4,Positive Regulation Of ERK1 And ERK2 Cascade (GO:0070374)
CCL4,Regulation Of ERK1 And ERK2 Cascade (GO:0070372)
CCL4,Regulation Of Natural Killer Cell Chemotaxis (GO:2000501)
CCL4,Positive Regulation Of Calcium Ion Transport (GO:0051928)
CCL4,Positive Regulation Of GTPase Activity (GO:0043547)
CCL4,Positive Regulation Of Hydrolase Activity (GO:0051345)
CCL4,Negative Regulation By Host Of Viral Transcription (GO:0043922)
CCL4,Regulation Of GTPase Activity (GO:0043087)
CCL4,Positive Regulation Of Lymphocyte Chemotaxis (GO:0140131)
CSF2,Cytokine-Mediated Signaling Pathway (GO:0019221)
CSF2,Negative Regulation Of Extrinsic Apoptotic Signaling Pathway (GO:2001237)
CSF2,Negative Regulation Of Extrinsic Apoptotic Signaling Pathway In Absence Of Ligand (GO:2001240)
CSF2,Negative Regulation Of Signal Transduction In Absence Of Ligand (GO:1901099)
CSF2,Regulation Of Extrinsic Apoptotic Signaling Pathway In Absence Of Ligand (GO:2001239)
CSF2,Cellular Response To Cytokine Stimulus (GO:0071345)
CSF2,Regulation Of Cell Population Proliferation (GO:0042127)
CSF2,Positive Regulation Of Macromolecule Metabolic Process (GO:0010604)
CSF2,Positive Regulation Of Cytokine Production (GO:0001819)
CSF2,Positive Regulation Of Gene Expression (GO:0010628)
CSF2,Positive Regulation Of Tyrosine Phosphorylation Of STAT Protein (GO:0042531)
CSF2,Regulation Of Tyrosine Phosphorylation Of STAT Protein (GO:0042509)
CSF2,Positive Regulation Of Peptidyl-Tyrosine Phosphorylation (GO:0050731)
CSF2,Macrophage Differentiation (GO:0030225)
CSF2,Positive Regulation Of Podosome Assembly (GO:0071803)
