"BioGRID Interaction ID","Entrez Gene ID for Interactor A","Entrez Gene ID for Interactor B","BioGRID ID for Interactor A","BioGRID ID for Interactor B","Systematic name for Interactor A","Systematic name for Interactor B","Official symbol for Interactor A","Official symbol for Interactor B","Synonyms/Aliases for Interactor A","Synonyms/Aliases for Interactor B","Experimental System Name","Experimental System Type","First author surname of the publication","Pubmed ID","Organism ID for Interactor A","Organism ID for Interactor B","Interaction Throughput","Quantitative Score","Post Translational Modification","Phenotypes","Qualifications","Tags","Source Database"
7670,7916,23193,113646,116802,"DADB-70P7.5","-","PRRC2A","GANAB","BAT2|D6S51|D6S51E|G2","G2AN|GLUII","Two-hybrid","physical","Lehner B (2004)",14667819,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
9315,8631,5788,114184,111752,"-","RP11-553K8.4","SKAP1","PTPRC","HEL-S-81p|SCAP1|SKAP55","B220|CD45|CD45R|GP180|L-CA|LCA|LY5|T200","Two-hybrid","physical","Wu L (2002)",11909961,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
10266,4804,5567,110870,111554,"-","RP11-82H13.1","NGFR","PRKACB","CD271|Gp80-LNGFR|TNFRSF16|p75(NTR)|p75NTR","PKA C-beta|PKACB","Two-hybrid","physical","Higuchi H (2003)",12682012,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
13594,22927,10399,116587,115671,"RP11-172F4.4","HLC7","HABP4","GNB2L1","IHABP-4|IHABP4|Ki-1/57|SERBP1L","Gnb2-rs1|H12.3|HLC-7|PIG21|RACK1","Two-hybrid","physical","Nery FC (2004)",14699138,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
13627,10399,22927,115671,116587,"HLC7","RP11-172F4.4","GNB2L1","HABP4","Gnb2-rs1|H12.3|HLC-7|PIG21|RACK1","IHABP-4|IHABP4|Ki-1/57|SERBP1L","Two-hybrid","physical","Nery FC (2004)",14699138,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
14788,2516,8204,108792,113843,"RP11-101K10.1","-","NR5A1","NRIP1","AD4BP|ELP|FTZ1|FTZF1|POF7|SF-1|SF1|SPGF8|SRXY3","RIP140","Two-hybrid","physical","Mellgren G (2003)",12782406,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
14789,2516,8204,108792,113843,"RP11-101K10.1","-","NR5A1","NRIP1","AD4BP|ELP|FTZ1|FTZF1|POF7|SF-1|SF1|SPGF8|SRXY3","RIP140","Two-hybrid","physical","Sugawara T (2001)",11459805,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
18357,10580,3642,115831,109853,"RP11-476E15.1","-","SORBS1","INSM1","CAP|FLAF2|R85FL|SH3D5|SH3P12|SORB1","IA-1|IA1","Two-hybrid","physical","Xie J (2002)",12079283,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
19516,9242,3398,114669,109624,"-","-","MSC","ID2","ABF-1|ABF1|MYOR|bHLHa22","GIG8|ID2A|ID2H|bHLHb26","Two-hybrid","physical","Wong J (2001)",11560778,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
19517,3398,6938,109624,112798,"-","-","ID2","TCF12","GIG8|ID2A|ID2H|bHLHb26","CRS3|HEB|HTF4|HsT17266|bHLHb20","Two-hybrid","physical","Langlands K (1997)",9242638,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
19520,6925,3398,112787,109624,"-","-","TCF4","ID2","E2-2|ITF-2|ITF2|PTHS|SEF-2|SEF2|SEF2-1|SEF2-1A|SEF2-1B|SEF2-1D|TCF-4|bHLHb19","GIG8|ID2A|ID2H|bHLHb26","Two-hybrid","physical","Langlands K (1997)",9242638,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
20601,3636,10580,109848,115831,"-","RP11-476E15.1","INPPL1","SORBS1","OPSMD|SHIP2","CAP|FLAF2|R85FL|SH3D5|SH3P12|SORB1","Two-hybrid","physical","Vandenbroere I (2003)",12504111,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
