"BioGRID Interaction ID","Entrez Gene ID for Interactor A","Entrez Gene ID for Interactor B","BioGRID ID for Interactor A","BioGRID ID for Interactor B","Systematic name for Interactor A","Systematic name for Interactor B","Official symbol for Interactor A","Official symbol for Interactor B","Synonyms/Aliases for Interactor A","Synonyms/Aliases for Interactor B","Experimental System Name","Experimental System Type","First author surname of the publication","Pubmed ID","Organism ID for Interactor A","Organism ID for Interactor B","Interaction Throughput","Quantitative Score","Post Translational Modification","Phenotypes","Qualifications","Tags","Source Database"
917,333,1600,106830,107970,"-","RP6-239D12.2","APLP1","DAB1","APLP","-","Two-hybrid","physical","Homayouni R (1999)",10460257,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
1161,2033,7020,108347,112878,"RP1-85F18.1","RP1-290I10.1","EP300","TFAP2A","KAT3B|RSTS2|p300","AP-2|AP-2alpha|AP2TF|BOFS|TFAP2","Two-hybrid","physical","Braganca J (2003)",12586840,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
1427,409,5900,106902,111836,"-","RP11-326L24.1","ARRB2","RALGDS","ARB2|ARR2|BARR2","RGDS|RGF|RalGEF","Two-hybrid","physical","Bhattacharya M (2002)",12105416,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
1958,602,580,107074,107056,"-","-","BCL3","BARD1","BCL4|D19S37","-","Two-hybrid","physical","Dechend R (1999)",10362352,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
2006,153,10755,106662,115978,"-","-","ADRB1","GIPC1","ADRB1R|B1AR|BETA1AR|RHR","C19orf3|GIPC|GLUT1CBP|Hs.6454|IIP-1|NIP|RGS19IP1|SEMCAP|SYNECTIIN|SYNECTIN|TIP-2","Two-hybrid","physical","Hu LA (2003)",12724327,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
2368,672,466,107140,106956,"-","-","BRCA1","ATF1","BRCAI|BRCC1|BROVCA1|FANCS|IRIS|PNCA4|PPP1R53|PSCP|RNF53","EWS-ATF1|FUS/ATF-1|TREB36","Two-hybrid","physical","Houvras Y (2000)",10945975,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
2466,421,1013,106914,107448,"-","-","ARVCF","CDH15","-","CDH14|CDH3|CDHM|MCAD|MRD3","Two-hybrid","physical","Kaufmann U (2000)",11058098,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
2827,3708,767,109913,107222,"-","-","ITPR1","CA8","ACV|CLA4|INSP3R1|IP3R|IP3R1|PPP1R94|SCA15|SCA16|SCA29","CA-VIII|CALS|CAMRQ3|CARP","Two-hybrid","physical","Hirota J (2003)",12611586,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
3224,7251,1026,113102,107460,"-","-","TSG101","CDKN1A","TSG10|VPS23","CAP20|CDKN1|CIP1|MDA-6|P21|SDI1|WAF1|p21CIP1","Two-hybrid","physical","Oh H (2002)",11943869,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
3317,8317,4171,113914,110339,"-","-","CDC7","MCM2","CDC7L1|HsCDC7|Hsk1|huCDC7","BM28|CCNL1|CDCL1|D3S3194|MITOTIN|cdc19","Two-hybrid","physical","Kneissl M (2003)",12614612,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
