Interactor A Genes,Interactor B Genes,Host organism(s),Confidence value(s),Taxid interactor A,Taxid interactor B,Genes,Log2FoldChange,FoldChange,Regulation
CDKN1A,Ccnd1,In vitro,0.96,Homo sapiens,Homo sapiens,CDKN1A,4.20553466867112,18.4498178597307,UpRegulated
CDKN1A,Cdk4,In vitro,0.94,Homo sapiens,Homo sapiens,CDKN1A,4.20553466867112,18.4498178597307,UpRegulated
CDKN1A,PCNA,In vitro,0.98,Homo sapiens,Homo sapiens,CDKN1A,4.20553466867112,18.4498178597307,UpRegulated
CDKN1A,Ccnd3,In vitro,0.96,Homo sapiens,Homo sapiens,CDKN1A,4.20553466867112,18.4498178597307,UpRegulated
Cdk2,CDKN1A,In vitro,0.98,Homo sapiens,Homo sapiens,CDKN1A,4.20553466867112,18.4498178597307,UpRegulated
CDKN1A,Cdk2,In vitro,0.98,Homo sapiens,Homo sapiens,CDKN1A,4.20553466867112,18.4498178597307,UpRegulated
PCNA,CDKN1A,In vitro,0.98,Homo sapiens,Homo sapiens,CDKN1A,4.20553466867112,18.4498178597307,UpRegulated
DDIT3,ATF3,In vitro,0.96,Homo sapiens,Homo sapiens,DDIT3,3.82631520032029,14.1852060354276,UpRegulated
ATF3,DDIT3,In vitro,0.96,Homo sapiens,Homo sapiens,DDIT3,3.82631520032029,14.1852060354276,UpRegulated
Sqstm1,MAP1LC3A,In vitro,0.95,Homo sapiens,Homo sapiens,MAP1LC3A,3.06902450722899,8.39205717624318,UpRegulated
MAP1LC3A,Sqstm1,In vitro,0.95,Homo sapiens,Homo sapiens,MAP1LC3A,3.06902450722899,8.39205717624318,UpRegulated
JUND,FOS,In vitro,0.93,Homo sapiens,Homo sapiens,FOS,2.56773456616324,5.92877713448472,UpRegulated
FOS,JUNB,In vitro,0.94,Homo sapiens,Homo sapiens,FOS,2.56773456616324,5.92877713448472,UpRegulated
JUN,FOS,In vitro,0.97,Homo sapiens,Homo sapiens,FOS,2.56773456616324,5.92877713448472,UpRegulated
JUNB,FOS,In vitro,0.94,Homo sapiens,Homo sapiens,FOS,2.56773456616324,5.92877713448472,UpRegulated
