Interactor A Genes,Interactor B Genes,Combined Score,Taxid interactor A,Taxid interactor B,Genes,Log2FoldChange,FoldChange,Regulation
CYP1A1,AHR,0.973,Homo sapiens,Homo sapiens,CYP1A1,7.62760227832788,197.759374958014,UpRegulated
CYP2B6,CYP1A1,0.959,Homo sapiens,Homo sapiens,CYP1A1,7.62760227832788,197.759374958014,UpRegulated
CYP1A1,CYP2B6,0.959,Homo sapiens,Homo sapiens,CYP1A1,7.62760227832788,197.759374958014,UpRegulated
CYP2D6,CYP1A1,0.936,Homo sapiens,Homo sapiens,CYP1A1,7.62760227832788,197.759374958014,UpRegulated
AHR,CYP1A1,0.973,Homo sapiens,Homo sapiens,CYP1A1,7.62760227832788,197.759374958014,UpRegulated
CYP1A1,CYP1B1,0.937,Homo sapiens,Homo sapiens,CYP1A1,7.62760227832788,197.759374958014,UpRegulated
ALDH1A3,CYP1A1,0.958,Homo sapiens,Homo sapiens,CYP1A1,7.62760227832788,197.759374958014,UpRegulated
CYP1A1,ALDH1A3,0.958,Homo sapiens,Homo sapiens,CYP1A1,7.62760227832788,197.759374958014,UpRegulated
CYP1A1,CYP2D6,0.936,Homo sapiens,Homo sapiens,CYP1A1,7.62760227832788,197.759374958014,UpRegulated
CYP1B1,CYP1A1,0.937,Homo sapiens,Homo sapiens,CYP1A1,7.62760227832788,197.759374958014,UpRegulated
CREB3L4,CREB3L3,0.93,Homo sapiens,Homo sapiens,CREB3L3,7.5564932694004,188.24833172179,UpRegulated
CREB3L3,CREB3L4,0.93,Homo sapiens,Homo sapiens,CREB3L3,7.5564932694004,188.24833172179,UpRegulated
CREB3L3,CREBBP,0.91,Homo sapiens,Homo sapiens,CREB3L3,7.5564932694004,188.24833172179,UpRegulated
CREBBP,CREB3L3,0.91,Homo sapiens,Homo sapiens,CREB3L3,7.5564932694004,188.24833172179,UpRegulated
CREB3L3,EP300,0.912,Homo sapiens,Homo sapiens,CREB3L3,7.5564932694004,188.24833172179,UpRegulated
EP300,CREB3L3,0.912,Homo sapiens,Homo sapiens,CREB3L3,7.5564932694004,188.24833172179,UpRegulated
COL6A1,COL1A1,0.969,Homo sapiens,Homo sapiens,COL1A1,6.25698878669685,76.4788426790547,UpRegulated
COL1A1,COL6A1,0.969,Homo sapiens,Homo sapiens,COL1A1,6.25698878669685,76.4788426790547,UpRegulated
COL1A1,SERPINH1,0.921,Homo sapiens,Homo sapiens,COL1A1,6.25698878669685,76.4788426790547,UpRegulated
SERPINH1,COL1A1,0.921,Homo sapiens,Homo sapiens,COL1A1,6.25698878669685,76.4788426790547,UpRegulated
LRP6,KREMEN2,0.909,Homo sapiens,Homo sapiens,KREMEN2,5.91653524032061,60.402453230309,UpRegulated
KREMEN2,LRP6,0.909,Homo sapiens,Homo sapiens,KREMEN2,5.91653524032061,60.402453230309,UpRegulated
DKK1,KREMEN2,0.999,Homo sapiens,Homo sapiens,KREMEN2,5.91653524032061,60.402453230309,UpRegulated
KREMEN2,DKK1,0.999,Homo sapiens,Homo sapiens,KREMEN2,5.91653524032061,60.402453230309,UpRegulated
GPCPD1,ETNK2,0.907,Homo sapiens,Homo sapiens,ETNK2,5.71895284135242,52.6715803472094,UpRegulated
ETNK2,GPCPD1,0.907,Homo sapiens,Homo sapiens,ETNK2,5.71895284135242,52.6715803472094,UpRegulated
ETNK2,PCYT2,0.991,Homo sapiens,Homo sapiens,ETNK2,5.71895284135242,52.6715803472094,UpRegulated
PCYT2,ETNK2,0.991,Homo sapiens,Homo sapiens,ETNK2,5.71895284135242,52.6715803472094,UpRegulated
FSCN1,ESPN,0.949,Homo sapiens,Homo sapiens,FSCN1,5.68527871074497,51.4564031847514,UpRegulated
ESPN,FSCN1,0.949,Homo sapiens,Homo sapiens,FSCN1,5.68527871074497,51.4564031847514,UpRegulated
CBS,CTH,0.999,Homo sapiens,Homo sapiens,CBS,5.41784897296476,42.749895045773,UpRegulated
CTH,CBS,0.999,Homo sapiens,Homo sapiens,CBS,5.41784897296476,42.749895045773,UpRegulated
SNX27,ADRB2,0.958,Homo sapiens,Homo sapiens,ADRB2,5.20172190953674,36.8022459901046,UpRegulated
GRK5,ADRB2,0.91,Homo sapiens,Homo sapiens,ADRB2,5.20172190953674,36.8022459901046,UpRegulated
ARRB2,ADRB2,0.999,Homo sapiens,Homo sapiens,ADRB2,5.20172190953674,36.8022459901046,UpRegulated
USP20,ADRB2,0.926,Homo sapiens,Homo sapiens,ADRB2,5.20172190953674,36.8022459901046,UpRegulated
GNAI2,ADRB2,0.948,Homo sapiens,Homo sapiens,ADRB2,5.20172190953674,36.8022459901046,UpRegulated
ADRB2,SNX27,0.958,Homo sapiens,Homo sapiens,ADRB2,5.20172190953674,36.8022459901046,UpRegulated
ADRB2,GRK5,0.91,Homo sapiens,Homo sapiens,ADRB2,5.20172190953674,36.8022459901046,UpRegulated
ADRB1,ADRB2,0.956,Homo sapiens,Homo sapiens,ADRB2,5.20172190953674,36.8022459901046,UpRegulated
ADRB2,ARRB2,0.999,Homo sapiens,Homo sapiens,ADRB2,5.20172190953674,36.8022459901046,UpRegulated
ADRB2,ADRB1,0.956,Homo sapiens,Homo sapiens,ADRB2,5.20172190953674,36.8022459901046,UpRegulated
ADRB2,GNAI2,0.948,Homo sapiens,Homo sapiens,ADRB2,5.20172190953674,36.8022459901046,UpRegulated
ADRB2,USP20,0.926,Homo sapiens,Homo sapiens,ADRB2,5.20172190953674,36.8022459901046,UpRegulated
IRS1,SLC2A4,0.94,Homo sapiens,Homo sapiens,SLC2A4,5.14022912175834,35.2665641262608,UpRegulated
ASPSCR1,SLC2A4,0.968,Homo sapiens,Homo sapiens,SLC2A4,5.14022912175834,35.2665641262608,UpRegulated
SLC2A4,IRS1,0.94,Homo sapiens,Homo sapiens,SLC2A4,5.14022912175834,35.2665641262608,UpRegulated
SLC2A4,ASPSCR1,0.968,Homo sapiens,Homo sapiens,SLC2A4,5.14022912175834,35.2665641262608,UpRegulated
IL10RA,IL10RB,0.999,Homo sapiens,Homo sapiens,IL10RA,5.08080595082461,33.8434784247947,UpRegulated
IL20RB,IL10RA,0.91,Homo sapiens,Homo sapiens,IL10RA,5.08080595082461,33.8434784247947,UpRegulated
IL10RB,IL10RA,0.999,Homo sapiens,Homo sapiens,IL10RA,5.08080595082461,33.8434784247947,UpRegulated
IL10RA,IL20RB,0.91,Homo sapiens,Homo sapiens,IL10RA,5.08080595082461,33.8434784247947,UpRegulated
MAPK8IP3,KLC3,0.944,Homo sapiens,Homo sapiens,KLC3,4.98722820958831,31.7179628648649,UpRegulated
KLC3,MAPK8IP3,0.944,Homo sapiens,Homo sapiens,KLC3,4.98722820958831,31.7179628648649,UpRegulated
IRS1,PIK3CD,0.943,Homo sapiens,Homo sapiens,PIK3CD,4.94954896930169,30.900300634087,UpRegulated
PIP5K1B,PIK3CD,0.923,Homo sapiens,Homo sapiens,PIK3CD,4.94954896930169,30.900300634087,UpRegulated
PRKCD,PIK3CD,0.923,Homo sapiens,Homo sapiens,PIK3CD,4.94954896930169,30.900300634087,UpRegulated
PLCG2,PIK3CD,0.974,Homo sapiens,Homo sapiens,PIK3CD,4.94954896930169,30.900300634087,UpRegulated
PDPK1,PIK3CD,0.948,Homo sapiens,Homo sapiens,PIK3CD,4.94954896930169,30.900300634087,UpRegulated
TXK,PIK3CD,0.923,Homo sapiens,Homo sapiens,PIK3CD,4.94954896930169,30.900300634087,UpRegulated
PIK3CD,TXK,0.923,Homo sapiens,Homo sapiens,PIK3CD,4.94954896930169,30.900300634087,UpRegulated
PIK3CD,IRS1,0.943,Homo sapiens,Homo sapiens,PIK3CD,4.94954896930169,30.900300634087,UpRegulated
PIK3CD,PIP5K1B,0.923,Homo sapiens,Homo sapiens,PIK3CD,4.94954896930169,30.900300634087,UpRegulated
PIK3CD,INSR,0.927,Homo sapiens,Homo sapiens,PIK3CD,4.94954896930169,30.900300634087,UpRegulated
VAV1,PIK3CD,0.945,Homo sapiens,Homo sapiens,PIK3CD,4.94954896930169,30.900300634087,UpRegulated
INSR,PIK3CD,0.927,Homo sapiens,Homo sapiens,PIK3CD,4.94954896930169,30.900300634087,UpRegulated
PIK3CD,GNAI2,0.91,Homo sapiens,Homo sapiens,PIK3CD,4.94954896930169,30.900300634087,UpRegulated
PIK3CD,FYN,0.936,Homo sapiens,Homo sapiens,PIK3CD,4.94954896930169,30.900300634087,UpRegulated
PIK3CD,PLCG2,0.974,Homo sapiens,Homo sapiens,PIK3CD,4.94954896930169,30.900300634087,UpRegulated
PIK3CD,VAV1,0.945,Homo sapiens,Homo sapiens,PIK3CD,4.94954896930169,30.900300634087,UpRegulated
PIP5K1C,PIK3CD,0.942,Homo sapiens,Homo sapiens,PIK3CD,4.94954896930169,30.900300634087,UpRegulated
GNAI2,PIK3CD,0.91,Homo sapiens,Homo sapiens,PIK3CD,4.94954896930169,30.900300634087,UpRegulated
PIK3CD,PIP5K1C,0.942,Homo sapiens,Homo sapiens,PIK3CD,4.94954896930169,30.900300634087,UpRegulated
PIK3CD,PIP5KL1,0.94,Homo sapiens,Homo sapiens,PIK3CD,4.94954896930169,30.900300634087,UpRegulated
PIP5KL1,PIK3CD,0.94,Homo sapiens,Homo sapiens,PIK3CD,4.94954896930169,30.900300634087,UpRegulated
PIK3CD,JAK3,0.937,Homo sapiens,Homo sapiens,PIK3CD,4.94954896930169,30.900300634087,UpRegulated
PIK3CD,PDPK1,0.948,Homo sapiens,Homo sapiens,PIK3CD,4.94954896930169,30.900300634087,UpRegulated
JAK3,PIK3CD,0.937,Homo sapiens,Homo sapiens,PIK3CD,4.94954896930169,30.900300634087,UpRegulated
PIK3CD,PRKCD,0.923,Homo sapiens,Homo sapiens,PIK3CD,4.94954896930169,30.900300634087,UpRegulated
FYN,PIK3CD,0.936,Homo sapiens,Homo sapiens,PIK3CD,4.94954896930169,30.900300634087,UpRegulated
CHAC1,GGT1,0.914,Homo sapiens,Homo sapiens,CHAC1,4.75153032141552,26.9372434961585,UpRegulated
GGT1,CHAC1,0.914,Homo sapiens,Homo sapiens,CHAC1,4.75153032141552,26.9372434961585,UpRegulated
FBXO2,BTRC,0.981,Homo sapiens,Homo sapiens,FBXO2,4.74154505740683,26.7514476073255,UpRegulated
FBXO2,CUL1,0.973,Homo sapiens,Homo sapiens,FBXO2,4.74154505740683,26.7514476073255,UpRegulated
FBXO2,FBXO4,0.942,Homo sapiens,Homo sapiens,FBXO2,4.74154505740683,26.7514476073255,UpRegulated
CUL1,FBXO2,0.973,Homo sapiens,Homo sapiens,FBXO2,4.74154505740683,26.7514476073255,UpRegulated
FBXO4,FBXO2,0.942,Homo sapiens,Homo sapiens,FBXO2,4.74154505740683,26.7514476073255,UpRegulated
BTRC,FBXO2,0.981,Homo sapiens,Homo sapiens,FBXO2,4.74154505740683,26.7514476073255,UpRegulated
TP53,SNAI1,0.992,Homo sapiens,Homo sapiens,SNAI1,4.72548312509659,26.455267953158,UpRegulated
SNAI1,TP53,0.992,Homo sapiens,Homo sapiens,SNAI1,4.72548312509659,26.455267953158,UpRegulated
BTRC,SNAI1,0.964,Homo sapiens,Homo sapiens,SNAI1,4.72548312509659,26.455267953158,UpRegulated
SNAI1,BTRC,0.964,Homo sapiens,Homo sapiens,SNAI1,4.72548312509659,26.455267953158,UpRegulated
SNAI1,CDH1,0.965,Homo sapiens,Homo sapiens,SNAI1,4.72548312509659,26.455267953158,UpRegulated
CDH1,SNAI1,0.965,Homo sapiens,Homo sapiens,SNAI1,4.72548312509659,26.455267953158,UpRegulated
SMARCD3,PBRM1,0.997,Homo sapiens,Homo sapiens,SMARCD3,4.7212914776344,26.3785156137027,UpRegulated
