#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AAMP	PA2G4	9606.ENSP00000403343	9606.ENSP00000302886	0	0	0	0	0.213	0.288	0	0.082	0.441
AAMP	PTPRU	9606.ENSP00000403343	9606.ENSP00000334941	0	0	0	0	0.054	0.421	0	0	0.428
AAMP	TBXA2R	9606.ENSP00000403343	9606.ENSP00000393333	0	0	0	0	0	0.292	0.700	0.525	0.890
AAMP	INPP5K	9606.ENSP00000403343	9606.ENSP00000413937	0	0	0	0	0.060	0.514	0	0	0.523
ABCA2	ABCB9	9606.ENSP00000344155	9606.ENSP00000440288	0	0	0	0.550	0.074	0.186	0	0.282	0.413
ABCA2	ATP1A3	9606.ENSP00000344155	9606.ENSP00000444688	0	0	0	0	0.109	0.067	0.720	0.133	0.771
ABCA7	APOE	9606.ENSP00000263094	9606.ENSP00000252486	0	0	0	0	0.047	0	0	0.773	0.774
ABCA7	ABCG1	9606.ENSP00000263094	9606.ENSP00000354995	0	0	0	0.562	0.063	0	0	0.388	0.402
ABCA7	PLCG2	9606.ENSP00000263094	9606.ENSP00000482457	0	0	0	0	0.060	0	0	0.418	0.429
ABCA7	BACE1	9606.ENSP00000263094	9606.ENSP00000318585	0	0	0	0	0	0	0	0.482	0.482
ABCA7	PTK2B	9606.ENSP00000263094	9606.ENSP00000380638	0	0	0	0	0.138	0	0	0.598	0.638
ABCA7	CLU	9606.ENSP00000263094	9606.ENSP00000315130	0	0	0	0	0.068	0.062	0	0.800	0.810
ABCB10	ALAS1	9606.ENSP00000355637	9606.ENSP00000378416	0	0	0	0	0.060	0.044	0	0.396	0.410
ABCB10	ALAD	9606.ENSP00000355637	9606.ENSP00000386284	0	0	0	0	0.056	0	0	0.462	0.471
ABCB10	SLC25A28	9606.ENSP00000355637	9606.ENSP00000359526	0	0	0	0	0.060	0.053	0	0.982	0.982
ABCB9	ABCA2	9606.ENSP00000440288	9606.ENSP00000344155	0	0	0	0.550	0.074	0.186	0	0.282	0.413
ABCC1	SLC22A4	9606.ENSP00000382342	9606.ENSP00000200652	0	0	0	0	0.056	0.070	0	0.420	0.446
ABCC1	SLCO4A1	9606.ENSP00000382342	9606.ENSP00000217159	0	0	0	0	0.059	0	0	0.400	0.411
ABCC1	SLC7A5	9606.ENSP00000382342	9606.ENSP00000261622	0	0	0	0	0.080	0.071	0	0.358	0.404
ABCC1	CDH1	9606.ENSP00000382342	9606.ENSP00000261769	0	0	0	0	0.042	0.045	0	0.545	0.548
ABCC1	TP53	9606.ENSP00000382342	9606.ENSP00000269305	0	0	0	0	0.066	0	0	0.479	0.492
ABCC1	ARAF	9606.ENSP00000382342	9606.ENSP00000290277	0	0	0	0	0.067	0.054	0	0.384	0.409
ABCC1	CYP2B6	9606.ENSP00000382342	9606.ENSP00000324648	0	0	0	0	0.093	0.050	0	0.585	0.611
ABCC1	ACSL3	9606.ENSP00000382342	9606.ENSP00000350012	0	0	0	0	0.103	0.068	0	0.454	0.504
ABCC1	ABCG1	9606.ENSP00000382342	9606.ENSP00000354995	0	0	0	0	0.064	0.100	0	0.578	0.614
ABCC1	SLC46A1	9606.ENSP00000382342	9606.ENSP00000480703	0	0	0	0	0.060	0	0	0.405	0.417
ABCC1	CYP2D6	9606.ENSP00000382342	9606.ENSP00000496150	0	0	0	0	0.093	0.050	0	0.387	0.426
ABCC1	SLC22A5	9606.ENSP00000382342	9606.ENSP00000402760	0	0	0	0	0.056	0.070	0	0.412	0.439
ABCC1	ABCG4	9606.ENSP00000382342	9606.ENSP00000481728	0	0	0	0	0.057	0.100	0	0.517	0.555
ABCC1	MYC	9606.ENSP00000382342	9606.ENSP00000478887	0	0	0	0	0.101	0	0	0.591	0.616
ABCD1	ECI2	9606.ENSP00000218104	9606.ENSP00000369461	0	0	0	0	0.114	0	0	0.411	0.456
ABCD1	ACSL1	9606.ENSP00000218104	9606.ENSP00000422607	0	0	0	0	0.100	0.100	0	0.662	0.703
ABCD1	ACSL3	9606.ENSP00000218104	9606.ENSP00000350012	0	0	0	0	0.067	0.100	0	0.721	0.745
ABCG1	APOE	9606.ENSP00000354995	9606.ENSP00000252486	0	0	0	0	0.047	0	0	0.928	0.928
ABCG1	LIPG	9606.ENSP00000354995	9606.ENSP00000261292	0	0	0	0	0	0.081	0	0.507	0.527
ABCG1	ABCA7	9606.ENSP00000354995	9606.ENSP00000263094	0	0	0	0.562	0.063	0	0	0.388	0.402
ABCG1	IL1B	9606.ENSP00000354995	9606.ENSP00000263341	0	0	0	0	0	0	0	0.479	0.479
ABCG1	LCAT	9606.ENSP00000354995	9606.ENSP00000264005	0	0	0	0	0.059	0	0	0.711	0.717
ABCG1	SCAP	9606.ENSP00000354995	9606.ENSP00000265565	0	0	0	0	0.105	0.067	0	0.494	0.541
ABCG1	CPT1A	9606.ENSP00000354995	9606.ENSP00000265641	0	0	0	0	0.060	0	0	0.581	0.590
ABCG1	NPC1	9606.ENSP00000354995	9606.ENSP00000269228	0	0	0	0	0.109	0.067	0	0.774	0.796
ABCG1	INSIG1	9606.ENSP00000354995	9606.ENSP00000344741	0	0	0	0	0.055	0.053	0	0.419	0.434
ABCG1	CBS	9606.ENSP00000354995	9606.ENSP00000381231	0	0	0	0	0.047	0	0	0.443	0.447
ABCG1	NCEH1	9606.ENSP00000354995	9606.ENSP00000442464	0	0	0	0	0.055	0	0	0.474	0.481
ABCG1	VLDLR	9606.ENSP00000354995	9606.ENSP00000371532	0	0	0	0	0.059	0	0	0.474	0.484
ABCG1	SOAT1	9606.ENSP00000354995	9606.ENSP00000356591	0	0	0	0	0.054	0.065	0	0.574	0.590
ABCG1	ABCC1	9606.ENSP00000354995	9606.ENSP00000382342	0	0	0	0	0.064	0.100	0	0.578	0.614
ABCG1	NR1H2	9606.ENSP00000354995	9606.ENSP00000499121	0	0	0	0	0.083	0.053	0.500	0.781	0.892
ABCG4	APOE	9606.ENSP00000481728	9606.ENSP00000252486	0	0	0	0	0.064	0	0	0.666	0.674
ABCG4	NPC1	9606.ENSP00000481728	9606.ENSP00000269228	0	0	0	0	0.109	0.067	0	0.358	0.419
ABCG4	ABCC1	9606.ENSP00000481728	9606.ENSP00000382342	0	0	0	0	0.057	0.100	0	0.517	0.555
ABCG4	NLRX1	9606.ENSP00000481728	9606.ENSP00000387334	0	0.476	0	0	0.053	0	0	0.112	0.521
ABCG4	SLC22A5	9606.ENSP00000481728	9606.ENSP00000402760	0	0	0	0	0.047	0.094	0	0.371	0.409
ABHD3	ABHD6	9606.ENSP00000289119	9606.ENSP00000295962	0	0	0	0	0.064	0.068	0	0.600	0.621
ABHD6	PLA2G15	9606.ENSP00000295962	9606.ENSP00000219345	0	0	0	0	0.061	0	0	0.402	0.415
ABHD6	LIPE	9606.ENSP00000295962	9606.ENSP00000244289	0.043	0	0	0	0.060	0	0.108	0.429	0.481
ABHD6	ABHD3	9606.ENSP00000295962	9606.ENSP00000289119	0	0	0	0	0.064	0.068	0	0.600	0.621
ABHD6	PAFAH2	9606.ENSP00000295962	9606.ENSP00000363400	0	0	0	0	0.076	0	0	0.521	0.539
ABHD6	PORCN	9606.ENSP00000295962	9606.ENSP00000322304	0	0	0	0	0	0	0.360	0.416	0.610
ABHD6	NCEH1	9606.ENSP00000295962	9606.ENSP00000442464	0.043	0	0	0	0.049	0	0.108	0.604	0.636
ABHD6	DAGLB	9606.ENSP00000295962	9606.ENSP00000297056	0	0	0	0	0.049	0	0	0.810	0.812
ABHD8	OCEL1	9606.ENSP00000247706	9606.ENSP00000215061	0	0	0	0	0.081	0	0	0.455	0.477
ABHD8	RNF125	9606.ENSP00000247706	9606.ENSP00000217740	0	0	0	0	0.074	0	0	0.381	0.403
ABHD8	ACSL1	9606.ENSP00000247706	9606.ENSP00000422607	0	0	0	0	0.044	0.071	0.151	0.308	0.408
