Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Inflammatory Response (GO:0006954)	21/236	1.1371620819133581E-17	1.4828593548150188E-14	0	0	16.54402566158781	645.471957870234	SERPINA3;CXCL8;CCL22;CCL20;ADM;CXCL1;FOS;CXCL3;TNF;CXCL2;THBS1;CXCL5;CX3CL1;CXCL10;IL1A;CXCL11;IL1B;CCL5;CCL4;BDKRB2;CCL2
Cytokine-Mediated Signaling Pathway (GO:0019221)	21/257	6.541026095608486E-17	3.3637027029829514E-14	0	0	15.055778784336646	561.0664319372772	STAT5A;CSF3;CSF2;CXCL8;CCL22;CCL20;CXCL1;CXCL3;TNF;CXCL2;CXCL5;CX3CL1;NFKBIA;CXCL10;IL1A;CXCL11;IL1B;CCL5;CCL4;CCL2;BIRC3
Chemokine-Mediated Signaling Pathway (GO:0070098)	13/57	7.738579838150961E-17	3.3637027029829514E-14	0	0	47.22269061583578	1751.8545504801136	CXCL8;CCL22;CCL20;CXCL1;CXCL3;CXCL2;CX3CL1;CXCL5;CXCL10;CXCL11;CCL5;CCL4;CCL2
Cellular Response To Chemokine (GO:1990869)	13/59	1.264609356920639E-16	4.122626503561283E-14	0	0	45.164971949509116	1653.3359818714787	CXCL8;CCL22;CCL20;CXCL1;CXCL3;CXCL2;CX3CL1;CXCL5;CXCL10;CXCL11;CCL5;CCL4;CCL2
Neutrophil Chemotaxis (GO:0030593)	13/70	1.3917944297913507E-15	3.629799872895843E-13	0	0	36.42869269949066	1246.1593689621975	CXCL8;CCL22;CCL20;CXCL1;CXCL3;CXCL2;CX3CL1;CXCL5;CXCL10;CXCL11;CCL5;CCL4;CCL2
Granulocyte Chemotaxis (GO:0071621)	13/73	2.486171310588028E-15	5.403278981677982E-13	0	0	34.60201612903226	1163.5977227472374	CXCL8;CCL22;CCL20;CXCL1;CXCL3;CXCL2;CX3CL1;CXCL5;CXCL10;CXCL11;CCL5;CCL4;CCL2
Neutrophil Migration (GO:1990266)	13/77	5.174276891116394E-15	9.638938665736826E-13	0	0	32.432837701612904	1066.8806869297168	CXCL8;CCL22;CCL20;CXCL1;CXCL3;CXCL2;CX3CL1;CXCL5;CXCL10;CXCL11;CCL5;CCL4;CCL2
Cellular Response To Lipopolysaccharide (GO:0071222)	14/124	1.4589932361113566E-13	2.378158974861511E-11	0	0	20.439172209903916	604.0973036726936	CXCL8;TNFAIP3;CXCL1;TICAM1;CXCL3;TNF;CXCL2;CXCL5;CXCL10;IL1A;CXCL11;IL1B;CCL5;CCL2
Cellular Response To Molecule Of Bacterial Origin (GO:0071219)	12/117	2.72000896740692E-11	3.940990770554026E-9	0	0	18.064457142857144	439.46851575875985	CXCL10;IL1A;CXCL11;CXCL8;IL1B;TNFAIP3;CCL2;CXCL1;TICAM1;CXCL3;CXCL2;CXCL5
Lymphocyte Chemotaxis (GO:0048247)	8/44	5.678934785750269E-10	6.828049143806921E-8	0	0	34.15503875968992	727.1296002680642	CXCL10;CXCL11;CCL22;CCL20;CCL5;CCL4;CCL2;CX3CL1
Cellular Response To Lipid (GO:0071396)	14/228	5.759857406585593E-10	6.828049143806921E-8	0	0	10.450801610819846	222.34015852916687	CXCL8;TNFAIP3;CXCL1;TICAM1;CXCL3;CXCL2;CXCL5;CXCL10;IL1A;CXCL11;IL1B;CCL2;HSPA1B;HSPA1A
Response To Lipopolysaccharide (GO:0032496)	12/159	9.909547468325108E-10	1.0768374915579951E-7	0	0	12.875755102040817	266.94469021886215	CXCL10;IL1A;CXCL11;CXCL8;IL1B;TNFAIP3;CCL2;CXCL1;TICAM1;CXCL3;CXCL2;CXCL5
Negative Regulation Of Extrinsic Apoptotic Signaling Pathway (GO:2001237)	9/70	1.1626525122779654E-9	1.166229904623436E-7	0	0	22.825051229508198	469.5697768637621	IL1A;CSF2;IL1B;TNFAIP3;TNF;THBS1;HSPA1B;ICAM1;HSPA1A
Negative Regulation Of Extrinsic Apoptotic Signaling Pathway In Absence Of Ligand (GO:2001240)	6/22	6.308085967307623E-9	5.48382940091276E-7	0	0	56.81393129770992	1072.7284679233758	IL1A;CSF2;IL1B;TNF;HSPA1B;HSPA1A
Negative Regulation Of Signal Transduction In Absence Of Ligand (GO:1901099)	6/22	6.308085967307623E-9	5.48382940091276E-7	0	0	56.81393129770992	1072.7284679233758	IL1A;CSF2;IL1B;TNF;HSPA1B;HSPA1A
Cellular Response To Tumor Necrosis Factor (GO:0071356)	10/119	9.215772939059154E-9	7.510854945333211E-7	0	0	14.270028173083869	264.0290467922006	NFKBIA;CXCL8;CCL22;CCL20;CCL5;CCL4;CCL2;TNF;CX3CL1;BIRC3
Regulation Of Extrinsic Apoptotic Signaling Pathway In Absence Of Ligand (GO:2001239)	6/27	2.433250710706238E-8	1.8664464275064319E-6	0	0	43.275899672846236	758.6893855482862	IL1A;CSF2;IL1B;TNF;HSPA1B;HSPA1A
Cellular Response To Cytokine Stimulus (GO:0071345)	14/308	2.7202841637024797E-8	1.970694749704463E-6	0	0	7.576074332171893	131.9747936151236	STAT5A;CSF3;CSF2;CXCL8;CCL22;CCL20;CX3CL1;NFKBIA;IL1A;IL1B;IRF1;CCL5;CCL4;CCL2
Regulation Of Cell Population Proliferation (GO:0042127)	21/766	5.90182980783274E-8	4.050518983902049E-6	0	0	4.645660726683638	77.32896609505406	STAT5A;CSF3;CSF2;CXCL8;CSF1;LIF;CXCL1;SOD2;ETS1;THBS1;CXCL5;CX3CL1;CXCL10;IL1A;CXCL11;NR4A3;IL1B;IRF1;CYP1B1;HSPA1B;HSPA1A
Cellular Response To Interleukin-1 (GO:0071347)	8/81	8.333963803964325E-8	5.43374440018474E-6	0	0	16.812148242540086	274.0437586122104	CXCL8;CCL22;CCL20;IL1B;CCL5;CCL4;CCL2;CX3CL1
Cellular Response To Organic Substance (GO:0071310)	8/82	9.18209467563247E-8	5.701643550964163E-6	0	0	16.584119002723654	268.71953487266666	CSF3;OXTR;IL1B;CCL5;CYP1A1;CYP1B1;CCL2;TNF
Positive Regulation Of Response To External Stimulus (GO:0032103)	10/155	1.1532944465343487E-7	6.83589071945814E-6	0	0	10.707575346185175	171.0585815665937	NFKBIA;PLAU;IL23A;IL1B;CCL5;NFKBIZ;ETS1;TNF;THBS1;CX3CL1
Response To Interleukin-1 (GO:0070555)	8/85	1.21864437525826E-7	6.909183762333787E-6	0	0	15.935568307661331	253.6999297284774	CXCL8;CCL22;CCL20;IL1B;CCL5;CCL4;CCL2;CX3CL1
Lipopolysaccharide-Mediated Signaling Pathway (GO:0031663)	5/20	2.0003355197224826E-7	1.0868489657158822E-5	0	0	50.121212121212125	773.1087066212239	CCL5;IL1B;CCL2;TICAM1;TNF
Cellular Response To Heat (GO:0034605)	6/40	2.933014421287107E-7	1.5209047975074249E-5	0	0	26.71171980242479	401.7994240358336	DNAJB1;IL1A;HSPA6;THBS1;HSPA1B;HSPA1A
Antimicrobial Humoral Immune Response Mediated By Antimicrobial Peptide (GO:0061844)	7/65	3.0324788907356633E-7	1.5209047975074249E-5	0	0	18.386604774535808	275.9593154781847	CXCL10;CXCL11;CXCL8;CXCL1;CXCL3;CXCL2;CXCL5
Cellular Response To Type II Interferon (GO:0071346)	7/66	3.373024746739153E-7	1.591149601498611E-5	0	0	18.07405475880052	269.34472882483516	CCL22;CCL20;IRF1;CCL5;CCL4;CCL2;CX3CL1
Lymphocyte Migration (GO:0072676)	6/41	3.416578898923398E-7	1.591149601498611E-5	0	0	25.947219193020718	386.3399764857188	CCL22;CCL20;CCL5;CCL4;CCL2;CX3CL1
Monocyte Chemotaxis (GO:0002548)	6/42	3.963691516620521E-7	1.7822943923010894E-5	0	0	25.22519083969466	371.8425165897347	CCL22;CCL20;CCL5;CCL4;CCL2;CX3CL1
Eosinophil Chemotaxis (GO:0048245)	5/24	5.364511534110241E-7	2.2565558195095982E-5	0	0	39.56140350877193	571.1990295551719	CCL22;CCL5;CCL4;CCL2;CX3CL1
Eosinophil Migration (GO:0072677)	5/24	5.364511534110241E-7	2.2565558195095982E-5	0	0	39.56140350877193	571.1990295551719	CCL22;CCL5;CCL4;CCL2;CX3CL1
Response To Tumor Necrosis Factor (GO:0034612)	8/108	7.812596862966126E-7	3.134777920969165E-5	0	0	12.256124031007753	172.35000672742285	NFKBIA;CXCL8;CCL22;CCL20;CCL5;CCL4;CCL2;CX3CL1
Cellular Response To Oxygen-Containing Compound (GO:1901701)	14/406	7.933103634354481E-7	3.134777920969165E-5	0	0	5.6536004645760745	79.41641582921926	CXCL8;TNFAIP3;CXCL1;FOS;TICAM1;CXCL3;CXCL2;CXCL5;CXCL10;IL1A;CXCL11;NR4A3;IL1B;CCL2
