Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Intracellular Organelle Lumen (GO:0070013)	13/856	0.005969220461613934	0.25568599214150217	0	0	2.3654000688784294	12.113542392062696	TOR4A;CSF3;CSF1;SDC4;HSPA6;CXCL1;SOD2;THBS1;RCAN1;HSPH1;IL23A;HSPA1B;HSPA1A
Endocytic Vesicle Lumen (GO:0071682)	2/21	0.008982434095061937	0.25568599214150217	0	0	15.4729044834308	72.91582063014043	CSF3;HSPH1
Platelet Alpha Granule Lumen (GO:0031093)	3/66	0.010507643512664474	0.25568599214150217	0	0	7.036247334754798	32.054696586571794	TOR4A;SERPINA3;THBS1
Platelet Alpha Granule (GO:0031091)	3/89	0.02328642263581697	0.3491373112407004	0	0	5.148472752516487	19.357664485303136	TOR4A;SERPINA3;THBS1
Aggresome (GO:0016235)	2/35	0.023913514468541123	0.3491373112407004	0	0	8.902356902356903	33.23527158692459	HSPA1B;HSPA1A
Serine Protease Inhibitor Complex (GO:0097180)	1/5	0.03378711383543003	0.4110765516643987	0	0	36.505514705882355	123.66884861369475	PLAU
Endoplasmic Reticulum Lumen (GO:0005788)	5/284	0.04601196778590947	0.47977861397585964	0	0	2.6588465298142716	8.186199601208834	TOR4A;RCAN1;CSF1;IL23A;THBS1
Ficolin-1-Rich Granule Lumen (GO:1904813)	3/123	0.052578478243929826	0.47977861397585964	0	0	3.68339552238806	10.849251454716292	HSPA6;HSPA1B;HSPA1A
Serine-Type Endopeptidase Complex (GO:1905370)	1/10	0.06644082214506918	0.4856322408767995	0	0	16.220588235294116	43.98121048429159	PLAU
Secretory Granule Lumen (GO:0034774)	5/316	0.06652496450367117	0.4856322408767995	0	0	2.3813699697944073	6.453936491751179	TOR4A;SERPINA3;HSPA6;CXCL1;THBS1
Serine-Type Peptidase Complex (GO:1905286)	1/12	0.07919342514991488	0.4875396876905539	0	0	13.270053475935828	33.65102433952089	PLAU
Tertiary Granule Membrane (GO:0070821)	2/72	0.08734146782854477	0.4875396876905539	0	0	4.188994708994709	10.212475557360575	PLAU;PTAFR
Endopeptidase Complex (GO:1905369)	1/14	0.09177308130260607	0.4875396876905539	0	0	11.22737556561086	26.815870864611973	PLAU
Vacuolar Lumen (GO:0005775)	3/161	0.09879469851396142	0.4875396876905539	0	0	2.7921311165690534	6.4629775427470495	SERPINA3;CSF3;SDC4
