Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cytokine Activity (GO:0005125)	21/178	3.084674022409906E-20	4.28769689114977E-18	0	0	22.722710300900506	1020.8235744062739	CSF3;CSF2;CXCL8;CCL22;CSF1;CCL20;LIF;CXCL1;CXCL3;TNF;INHBC;CXCL2;CXCL5;CX3CL1;CXCL10;IL1A;CXCL11;IL1B;CCL5;CCL4;CCL2
Chemokine Activity (GO:0008009)	13/46	3.4274367347905392E-18	2.382068530679425E-16	0	0	62.99853372434018	2533.4683311193394	CXCL8;CCL22;CCL20;CXCL1;CXCL3;CXCL2;CX3CL1;CXCL5;CXCL10;CXCL11;CCL5;CCL4;CCL2
Chemokine Receptor Binding (GO:0042379)	13/50	1.1678876956527807E-17	5.411212989857884E-16	0	0	56.17654751525719	2190.2533586268464	CXCL8;CCL22;CCL20;CXCL1;CXCL3;CXCL2;CX3CL1;CXCL5;CXCL10;CXCL11;CCL5;CCL4;CCL2
CXCR Chemokine Receptor Binding (GO:0045236)	6/16	7.002458361350322E-10	2.433354280569237E-8	0	0	90.92977099236641	1916.7622593112328	CXCL10;CXCL11;CXCL8;CXCL3;CXCL2;CXCL5
Receptor Ligand Activity (GO:0048018)	15/319	5.334675366572936E-9	1.4830397519072762E-7	0	0	7.910510138050043	150.68760666702792	CSF3;CSF2;CSF1;LIF;CXCL1;TNF;DKK1;INHBC;CX3CL1;CXCL10;IL1A;IL1B;CCL5;CCL4;HSPA1A
CCR Chemokine Receptor Binding (GO:0048020)	6/44	5.274233503074082E-7	1.221864094878829E-5	0	0	23.89513860988349	345.41049605289356	CCL22;CCL20;CCL5;CCL4;CCL2;CX3CL1
Cytokine Receptor Binding (GO:0005126)	7/100	5.714942831324485E-6	1.1348243622201478E-4	0	0	11.446650124069478	138.18883959303975	CSF3;CSF1;IL23A;IL1B;CCL5;LIF;INHBC
Growth Factor Activity (GO:0008083)	5/85	2.9631067190948187E-4	0.005148397924427247	0	0	9.366950757575758	76.09806419647171	CSF3;CSF1;LIF;CXCL1;DKK1
C3HC4-type RING Finger Domain Binding (GO:0055131)	2/5	4.595524823877063E-4	0.007097532783543464	0	0	98.07407407407408	753.7245041531471	HSPA1B;HSPA1A
Chemoattractant Activity (GO:0042056)	3/35	0.0017529746849877213	0.024366348121329328	0	0	13.874300373134329	88.0524303176085	CXCL10;CCL5;CX3CL1
Transcription Regulatory Region Nucleic Acid Binding (GO:0001067)	6/224	0.004496145141649323	0.056814924971750544	0	0	4.127389873240423	22.306622551928	IRF1;CYP1A1;FOXJ1;FOS;ETS1;TNF
Cysteine-Type Endopeptidase Inhibitor Activity Involved In Apoptotic Process (GO:0043027)	2/19	0.007379921577924611	0.08548409161096009	0	0	17.294989106753814	84.900967778125	TNFSF14;BIRC3
Steroid Hydroxylase Activity (GO:0008395)	2/23	0.010725524840857674	0.10712026292917895	0	0	13.997883597883598	63.48220615181043	CYP1A1;CYP1B1
Protease Binding (GO:0002020)	4/125	0.010789091230277017	0.10712026292917895	0	0	4.90697818927484	22.224782412802448	BDKRB2;TNFAIP3;TNF;THBS1
G Protein-Coupled Receptor Binding (GO:0001664)	4/140	0.01578599004519482	0.13821999607801655	0	0	4.362450243255197	18.098202589663774	CCL5;ADM;HSPA1B;HSPA1A
