Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Arthritis	17/186	1.1084626100688406E-14	2.649225638064529E-12	0	0	16.50877712031558	530.4801222773689	CSF2;CSF1;CCL20;LIF;CXCL1;FOS;DKK1;CXCL5;ICAM1;NFKBIA;CXCL10;IL1A;IL23A;IL1B;CCL5;CCL4;CCL2
Lung disease	14/119	8.163217315064749E-14	9.755044691502375E-12	0	0	21.41788617886179	645.4612605174169	CSF2;CXCL1;TNF;CXCL2;CXCL5;ICAM1;NFKBIA;CXCL10;IL1A;CXCL11;IL1B;CCL5;CCL4;CCL2
Influenza	8/99	4.000734953545977E-7	3.1872521796582954E-5	0	0	13.474401567424824	198.49973085340565	CXCL10;CSF2;IL1B;CCL5;CCL4;CCL2;CXCL3;TNF
Periodontitis	5/35	3.85676530708595E-6	2.304417270983855E-4	0	0	25.041666666666668	312.1614466342372	IL1A;IL1B;CCL2;TNF;ICAM1
Collagen disease	4/25	2.3834468553262855E-5	0.0011392875968459645	0	0	28.41675617615467	302.4786876364136	IL1B;CCL2;TNF;ICAM1
Peritonitis	4/32	6.528168147907704E-5	0.002600386978916569	0	0	21.305048335123523	205.3124704016901	IL1B;CCL2;TNF;ICAM1
Gingivitis	3/13	8.55192106061155E-5	0.0027949036103425175	0	0	44.44701492537313	416.32494473832645	IL1A;IL1B;TNF
Brain ischemia	4/35	9.355325892359891E-5	0.0027949036103425175	0	0	19.240358961920933	178.49241892712547	IL1B;FOS;TNF;ICAM1
Human immunodeficiency virus infectious disease	5/69	1.1080375264701003E-4	0.002942455209181711	0	0	11.718158143939394	106.72605384609167	CXCL10;CCL5;CCL4;CCL2;ICAM1
Keratitis	4/39	1.438765175846038E-4	0.0034386487702720305	0	0	17.038023630504835	150.7278155756743	CXCL1;THBS1;TNF;ICAM1
Common cold	4/42	1.9270449110476626E-4	0.00406405481239352	0	0	15.690542144835774	134.22243119422268	CCL5;IL1B;TNF;ICAM1
Allergic hypersensitivity disease	6/123	2.0405296129172483E-4	0.00406405481239352	0	0	7.729888432178509	65.68187449713565	CSF2;CCL22;IL1B;CCL5;TNF;ICAM1
Meningitis	4/44	2.312534807481682E-4	0.00425150629990863	0	0	14.90451127819549	124.7805107376287	CCL5;IL1B;CCL2;TNF
