Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Proteins Involved in Atherosclerosis	21/200	3.626257360546543E-19	3.1475913889543994E-16	0	0	19.907724908495474	845.3002287329988	CSF3;CSF2;CXCL8;ADM;CXCL1;FOS;TNF;THBS1;CXCL5;CX3CL1;ICAM1;NFKBIA;CXCL10;IL1A;CXCL11;PLAU;IL1B;CCL5;CCL4;CCL2;HSPA1A
TLR2 Induced Synovial Fibroblast Activation in Rheumatoid Arthritis	11/35	3.7541403953816876E-16	1.6292969315956525E-13	0	0	72.16567460317461	2563.216668661883	NFKBIA;CXCL10;CXCL8;CCL20;CCL5;IL1B;FOS;TICAM1;CXCL2;TNF;ICAM1
Proteins Involved in HIV Type 1 Infection	13/88	3.1727393722104324E-14	9.179792583595518E-12	0	0	27.660645161290322	859.736996119533	STAT5A;CSF2;CCL22;CSF1;TNF;THBS1;ICAM1;NFKBIA;PLAU;IL1B;CCL5;CCL4;CCL2
Proteins Involved in Myocarditis	17/207	6.554287439656258E-14	1.4222803744054079E-11	0	0	14.668464912280701	445.27697547333844	SERPINA3;CSF3;CSF2;CSF1;ADM;TICAM1;TNF;CXCL2;THBS1;ICAM1;CXCL10;PLAU;IL1B;IRF1;CCL5;BDKRB2;CCL2
Proteins Involved in Glomerulonephritis	14/121	1.0330635389628523E-13	1.7933983036395115E-11	0	0	21.015424359851075	628.3838327213116	CSF2;CXCL8;CSF1;LIF;ADM;TNF;CXCL2;CX3CL1;ICAM1;CXCL10;IL1B;CCL5;CCL2;CFB
IL17 Signaling in Psoriasis	10/41	1.5250994983249082E-13	2.2063106075767003E-11	0	0	50.37338074676149	1486.5963711006536	NFKBIA;CSF3;CSF2;CXCL8;CCL20;CCL2;CXCL1;FOS;CXCL2;CXCL5
ROS in Triggering Vascular Inflammation	9/32	6.24410963054449E-13	7.382055456707348E-11	0	0	60.65217391304348	1704.445429126521	NFKBIA;CSF2;CXCL8;PLAU;CCL5;CCL2;CXCL2;TNF;ICAM1
IL1B Expression Targets -> Nociception	10/47	6.803737748117372E-13	7.382055456707348E-11	0	0	42.19195573526282	1182.0554889306572	NFKBIA;CSF3;CXCL8;PLAU;IL1B;CCL2;FOS;TNF;CX3CL1;ICAM1
Cytokines Trigger Otitis Media	11/71	1.870520147868494E-12	1.7776347534356263E-10	0	0	28.81388888888889	778.1134383403564	NFKBIA;IL1A;CSF3;CXCL8;CCL20;IL1B;CCL2;CXCL1;TNF;CXCL5;ICAM1
Neutrophil Recruitment in Sinovium in Gout	9/36	2.0479663058014127E-12	1.7776347534356263E-10	0	0	51.65625	1390.2852935141016	NFKBIA;CSF3;CXCL8;IL1B;CCL2;CXCL1;CXCL2;TNF;ICAM1
Proteins Involved in Rheumatoid Arthritis	12/96	2.5037217325878788E-12	1.9756640580784352E-10	0	0	22.60457142857143	603.8414049167092	IL1A;CXCL10;CSF2;CXCL8;TNFSF14;IL1B;CCL5;CCL2;ADM;TNF;CX3CL1;ICAM1
