Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
TNF signaling pathway	20/112	4.731968079229856E-23	7.381870203598574E-21	0	0	36.73541434411	1888.38823340761	CSF2;CSF1;CCL20;LIF;TNFAIP3;CXCL1;FOS;CXCL3;TNF;CXCL2;CX3CL1;CXCL5;ICAM1;NFKBIA;CXCL10;IL1B;IRF1;CCL5;CCL2;BIRC3
Rheumatoid arthritis	17/93	6.435012873460425E-20	5.0193100412991314E-18	0	0	36.883662280701756	1629.887118908635	CSF2;CXCL8;CSF1;CCL20;CXCL1;FOS;CXCL3;CXCL2;TNF;CXCL5;ICAM1;IL1A;IL23A;IL1B;CCL5;CCL2;LTB
Cytokine-cytokine receptor interaction	24/295	3.577857592097171E-19	1.860485947890529E-17	0	0	15.354733370342553	652.1823589986593	CSF3;CSF2;CXCL8;CCL22;CSF1;TNFSF14;CCL20;LIF;CXCL1;CXCL3;TNF;INHBC;CXCL2;CXCL5;CX3CL1;CXCL10;IL1A;CXCL11;IL23A;IL1B;CCL5;CCL4;CCL2;LTB
Viral protein interaction with cytokine and cytokine receptor	16/100	7.906624481693418E-18	3.083583547860433E-16	0	0	31.1357733175915	1226.090346928457	CXCL8;CCL22;CSF1;TNFSF14;CCL20;CXCL1;CXCL3;TNF;CXCL2;CX3CL1;CXCL5;CXCL10;CXCL11;CCL5;CCL4;CCL2
IL-17 signaling pathway	15/94	9.188200575378544E-17	2.8667185795181054E-15	0	0	30.79062046067649	1136.9752660405668	CSF3;CSF2;CXCL8;CCL20;TNFAIP3;CXCL1;FOS;CXCL3;CXCL2;TNF;CXCL5;NFKBIA;CXCL10;IL1B;CCL2
NF-kappa B signaling pathway	15/104	4.452893559337625E-16	1.1577523254277826E-14	0	0	27.31718548535642	965.6026102899799	CXCL8;TNFSF14;TNFAIP3;CXCL1;TICAM1;CXCL3;TNF;CXCL2;ICAM1;NFKBIA;PLAU;IL1B;CCL4;LTB;BIRC3
Lipid and atherosclerosis	17/215	1.2241244587986798E-13	2.7280487938942006E-12	0	0	14.070075757575758	418.32277387333073	CXCL8;HSPA6;CXCL1;FOS;TICAM1;CXCL3;SOD2;TNF;CXCL2;ICAM1;NFKBIA;IL1B;CCL5;CYP1A1;CCL2;HSPA1B;HSPA1A
Legionellosis	10/57	5.355051495883279E-12	1.0442350416972395E-10	0	0	33.19819065170045	861.5920044343617	NFKBIA;CXCL8;IL1B;HSPA6;CXCL1;CXCL3;CXCL2;TNF;HSPA1B;HSPA1A
Chemokine signaling pathway	14/192	5.914885426082003E-11	1.0252468071875473E-9	0	0	12.587466885904814	296.4469781689429	CXCL8;CCL22;CCL20;CXCL1;CXCL3;CXCL2;CXCL5;CX3CL1;NFKBIA;CXCL10;CXCL11;CCL5;CCL4;CCL2
Pertussis	9/76	2.460294759482262E-9	3.497036999261007E-8	0	0	20.77472014925373	411.8169591097634	IL1A;CXCL8;IL23A;IL1B;IRF1;FOS;TICAM1;TNF;CXCL5
Toll-like receptor signaling pathway	10/104	2.4658594225558383E-9	3.497036999261007E-8	0	0	16.55972524711007	328.2257674863286	NFKBIA;CXCL10;CXCL11;CXCL8;IL1B;CCL5;CCL4;FOS;TICAM1;TNF
NOD-like receptor signaling pathway	12/181	4.355153720129172E-9	5.661699836167924E-8	0	0	11.187124260355029	215.37346388618712	NFKBIA;CXCL8;IL1B;CCL5;TNFAIP3;CCL2;CXCL1;TICAM1;CXCL3;TNF;CXCL2;BIRC3
Influenza A	11/172	2.8662057259007012E-8	3.4394468710808416E-7	0	0	10.683328403825298	185.54475335927188	NFKBIA;CXCL10;IL1A;DNAJB1;CXCL8;IL1B;CCL5;CCL2;TICAM1;TNF;ICAM1
Chagas disease	9/102	3.4043300284067E-8	3.793396317367466E-7	0	0	14.947076612903226	257.02443765271346	NFKBIA;CXCL8;IL1B;CCL5;BDKRB2;CCL2;FOS;TICAM1;TNF
Malaria	7/50	4.738417055356742E-8	4.927953737571013E-7	0	0	24.81932021466905	418.57727992893035	CSF3;CXCL8;IL1B;CCL2;TNF;THBS1;ICAM1
Measles	9/139	4.920012164287263E-7	4.797011860180082E-6	0	0	10.672896634615384	155.02152518859052	STAT5A;NFKBIA;IL1A;IL1B;HSPA6;TNFAIP3;FOS;HSPA1B;HSPA1A
Coronavirus disease	11/232	5.930234613925302E-7	5.441862351602041E-6	0	0	7.759175465057818	111.25130514041031	NFKBIA;CXCL10;CSF3;CSF2;CXCL8;IL1B;CCL2;MASP2;FOS;TNF;CFB
Kaposi sarcoma-associated herpesvirus infection	10/193	8.800362453952834E-7	7.626980793425789E-6	0	0	8.467793984768297	118.06901508967087	NFKBIA;RCAN1;CSF2;CXCL8;CXCL1;FOS;TICAM1;CXCL3;CXCL2;ICAM1
AGE-RAGE signaling pathway in diabetic complications	7/100	5.714942831324485E-6	4.692268850982209E-5	0	0	11.446650124069478	138.18883959303975	STAT5A;IL1A;CXCL8;IL1B;CCL2;TNF;ICAM1
Amoebiasis	7/102	6.518544446022708E-6	5.084464667897712E-5	0	0	11.204534412955466	133.7917706437393	CSF2;CXCL8;IL1B;CXCL1;CXCL3;TNF;CXCL2
Epithelial cell signaling in Helicobacter pylori infection	6/70	8.467230130861369E-6	6.289942382925588E-5	0	0	14.169131679389313	165.48564056303871	NFKBIA;CXCL8;CCL5;CXCL1;CXCL3;CXCL2
