Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Melatonin	2/5	4.595524823877063E-4	0.004595524823877063	0	0	98.07407407407408	753.7245041531471	CYP1A1;CYP1B1
beta-Estradiol	2/24	0.011648508762921166	0.05824254381460583	0	0	13.360942760942761	59.49062791002039	CYP1A1;CYP1B1
3-Phospho-D-glyceroyl Dihydrogen Phosphate	1/5	0.03378711383543003	0.09318132148845001	0	0	36.505514705882355	123.66884861369475	GAPDHS
NAD+	3/107	0.03727252859538001	0.09318132148845001	0	0	4.25351607347876	13.991935689689381	GAPDHS;CYP1A1;CYP1B1
Glyceraldehyde 3-Phosphate	1/8	0.05351291321651436	0.10702582643302871	0	0	20.857142857142858	61.06621624401382	GAPDHS
4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone	1/10	0.06644082214506918	0.11073470357511529	0	0	16.220588235294116	43.98121048429159	CYP1A1
Dehydroepiandrosterone	1/12	0.07919342514991488	0.1131334644998784	0	0	13.270053475935828	33.65102433952089	CYP1A1
NADP+	2/99	0.1475800815835904	0.18194150008997564	0	0	3.0188621611302024	5.776243537061962	CYP1A1;CYP1B1
Estrone	1/26	0.16374735008097807	0.18194150008997564	0	0	5.834705882352941	10.557495291482919	CYP1A1
Retinoic Acid	1/38	0.2300562149832744	0.2300562149832744	0	0	3.9399841017488075	5.789537091199061	CYP1A1
