Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Interleukin-10 Signaling R-HSA-6783783	18/45	5.081080031236169E-28	1.8139455711513122E-25	0	0	111.12605042016807	6983.9231953425	CSF3;CSF2;CXCL8;CCL22;CSF1;CCL20;PTAFR;LIF;CXCL1;CXCL2;TNF;ICAM1;CXCL10;IL1A;CCL5;IL1B;CCL4;CCL2
Chemokine Receptors Bind Chemokines R-HSA-380108	13/56	6.008224377604645E-17	1.072468051402429E-14	0	0	48.32333083270818	1804.9159022584045	CXCL8;CCL22;CCL20;CXCL1;CXCL3;CXCL2;CX3CL1;CXCL5;CXCL10;CXCL11;CCL5;CCL4;CCL2
Signaling By Interleukins R-HSA-449147	22/453	5.404544714079856E-13	6.431408209755029E-11	0	0	8.625118531221629	243.62825478825002	STAT5A;CSF3;CSF2;CXCL8;CCL22;CSF1;CCL20;PTAFR;LIF;CXCL1;FOS;TNF;CXCL2;ICAM1;NFKBIA;CXCL10;IL1A;IL23A;IL1B;CCL5;CCL4;CCL2
Cytokine Signaling In Immune System R-HSA-1280215	26/702	1.708235486520763E-12	1.524600171719781E-10	0	0	6.6483021483021485	180.1394708038626	CSF3;CSF2;CXCL8;CSF1;PTAFR;CXCL1;TNF;CXCL2;ICAM1;CCL5;CCL4;CCL2;STAT5A;CCL22;TNFSF14;CCL20;LIF;FOS;NFKBIA;CXCL10;IL1A;IL23A;IL1B;IRF1;LTB;BIRC3
Peptide Ligand-Binding Receptors R-HSA-375276	15/196	5.872706185105583E-12	4.1931122161653863E-10	0	0	13.369712888325333	345.7502085432531	OXTR;CXCL8;CCL22;CCL20;CXCL1;CXCL3;CXCL2;CXCL5;CX3CL1;CXCL10;CXCL11;CCL5;CCL4;BDKRB2;CCL2
Immune System R-HSA-168256	39/1943	4.236091639452985E-10	2.520474525474526E-8	0	0	3.7536496741553766	81.01205504212892	SERPINA3;CSF3;CSF2;CXCL8;CSF1;PTAFR;TNFAIP3;CXCL1;TNF;CXCL2;ICAM1;PLAU;CCL5;CCL4;CCL2;POTEF;NANOS1;STAT5A;CCL22;TNFSF14;CCL20;NANOS3;HSPA6;LIF;FOS;TICAM1;NFKBIA;RCAN1;CXCL10;IL1A;IL23A;IL1B;IRF1;MASP2;LTB;CFB;HSPA1B;BIRC3;HSPA1A
Class A/1 (Rhodopsin-like Receptors) R-HSA-373076	16/327	8.976775913136657E-10	4.578155715699695E-8	0	0	8.313146076373203	173.17289285649738	OXTR;CXCL8;CCL22;CCL20;PTAFR;CXCL1;CXCL3;CXCL2;CXCL5;CX3CL1;CXCL10;CXCL11;CCL5;CCL4;BDKRB2;CCL2
GPCR Ligand Binding R-HSA-500792	18/458	2.468507572529967E-9	1.1015715042414978E-7	0	0	6.677119938884645	132.3381941557002	OXTR;CXCL8;CCL22;CCL20;PTAFR;SCTR;ADM;CXCL1;CXCL3;CXCL2;CXCL5;CX3CL1;CXCL10;CXCL11;CCL5;CCL4;BDKRB2;CCL2
Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807	10/107	3.2624185797566123E-9	1.2940927033034562E-7	0	0	16.045133533566037	313.53469755434196	IL1A;CXCL8;CCL22;IL23A;IL1B;LIF;CCL2;FOS;TNF;ICAM1
Attenuation Phase R-HSA-3371568	6/26	1.9031927585164355E-8	6.794398147903675E-7	0	0	45.44198473282443	807.8288820495295	DNAJB1;HSPH1;HSPA6;HSPA1B;DEDD2;HSPA1A
