Genes,Term,Adjusted P-value,Log2FoldChange,FoldChange,Regulation
CCL4,"Cytokine-cytokine receptor interaction, Viral protein interaction with cytokine and cytokine receptor, NF-kappa B signaling pathway, Chemokine signaling pathway, Toll-like receptor signaling pathway, Cytosolic DNA-sensing pathway, Human cytomegalovirus infection","1.860485947890529e-17, 3.083583547860433e-16, 1.1577523254277826e-14, 1.025246807187547e-09, 3.4970369992610075e-08, 0.000446870364326348, 0.0008781287132390562",5.23607385633261,37.6890586452678,UpRegulated
CSF2,"TNF signaling pathway, Rheumatoid arthritis, Cytokine-cytokine receptor interaction, IL-17 signaling pathway, Coronavirus disease, Kaposi sarcoma-associated herpesvirus infection, Amoebiasis, Hematopoietic cell lineage, Transcriptional misregulation in cancer, Human T-cell leukemia virus 1 infection, Shigellosis, JAK-STAT signaling pathway, T cell receptor signaling pathway","7.381870203598573e-21, 5.0193100412991314e-18, 1.860485947890529e-17, 2.8667185795181054e-15, 5.441862351602041e-06, 7.626980793425789e-06, 5.084464667897712e-05, 0.00039989308344330783, 0.0017127695399908, 0.0036356612242499, 0.006209960659943, 0.0162059085937925, 0.0171354500913545",5.02517728476931,32.5633514305733,UpRegulated
CSF3,"Cytokine-cytokine receptor interaction, IL-17 signaling pathway, Malaria, Coronavirus disease, Hematopoietic cell lineage, JAK-STAT signaling pathway","1.860485947890529e-17, 2.8667185795181054e-15, 4.927953737571013e-07, 5.441862351602041e-06, 0.00039989308344330783, 0.0162059085937925",4.95007750589376,30.9116231458627,UpRegulated
CXCL8,"Rheumatoid arthritis, Cytokine-cytokine receptor interaction, Viral protein interaction with cytokine and cytokine receptor, IL-17 signaling pathway, NF-kappa B signaling pathway, Lipid and atherosclerosis, Legionellosis, Chemokine signaling pathway, Pertussis, Toll-like receptor signaling pathway, NOD-like receptor signaling pathway, Influenza A, Chagas disease, Malaria, Coronavirus disease, Kaposi sarcoma-associated herpesvirus infection, AGE-RAGE signaling pathway in diabetic complications, Amoebiasis, Epithelial cell signaling in Helicobacter pylori infection, Yersinia infection, Human cytomegalovirus infection, Transcriptional misregulation in cancer, Hepatitis B, RIG-I-like receptor signaling pathway, Shigellosis, Non-alcoholic fatty liver disease, Salmonella infection, Pathogenic Escherichia coli infection","5.0193100412991314e-18, 1.860485947890529e-17, 3.083583547860433e-16, 2.8667185795181054e-15, 1.1577523254277826e-14, 2.728048793894201e-12, 1.0442350416972395e-10, 1.025246807187547e-09, 3.4970369992610075e-08, 3.4970369992610075e-08, 5.6616998361679246e-08, 3.439446871080842e-07, 3.793396317367466e-07, 4.927953737571013e-07, 5.441862351602041e-06, 7.626980793425789e-06, 4.692268850982209e-05, 5.084464667897712e-05, 6.289942382925588e-05, 0.0003156562641710188, 0.0008781287132390562, 0.0017127695399908, 0.0038285491876088, 0.0055894278140253, 0.006209960659943, 0.0137318067579092, 0.0214982249147524, 0.0328091672181147",4.64622612263692,25.041101556812,UpRegulated
CXCL10,"TNF signaling pathway, Cytokine-cytokine receptor interaction, Viral protein interaction with cytokine and cytokine receptor, IL-17 signaling pathway, Chemokine signaling pathway, Toll-like receptor signaling pathway, Influenza A, Coronavirus disease, Cytosolic DNA-sensing pathway, RIG-I-like receptor signaling pathway, Epstein-Barr virus infection","7.381870203598573e-21, 1.860485947890529e-17, 3.083583547860433e-16, 2.8667185795181054e-15, 1.025246807187547e-09, 3.4970369992610075e-08, 3.439446871080842e-07, 5.441862351602041e-06, 0.000446870364326348, 0.0055894278140253, 0.0349785878612361",4.34026401095065,20.2558119464878,UpRegulated
CCL5,"TNF signaling pathway, Rheumatoid arthritis, Cytokine-cytokine receptor interaction, Viral protein interaction with cytokine and cytokine receptor, Lipid and atherosclerosis, Chemokine signaling pathway, Toll-like receptor signaling pathway, NOD-like receptor signaling pathway, Influenza A, Chagas disease, Epithelial cell signaling in Helicobacter pylori infection, Cytosolic DNA-sensing pathway, Human cytomegalovirus infection, Shigellosis, Prion disease","7.381870203598573e-21, 5.0193100412991314e-18, 1.860485947890529e-17, 3.083583547860433e-16, 2.728048793894201e-12, 1.025246807187547e-09, 3.4970369992610075e-08, 5.6616998361679246e-08, 3.439446871080842e-07, 3.793396317367466e-07, 6.289942382925588e-05, 0.000446870364326348, 0.0008781287132390562, 0.006209960659943, 0.0101190634448794",4.16399225097242,17.9261311417147,UpRegulated
TNF,"TNF signaling pathway, Rheumatoid arthritis, Cytokine-cytokine receptor interaction, Viral protein interaction with cytokine and cytokine receptor, IL-17 signaling pathway, NF-kappa B signaling pathway, Lipid and atherosclerosis, Legionellosis, Pertussis, Toll-like receptor signaling pathway, NOD-like receptor signaling pathway, Influenza A, Chagas disease, Malaria, Coronavirus disease, AGE-RAGE signaling pathway in diabetic complications, Amoebiasis, Yersinia infection, Fluid shear stress and atherosclerosis, Hematopoietic cell lineage, C-type lectin receptor signaling pathway, Necroptosis, Toxoplasmosis, Human cytomegalovirus infection, Leishmaniasis, MAPK signaling pathway, Osteoclast differentiation, Human T-cell leukemia virus 1 infection, Hepatitis B, Inflammatory bowel disease, RIG-I-like receptor signaling pathway, Shigellosis, Antigen processing and presentation, African trypanosomiasis, Prion disease, Graft-versus-host disease, Type I diabetes mellitus, TGF-beta signaling pathway, Non-alcoholic fatty liver disease, T cell receptor signaling pathway, Salmonella infection, Pathogenic Escherichia coli infection, Epstein-Barr virus infection, Apoptosis","7.381870203598573e-21, 5.0193100412991314e-18, 1.860485947890529e-17, 3.083583547860433e-16, 2.8667185795181054e-15, 1.1577523254277826e-14, 2.728048793894201e-12, 1.0442350416972395e-10, 3.4970369992610075e-08, 3.4970369992610075e-08, 5.6616998361679246e-08, 3.439446871080842e-07, 3.793396317367466e-07, 4.927953737571013e-07, 5.441862351602041e-06, 4.692268850982209e-05, 5.084464667897712e-05, 0.0003156562641710188, 0.0003311594767681358, 0.00039989308344330783, 0.0004860933150124579, 0.0006582734394430797, 0.0006805696653135726, 0.0008781287132390562, 0.000969576020914642, 0.0009896944238172317, 0.0011834271272442, 0.0036356612242499, 0.0038285491876088, 0.004352001251164, 0.0055894278140253, 0.006209960659943, 0.0078396225074666, 0.0078396225074666, 0.0101190634448794, 0.0105275552690754, 0.0110106831065822, 0.0135372165200134, 0.0137318067579092, 0.0171354500913545, 0.0214982249147524, 0.0328091672181147, 0.0349785878612361, 0.0437468186456016",3.88465045591814,14.7705378510313,UpRegulated
PLAU,"NF-kappa B signaling pathway, Transcriptional misregulation in cancer, Complement and coagulation cascades","1.1577523254277826e-14, 0.0017127695399908, 0.0101190634448794",3.36540331374543,10.3059337168001,UpRegulated
LTB,"Rheumatoid arthritis, Cytokine-cytokine receptor interaction, NF-kappa B signaling pathway","5.0193100412991314e-18, 1.860485947890529e-17, 1.1577523254277826e-14",3.07253224726102,8.41248628256885,UpRegulated
CX3CL1,"TNF signaling pathway, Cytokine-cytokine receptor interaction, Viral protein interaction with cytokine and cytokine receptor, Chemokine signaling pathway, Human cytomegalovirus infection","7.381870203598573e-21, 1.860485947890529e-17, 3.083583547860433e-16, 1.025246807187547e-09, 0.0008781287132390562",3.03074080887836,8.17229231543399,UpRegulated
