Genes,Term,Adjusted P-value,Log2FoldChange,FoldChange,Regulation
CCL4,"Interleukin-10 Signaling R-HSA-6783783, Chemokine Receptors Bind Chemokines R-HSA-380108, Signaling By Interleukins R-HSA-449147, Cytokine Signaling In Immune System R-HSA-1280215, Peptide Ligand-Binding Receptors R-HSA-375276, Immune System R-HSA-168256, Class A/1 (Rhodopsin-like Receptors) R-HSA-373076, GPCR Ligand Binding R-HSA-500792, Signaling By GPCR R-HSA-372790, G Alpha (I) Signaling Events R-HSA-418594, GPCR Downstream Signaling R-HSA-388396, Signal Transduction R-HSA-162582","1.813945571151312e-25, 1.072468051402429e-14, 6.431408209755029e-11, 1.5246001717197807e-10, 4.193112216165385e-10, 2.5204745254745263e-08, 4.5781557156996955e-08, 1.1015715042414979e-07, 3.1369963248127004e-05, 4.188970452278493e-05, 0.00012836507456535792, 0.0019385653266643",5.23607385633261,37.6890586452678,UpRegulated
CSF2,"Interleukin-10 Signaling R-HSA-6783783, Signaling By Interleukins R-HSA-449147, Cytokine Signaling In Immune System R-HSA-1280215, Immune System R-HSA-168256, Signal Transduction R-HSA-162582","1.813945571151312e-25, 6.431408209755029e-11, 1.5246001717197807e-10, 2.5204745254745263e-08, 0.0019385653266643",5.02517728476931,32.5633514305733,UpRegulated
CSF3,"Interleukin-10 Signaling R-HSA-6783783, Signaling By Interleukins R-HSA-449147, Cytokine Signaling In Immune System R-HSA-1280215, Immune System R-HSA-168256","1.813945571151312e-25, 6.431408209755029e-11, 1.5246001717197807e-10, 2.5204745254745263e-08",4.95007750589376,30.9116231458627,UpRegulated
CXCL8,"Interleukin-10 Signaling R-HSA-6783783, Chemokine Receptors Bind Chemokines R-HSA-380108, Signaling By Interleukins R-HSA-449147, Cytokine Signaling In Immune System R-HSA-1280215, Peptide Ligand-Binding Receptors R-HSA-375276, Immune System R-HSA-168256, Class A/1 (Rhodopsin-like Receptors) R-HSA-373076, GPCR Ligand Binding R-HSA-500792, Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807, Signaling By GPCR R-HSA-372790, G Alpha (I) Signaling Events R-HSA-418594, GPCR Downstream Signaling R-HSA-388396, Signal Transduction R-HSA-162582, Cellular Responses To Stress R-HSA-2262752, Cellular Responses To Stimuli R-HSA-8953897","1.813945571151312e-25, 1.072468051402429e-14, 6.431408209755029e-11, 1.5246001717197807e-10, 4.193112216165385e-10, 2.5204745254745263e-08, 4.5781557156996955e-08, 1.1015715042414979e-07, 1.2940927033034562e-07, 3.1369963248127004e-05, 4.188970452278493e-05, 0.00012836507456535792, 0.0019385653266643, 0.0075268124946861, 0.0086876797492417",4.64622612263692,25.041101556812,UpRegulated
CXCL10,"Interleukin-10 Signaling R-HSA-6783783, Chemokine Receptors Bind Chemokines R-HSA-380108, Signaling By Interleukins R-HSA-449147, Cytokine Signaling In Immune System R-HSA-1280215, Peptide Ligand-Binding Receptors R-HSA-375276, Immune System R-HSA-168256, Class A/1 (Rhodopsin-like Receptors) R-HSA-373076, GPCR Ligand Binding R-HSA-500792, Signaling By GPCR R-HSA-372790, G Alpha (I) Signaling Events R-HSA-418594, GPCR Downstream Signaling R-HSA-388396, Signal Transduction R-HSA-162582","1.813945571151312e-25, 1.072468051402429e-14, 6.431408209755029e-11, 1.5246001717197807e-10, 4.193112216165385e-10, 2.5204745254745263e-08, 4.5781557156996955e-08, 1.1015715042414979e-07, 3.1369963248127004e-05, 4.188970452278493e-05, 0.00012836507456535792, 0.0019385653266643",4.34026401095065,20.2558119464878,UpRegulated
CCL5,"Interleukin-10 Signaling R-HSA-6783783, Chemokine Receptors Bind Chemokines R-HSA-380108, Signaling By Interleukins R-HSA-449147, Cytokine Signaling In Immune System R-HSA-1280215, Peptide Ligand-Binding Receptors R-HSA-375276, Immune System R-HSA-168256, Class A/1 (Rhodopsin-like Receptors) R-HSA-373076, GPCR Ligand Binding R-HSA-500792, Signaling By GPCR R-HSA-372790, G Alpha (I) Signaling Events R-HSA-418594, GPCR Downstream Signaling R-HSA-388396, Signal Transduction R-HSA-162582","1.813945571151312e-25, 1.072468051402429e-14, 6.431408209755029e-11, 1.5246001717197807e-10, 4.193112216165385e-10, 2.5204745254745263e-08, 4.5781557156996955e-08, 1.1015715042414979e-07, 3.1369963248127004e-05, 4.188970452278493e-05, 0.00012836507456535792, 0.0019385653266643",4.16399225097242,17.9261311417147,UpRegulated
TNF,"Interleukin-10 Signaling R-HSA-6783783, Signaling By Interleukins R-HSA-449147, Cytokine Signaling In Immune System R-HSA-1280215, Immune System R-HSA-168256, Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807, Signal Transduction R-HSA-162582, TNFR1-induced NFkappaB Signaling Pathway R-HSA-5357956, Regulation Of TNFR1 Signaling R-HSA-5357905, TNF Signaling R-HSA-75893, TNFR1-induced Proapoptotic Signaling R-HSA-5357786","1.813945571151312e-25, 6.431408209755029e-11, 1.5246001717197807e-10, 2.5204745254745263e-08, 1.2940927033034562e-07, 0.0019385653266643, 0.0104015318617856, 0.0215797228462281, 0.0385776671983742, 0.0385776671983742",3.88465045591814,14.7705378510313,UpRegulated
PLAU,"Immune System R-HSA-168256, Innate Immune System R-HSA-168249","2.5204745254745263e-08, 0.0005411429302178764",3.36540331374543,10.3059337168001,UpRegulated
LTB,"Cytokine Signaling In Immune System R-HSA-1280215, Immune System R-HSA-168256, TNF Receptor Superfamily (TNFSF) Members Mediating Non-Canonical NF-kB Pathway R-HSA-5676594","1.5246001717197807e-10, 2.5204745254745263e-08, 0.0035573400734017",3.07253224726102,8.41248628256885,UpRegulated
CX3CL1,"Chemokine Receptors Bind Chemokines R-HSA-380108, Peptide Ligand-Binding Receptors R-HSA-375276, Class A/1 (Rhodopsin-like Receptors) R-HSA-373076, GPCR Ligand Binding R-HSA-500792, Signaling By GPCR R-HSA-372790, G Alpha (I) Signaling Events R-HSA-418594, GPCR Downstream Signaling R-HSA-388396, Signal Transduction R-HSA-162582","1.072468051402429e-14, 4.193112216165385e-10, 4.5781557156996955e-08, 1.1015715042414979e-07, 3.1369963248127004e-05, 4.188970452278493e-05, 0.00012836507456535792, 0.0019385653266643",3.03074080887836,8.17229231543399,UpRegulated
CXCL2,"Interleukin-10 Signaling R-HSA-6783783, Chemokine Receptors Bind Chemokines R-HSA-380108, Signaling By Interleukins R-HSA-449147, Cytokine Signaling In Immune System R-HSA-1280215, Peptide Ligand-Binding Receptors R-HSA-375276, Immune System R-HSA-168256, Class A/1 (Rhodopsin-like Receptors) R-HSA-373076, GPCR Ligand Binding R-HSA-500792, Signaling By GPCR R-HSA-372790, G Alpha (I) Signaling Events R-HSA-418594, GPCR Downstream Signaling R-HSA-388396, Signal Transduction R-HSA-162582","1.813945571151312e-25, 1.072468051402429e-14, 6.431408209755029e-11, 1.5246001717197807e-10, 4.193112216165385e-10, 2.5204745254745263e-08, 4.5781557156996955e-08, 1.1015715042414979e-07, 3.1369963248127004e-05, 4.188970452278493e-05, 0.00012836507456535792, 0.0019385653266643",3.01027327604049,8.05717044930861,UpRegulated
TNFSF14,"Cytokine Signaling In Immune System R-HSA-1280215, Immune System R-HSA-168256, TNF Receptor Superfamily (TNFSF) Members Mediating Non-Canonical NF-kB Pathway R-HSA-5676594","1.5246001717197807e-10, 2.5204745254745263e-08, 0.0035573400734017",2.95100104834556,7.73285439565647,UpRegulated
CXCL3,"Chemokine Receptors Bind Chemokines R-HSA-380108, Peptide Ligand-Binding Receptors R-HSA-375276, Class A/1 (Rhodopsin-like Receptors) R-HSA-373076, GPCR Ligand Binding R-HSA-500792, Signaling By GPCR R-HSA-372790, G Alpha (I) Signaling Events R-HSA-418594, GPCR Downstream Signaling R-HSA-388396, Signal Transduction R-HSA-162582","1.072468051402429e-14, 4.193112216165385e-10, 4.5781557156996955e-08, 1.1015715042414979e-07, 3.1369963248127004e-05, 4.188970452278493e-05, 0.00012836507456535792, 0.0019385653266643",2.94988269379775,7.72686233109902,UpRegulated
CXCL5,"Chemokine Receptors Bind Chemokines R-HSA-380108, Peptide Ligand-Binding Receptors R-HSA-375276, Class A/1 (Rhodopsin-like Receptors) R-HSA-373076, GPCR Ligand Binding R-HSA-500792, Signaling By GPCR R-HSA-372790, G Alpha (I) Signaling Events R-HSA-418594, GPCR Downstream Signaling R-HSA-388396, Signal Transduction R-HSA-162582","1.072468051402429e-14, 4.193112216165385e-10, 4.5781557156996955e-08, 1.1015715042414979e-07, 3.1369963248127004e-05, 4.188970452278493e-05, 0.00012836507456535792, 0.0019385653266643",2.91962297098245,7.56648351631896,UpRegulated
CSF1,"Interleukin-10 Signaling R-HSA-6783783, Signaling By Interleukins R-HSA-449147, Cytokine Signaling In Immune System R-HSA-1280215, Immune System R-HSA-168256","1.813945571151312e-25, 6.431408209755029e-11, 1.5246001717197807e-10, 2.5204745254745263e-08",2.82996705515294,7.11057907294105,UpRegulated
CXCL11,"Chemokine Receptors Bind Chemokines R-HSA-380108, Peptide Ligand-Binding Receptors R-HSA-375276, Class A/1 (Rhodopsin-like Receptors) R-HSA-373076, GPCR Ligand Binding R-HSA-500792, Signaling By GPCR R-HSA-372790, G Alpha (I) Signaling Events R-HSA-418594, GPCR Downstream Signaling R-HSA-388396, Signal Transduction R-HSA-162582","1.072468051402429e-14, 4.193112216165385e-10, 4.5781557156996955e-08, 1.1015715042414979e-07, 3.1369963248127004e-05, 4.188970452278493e-05, 0.00012836507456535792, 0.0019385653266643",2.82128417103167,7.06791245807213,UpRegulated
