Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Regulation Of Cell Migration (GO:0030334)	14/434	3.706618923129356E-4	0.20731184738204392	0	0	3.1022435897435896	24.508407635432405	NGFR;PDGFB;TET1;THBS1;SORL1;SMAD7;GPNMB;ADAM15;TMSB15A;FGF19;ZNF703;SNAI2;AMOTL2;ENG
Stem Cell Development (GO:0048864)	3/15	5.562651760207693E-4	0.20731184738204392	0	0	22.56392694063927	169.100057909799	NOLC1;SNAI2;KBTBD8
Positive Regulation Of Transmembrane Transport (GO:0034764)	3/15	5.562651760207693E-4	0.20731184738204392	0	0	22.56392694063927	169.100057909799	P2RX7;CA2;ACSL5
Canonical Wnt Signaling Pathway (GO:0060070)	5/65	7.743992235427017E-4	0.20731184738204392	0	0	7.572196620583718	54.24284761913481	FZD1;NR4A2;FRAT2;WNT9A;WNT16
Neural Crest Cell Differentiation (GO:0014033)	3/18	9.733954591974107E-4	0.20731184738204392	0	0	18.048401826484017	125.16061537858765	NOLC1;SNAI2;KBTBD8
Embryonic Digestive Tract Development (GO:0048566)	3/19	0.001146488042685392	0.20731184738204392	0	0	16.919520547945204	114.56295150161363	ID2;SIX2;GLI2
Negative Regulation Of Cellular Response To Growth Factor Stimulus (GO:0090288)	5/71	0.0011568453170265436	0.20731184738204392	0	0	6.881720430107527	46.53459635514755	SMAD6;THBS1;SKIL;SORL1;SMAD7
Regulation Of Long-Chain Fatty Acid Import Across Plasma Membrane (GO:0010746)	2/5	0.0011998177299088113	0.20731184738204392	0	0	59.92424242424242	403.02562346551804	ACSL5;THBS1
Negative Regulation Of BMP Signaling Pathway (GO:0030514)	4/43	0.0012987854727778546	0.20731184738204392	0	0	9.286756057398259	61.72280548093301	SMAD6;SKIL;SORL1;SMAD7
Xenobiotic Transport (GO:0042908)	3/20	0.0013378242574501407	0.20731184738204392	0	0	15.923448831587429	105.36085383652791	ABCB1;ABCC2;SLC22A18
Regulation Of BMP Signaling Pathway (GO:0030510)	5/75	0.0014796666449030647	0.20731184738204392	0	0	6.487162606978275	42.26995230442264	SMAD6;SKIL;SORL1;ENG;SMAD7
Regulation Of Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0017015)	6/111	0.0015031674734649711	0.20731184738204392	0	0	5.204497354497354	33.83017350825248	ZNF703;TET1;SMAD6;THBS1;SMAD7;ENG
Negative Regulation Of Blood Vessel Endothelial Cell Proliferation Involved In Sprouting Angiogenesis (GO:1903588)	2/6	0.0017865666878621959	0.209191489638447	0	0	44.94090909090909	284.36178452168207	NGFR;THBS1
Regulation Of Cellular Response To Transforming Growth Factor Beta Stimulus (GO:1903844)	3/23	0.002028006982442726	0.209191489638447	0	0	13.532876712328767	83.91333231591956	ZNF703;SMAD7;ENG
Positive Regulation Of Intracellular Signal Transduction (GO:1902533)	14/525	0.0022863070608902694	0.209191489638447	0	0	2.5378029504741835	15.43191633972726	GPR37;PLK2;SCHIP1;RTKN2;PDGFB;SEPTIN4;WNT16;THBS1;BBC3;TRIM6;TLR6;HPSE;ENG;TGM2
Outflow Tract Septum Morphogenesis (GO:0003148)	3/24	0.002298885816114334	0.209191489638447	0	0	12.887801696020874	78.29765731476732	SMAD6;ISL1;ENG
Regulation Of Cell Population Proliferation (GO:0042127)	18/766	0.002309143947255128	0.209191489638447	0	0	2.2448096885813147	13.627966670129888	TSC22D1;RTKN2;P3H2;PDGFB;LIFR;WNT9A;SMAD6;THBS1;SHCBP1;KAT2B;KITLG;TFAP4;GPNMB;ID2;FGF19;ZNF703;E2F7;ENG
Mammary Gland Epithelial Cell Differentiation (GO:0060644)	2/7	0.0024829192355821667	0.209191489638447	0	0	35.95090909090909	215.6450678011363	ID2;ZNF703
Plasma Membrane Phospholipid Scrambling (GO:0017121)	2/7	0.0024829192355821667	0.209191489638447	0	0	35.95090909090909	215.6450678011363	P2RX7;PLSCR4
Ventricular Cardiac Muscle Tissue Development (GO:0003229)	3/25	0.002591150505185618	0.209191489638447	0	0	12.301369863013699	73.26269391346734	ID2;ISL1;SMAD7
Negative Regulation Of Cellular Process (GO:0048523)	14/537	0.002804192569838592	0.209191489638447	0	0	2.478029857331961	14.562488477141391	P3H2;WNT9A;SMAD6;WNT16;THBS1;KAT2B;TFAP4;GPNMB;ADAM15;HYAL1;CCN2;MYBL1;E2F7;APOBEC3B
Neuron Differentiation (GO:0030182)	7/173	0.0032515099437904816	0.209191489638447	0	0	3.8465676660128887	22.03558520957686	FZD1;NR4A2;ID2;WNT9A;WNT16;PBX1;GLI2
Cellular Response To Platelet-Derived Growth Factor Stimulus (GO:0036120)	2/8	0.003286391982235421	0.209191489638447	0	0	29.957575757575757	171.29636900499608	HYAL1;PDGFB
Embryonic Digestive Tract Morphogenesis (GO:0048557)	2/8	0.003286391982235421	0.209191489638447	0	0	29.957575757575757	171.29636900499608	ID2;SIX2
Epithelial To Mesenchymal Transition Involved In Endocardial Cushion Formation (GO:0003198)	2/8	0.003286391982235421	0.209191489638447	0	0	29.957575757575757	171.29636900499608	SNAI2;ENG
Negative Regulation Of Cytoplasmic Translation (GO:2000766)	2/8	0.003286391982235421	0.209191489638447	0	0	29.957575757575757	171.29636900499608	RBM24;CPEB4
Glycosaminoglycan Biosynthetic Process (GO:0006024)	4/58	0.003923460911297516	0.2130687492868483	0	0	6.702004757050629	37.13434148539911	CHST11;HYAL1;CHST1;HS3ST1
Adherens Junction Assembly (GO:0034333)	2/9	0.004194542709324192	0.2130687492868483	0	0	25.676623376623375	140.55309054783143	ZNF703;SMAD7
Cell Differentiation In Spinal Cord (GO:0021515)	2/9	0.004194542709324192	0.2130687492868483	0	0	25.676623376623375	140.55309054783143	DRAXIN;ISL1
Response To Laminar Fluid Shear Stress (GO:0034616)	2/9	0.004194542709324192	0.2130687492868483	0	0	25.676623376623375	140.55309054783143	SMAD6;SMAD7
Response To Platelet-Derived Growth Factor (GO:0036119)	2/9	0.004194542709324192	0.2130687492868483	0	0	25.676623376623375	140.55309054783143	HYAL1;PDGFB
Organic Hydroxy Compound Catabolic Process (GO:1901616)	2/9	0.004194542709324192	0.2130687492868483	0	0	25.676623376623375	140.55309054783143	CYP24A1;CYP4F2
Regulation Of Protein Autophosphorylation (GO:0031952)	3/31	0.004822611162322987	0.2130687492868483	0	0	9.66242661448141	51.54363273629839	GPNMB;PDGFB;ENG
Cardiac Muscle Tissue Morphogenesis (GO:0055008)	3/31	0.004822611162322987	0.2130687492868483	0	0	9.66242661448141	51.54363273629839	ISL1;SMAD7;ENG
Regulation Of Transmembrane Receptor Protein Serine/Threonine Kinase Signaling Pathway (GO:0090092)	3/31	0.004822611162322987	0.2130687492868483	0	0	9.66242661448141	51.54363273629839	ZNF703;SMAD7;ENG
Central Nervous System Neuron Differentiation (GO:0021953)	3/31	0.004822611162322987	0.2130687492868483	0	0	9.66242661448141	51.54363273629839	NR4A2;DRAXIN;ISL1
Phospholipid Translocation (GO:0045332)	3/31	0.004822611162322987	0.2130687492868483	0	0	9.66242661448141	51.54363273629839	P2RX7;ABCB1;PLSCR4
Midbrain Dopaminergic Neuron Differentiation (GO:1904948)	2/10	0.005204969776686004	0.2130687492868483	0	0	22.46590909090909	118.12892630940993	FZD1;NR4A2
Negative Regulation Of Pathway-Restricted SMAD Protein Phosphorylation (GO:0060394)	2/10	0.005204969776686004	0.2130687492868483	0	0	22.46590909090909	118.12892630940993	SMAD6;SMAD7
Negative Regulation Of Steroid Biosynthetic Process (GO:0010894)	2/10	0.005204969776686004	0.2130687492868483	0	0	22.46590909090909	118.12892630940993	FGF19;SNAI2
Regulation Of Ubiquitin-Protein Transferase Activity (GO:0051438)	3/32	0.0052784403146590815	0.2130687492868483	0	0	9.32876712328767	48.921217344104214	ARRDC4;TRIB3;SMAD7
Negative Regulation Of Cell Death (GO:0060548)	4/64	0.0055806037938506605	0.21990236378149627	0	0	6.029969418960245	31.286244890557658	GPNMB;CCN2;WNT16;SORL1
Ventricular Cardiac Muscle Tissue Morphogenesis (GO:0055010)	3/33	0.005759325624786823	0.2216670676516789	0	0	9.017351598173516	46.5018950734492	ISL1;SMAD7;ENG
Regulation Of Cell-Matrix Adhesion (GO:0001952)	4/65	0.005895765689337918	0.22176118672396036	0	0	5.930816664160024	30.445971094915308	ADAM15;ENC1;THBS1;SKAP1
Positive Regulation Of Coagulation (GO:0050820)	2/11	0.006315311534254596	0.22721392585198602	0	0	19.96868686868687	101.136969774862	HPSE;THBS1
Positive Regulation Of Hemostasis (GO:1900048)	2/11	0.006315311534254596	0.22721392585198602	0	0	19.96868686868687	101.136969774862	HPSE;THBS1
One-Carbon Compound Transport (GO:0019755)	3/35	0.006797660107169406	0.23557282059274018	0	0	8.45291095890411	42.189973306414316	SLC4A8;CA2;SLC26A7
Neuropeptide Signaling Pathway (GO:0007218)	4/68	0.0069117926285586296	0.23557282059274018	0	0	5.651949541284404	28.115771354453305	GPR37;GAL;SORT1;SORL1
Cellular Response To Organic Cyclic Compound (GO:0071407)	6/152	0.007086875746555875	0.23557282059274018	0	0	3.7351598173515983	18.48721345191728	P2RX7;CASP7;ZNF703;NRIP1;PDGFB;TGM2
DNA Damage Response, Signal Transduction By P53 Class Mediator (GO:0030330)	3/36	0.007355754140054027	0.23557282059274018	0	0	8.19634703196347	40.262689271899006	TFAP4;PLK2;E2F7
Nucleotide Metabolic Process (GO:0009117)	2/12	0.007523245739472788	0.23557282059274018	0	0	17.970909090909092	87.87338966285853	ME1;FHIT
Positive Regulation Of Insulin Receptor Signaling Pathway (GO:0046628)	2/12	0.007523245739472788	0.23557282059274018	0	0	17.970909090909092	87.87338966285853	SORBS1;SORL1
Positive Regulation Of Gene Expression (GO:0010628)	12/480	0.0075901205224206255	0.23557282059274018	0	0	2.357753357753358	11.507976774596775	ACTA2;P2RX7;KAT2B;ID2;LAMP3;FGF19;HABP4;PDGFB;TLR6;WNT16;RBM24;THBS1
Response To Lipid (GO:0033993)	5/110	0.007686363934748018	0.23557282059274018	0	0	4.3170945797673905	21.0169436515731	TRIM6;CYP24A1;S100A14;SMAD6;MICB
Positive Regulation Of Cell Population Proliferation (GO:0008284)	12/483	0.007954658209381911	0.23577912721399538	0	0	2.3423718531998787	11.323019878316325	KITLG;TSC22D1;HYAL1;ID2;FGF19;SIX2;ZNF703;RTKN2;PDGFB;LIFR;HPSE;THBS1
Negative Regulation Of Transmembrane Receptor Protein Serine/Threonine Kinase Signaling Pathway (GO:0090101)	5/111	0.007978024848328545	0.23577912721399538	0	0	4.276149900008695	20.65835559759507	TET1;SMAD6;SKIL;SORL1;SMAD7
Negative Regulation Of Cell Differentiation (GO:0045596)	7/207	0.008516674903469964	0.24728240289899633	0	0	3.1871162790697674	15.188933382235035	ID2;COL5A2;SNAI2;TRIB3;WNT9A;SMAD6;SMAD7
