Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Specific Granule Lumen (GO:0035580)	4/61	0.004703078319688187	0.46746192260689656	0	0	6.348301947529374	34.02396566942165	NEU1;TIMP2;HPSE;CTSD
Collagen-Containing Extracellular Matrix (GO:0062023)	10/373	0.009054728653112172	0.46746192260689656	0	0	2.522870211549457	11.868762568476875	COL12A1;COL5A2;LAMA3;P3H2;PDGFB;TIMP2;CCN2;CTSD;THBS1;TGM2
Endoplasmic Reticulum Lumen (GO:0005788)	8/284	0.014288367440228636	0.46746192260689656	0	0	2.6414736556955165	11.221797727127846	GANAB;COL12A1;COL5A2;P3H2;PDGFB;PRSS23;THBS1;SUMF1
Lysosomal Lumen (GO:0043202)	4/86	0.015456390482797826	0.46746192260689656	0	0	4.407249944059074	18.377054374859142	HYAL1;NEU1;HPSE;CTSD
Kinetochore Microtubule (GO:0005828)	2/18	0.01669506866453202	0.46746192260689656	0	0	11.228409090909091	45.95385743399596	CENPE;ZW10
Filopodium (GO:0030175)	3/60	0.029060902881535303	0.4775100230368348	0	0	4.739485700552752	16.770013977944874	ACTA2;KITLG;IQGAP2
Specific Granule (GO:0042581)	5/159	0.032452689206486564	0.4775100230368348	0	0	2.93614219881501	10.065013148531246	ALDH3B1;NEU1;TIMP2;HPSE;CTSD
Lytic Vacuole (GO:0000323)	6/223	0.03856409228813631	0.4775100230368348	0	0	2.503968253968254	8.151502605313551	HYAL1;SORT1;NEU1;HPSE;CTSD;BBC3
Intracellular Membrane-Bounded Organelle (GO:0043231)	69/5175	0.046138271990676945	0.4775100230368348	0	0	1.295884119413531	3.986285310256328	H2AX;ZCCHC12;EHF;SETD7;RTKN2;C11ORF71;ICA1;ALKBH6;PRSS23;GLI2;SCML2;CASP7;FRAT2;CCND1;LAMP3;SIX2;ENC1;HABP4;PDE4B;OIP5;CCN2;MYBL1;HTATIP2;TGM2;ARRDC4;PRMT6;TSC22D1;P3H2;TET1;ABHD14B;ESCO2;ISL1;KAT2B;DEPDC1B;ZW10;PADI3;TRIB3;MT1E;VGLL3;CORO1A;FHIT;GANAB;NEU1;ZNF703;MKNK2;NRIP1;ZBED2;CLSPN;MBNL3;SKIL;ZBTB18;PLK2;CYP4F2;KRT13;SORBS1;SEPTIN4;SMAD6;PBX1;SMAD7;FAM111B;NR4A2;CENPE;TFAP4;ID2;PIR;SNAI2;HPSE;CPEB4;APOBEC3B
Nuclear Envelope Lumen (GO:0005641)	1/5	0.05428656435275503	0.4775100230368348	0	0	22.368778280542987	65.17095495646203	SORL1
Alveolar Lamellar Body (GO:0097208)	1/5	0.05428656435275503	0.4775100230368348	0	0	22.368778280542987	65.17095495646203	LAMP3
Symmetric Synapse (GO:0032280)	1/5	0.05428656435275503	0.4775100230368348	0	0	22.368778280542987	65.17095495646203	SLC4A8
Zonula Adherens (GO:0005915)	1/5	0.05428656435275503	0.4775100230368348	0	0	22.368778280542987	65.17095495646203	SORBS1
Cul3-RING Ubiquitin Ligase Complex (GO:0031463)	2/35	0.057444935770007616	0.4775100230368348	0	0	5.4393939393939394	15.539959180844095	ENC1;KBTBD8
Nucleus (GO:0005634)	60/4487	0.06062409684211288	0.4775100230368348	0	0	1.2842908415530958	3.5999479173802356	H2AX;ZCCHC12;EHF;SETD7;RTKN2;C11ORF71;ALKBH6;PRSS23;GLI2;SCML2;CASP7;FRAT2;CCND1;SIX2;ENC1;HABP4;PDE4B;OIP5;MYBL1;HTATIP2;TGM2;PRMT6;TSC22D1;TET1;ABHD14B;ESCO2;ISL1;KAT2B;DEPDC1B;ZW10;TRIB3;MT1E;VGLL3;CORO1A;FHIT;ZNF703;MKNK2;NRIP1;ZBED2;CLSPN;MBNL3;SKIL;ZBTB18;PLK2;KRT13;SORBS1;SEPTIN4;SMAD6;PBX1;SMAD7;FAM111B;NR4A2;CENPE;TFAP4;ID2;PIR;SNAI2;HPSE;CPEB4;APOBEC3B
Chloride Channel Complex (GO:0034707)	1/6	0.06478658566247977	0.4775100230368348	0	0	17.894117647058824	48.97005710035234	OSTM1
Flotillin Complex (GO:0016600)	1/6	0.06478658566247977	0.4775100230368348	0	0	17.894117647058824	48.97005710035234	SORBS1
Actin-Based Cell Projection (GO:0098858)	3/84	0.06688663925917464	0.4775100230368348	0	0	3.331134787755792	9.009906950271448	ACTA2;KITLG;IQGAP2
Platelet Alpha Granule (GO:0031091)	3/89	0.07664501821539958	0.4775100230368348	0	0	3.1366677285759796	8.056752728229718	PCDH7;PDGFB;THBS1
Dendrite (GO:0030425)	6/270	0.0811180098158565	0.4775100230368348	0	0	2.053240740740741	5.157433315715489	CNTNAP2;SLC4A8;PLK2;SEPTIN4;CPEB4;TRAK2
Basement Membrane (GO:0005604)	2/46	0.09241340658836598	0.4775100230368348	0	0	4.077272727272727	9.709956574849388	LAMA3;P3H2
Neuron Projection (GO:0043005)	10/557	0.09290114570602026	0.4775100230368348	0	0	1.658359490876479	3.940625829484015	GABRQ;CNTNAP2;SLC4A8;PLK2;SEPTIN4;KCNN4;CCSAP;RGS6;CPEB4;TRAK2
Condensed Chromosome, Centromeric Region (GO:0000779)	1/9	0.0955953947216404	0.4775100230368348	0	0	11.18212669683258	26.25150316945336	CENPE
Vacuolar Lumen (GO:0005775)	4/161	0.1047743284331389	0.4775100230368348	0	0	2.293110500788874	5.173134596446689	HYAL1;NEU1;HPSE;CTSD
Neuron To Neuron Synapse (GO:0098984)	1/10	0.10563878861096548	0.4775100230368348	0	0	9.939165409753645	22.340556874848694	SLC4A8
Tertiary Granule Lumen (GO:1904724)	2/53	0.11712149542589675	0.4775100230368348	0	0	3.5163992869875225	7.541071095515974	TIMP2;CTSD
Membrane Raft (GO:0045121)	4/169	0.11933051372855447	0.4775100230368348	0	0	2.181039755351682	4.636581269163949	TLR6;SORBS1;CTSD;SKAP1
Organelle Outer Membrane (GO:0031968)	4/170	0.12120896618048901	0.4775100230368348	0	0	2.16779042776611	4.574556402432203	BMF;SEPTIN4;SYNE3;TOMM22
Vesicle (GO:0031982)	5/235	0.1214942310496292	0.4775100230368348	0	0	1.9583249849729514	4.127930711957375	ARRDC4;LAMP3;ALDH3B1;COL12A1;KCNN4
Basolateral Plasma Membrane (GO:0016323)	4/171	0.12310014169562979	0.4775100230368348	0	0	2.1546997747624017	4.51357264019931	CA11;PDGFB;SLC26A7;CALHM3
Clathrin Vesicle Coat (GO:0030125)	1/12	0.1253936956390809	0.4775100230368348	0	0	8.131221719457013	16.882830661201524	NCALD
Extracellular Membrane-Bounded Organelle (GO:0065010)	2/57	0.13190309119292812	0.4775100230368348	0	0	3.26	6.603742174701556	ARRDC4;COL12A1
ATAC Complex (GO:0140672)	1/13	0.1351076392082779	0.4775100230368348	0	0	7.453242835595777	14.919033136724277	KAT2B
Septin Cytoskeleton (GO:0032156)	1/13	0.1351076392082779	0.4775100230368348	0	0	7.453242835595777	14.919033136724277	SEPTIN4
Septin Ring (GO:0005940)	1/13	0.1351076392082779	0.4775100230368348	0	0	7.453242835595777	14.919033136724277	SEPTIN4
Clathrin Coat Of trans-Golgi Network Vesicle (GO:0030130)	1/13	0.1351076392082779	0.4775100230368348	0	0	7.453242835595777	14.919033136724277	NCALD
Glial Cell Projection (GO:0097386)	1/13	0.1351076392082779	0.4775100230368348	0	0	7.453242835595777	14.919033136724277	SLC4A8
Focal Adhesion (GO:0005925)	7/387	0.14056159923993125	0.4775100230368348	0	0	1.6620073439412484	3.2610403280417124	FZD1;TPM4;ITGA2;SORBS1;ALKBH6;ENG;TGM2
Secretory Granule Lumen (GO:0034774)	6/316	0.14069004668209653	0.4775100230368348	0	0	1.7444444444444445	3.421197569213596	NEU1;PDGFB;TIMP2;HPSE;CTSD;THBS1
Cytoplasmic Vesicle Membrane (GO:0030659)	7/389	0.1432157897971501	0.4775100230368348	0	0	1.6531352733471325	3.2127076637664236	SORT1;ALDH3B1;ICA1;RHOU;IQGAP2;CTSD;SORL1
Sperm Flagellum (GO:0036126)	2/60	0.14325300691105045	0.4775100230368348	0	0	3.090909090909091	6.006078156404915	DNHD1;IQCG
Extracellular Vesicle (GO:1903561)	2/60	0.14325300691105045	0.4775100230368348	0	0	3.090909090909091	6.006078156404915	ARRDC4;COL12A1
Cell-Substrate Junction (GO:0030055)	7/395	0.15132211043469732	0.49267663862459593	0	0	1.627067849436586	3.0724646774608915	FZD1;TPM4;ITGA2;SORBS1;ALKBH6;ENG;TGM2
Intracellular Organelle Lumen (GO:0070013)	13/856	0.1578484427281426	0.5006128584103993	0	0	1.3971235108152134	2.57925755735016	COL12A1;P3H2;PDGFB;PRSS23;THBS1;MRM1;HS3ST1;SUMF1;GANAB;ARL2BP;COL5A2;TIMP2;CTSD
Platelet Alpha Granule Membrane (GO:0031092)	1/16	0.16360973526067482	0.5006128584103993	0	0	5.961689291101056	10.792275321881728	PCDH7
Platelet Alpha Granule Lumen (GO:0031093)	2/66	0.16651688575452675	0.5006128584103993	0	0	2.800284090909091	5.019953242529843	PDGFB;THBS1
Organelle Envelope Lumen (GO:0031970)	2/68	0.1744120385778482	0.5006128584103993	0	0	2.7151515151515153	4.741563418929793	ARL2BP;SORL1
Spindle Microtubule (GO:0005876)	2/68	0.1744120385778482	0.5006128584103993	0	0	2.7151515151515153	4.741563418929793	CENPE;ZW10
Intermediate Filament (GO:0005882)	2/69	0.1783821170857631	0.5006128584103993	0	0	2.6744911804613296	4.610360922286458	BFSP1;KRT13
GABA-A Receptor Complex (GO:1902711)	1/18	0.18208968195023167	0.5006128584103993	0	0	5.259781740750599	8.958754573524155	GABRQ
9+2 Motile Cilium (GO:0097729)	2/70	0.18236611270664546	0.5006128584103993	0	0	2.6350267379679146	4.484127777114425	DNHD1;IQCG
Actin Filament (GO:0005884)	2/71	0.18636323221034196	0.5017471636432284	0	0	2.5967061923583663	4.362616098802098	TPM4;CORO1A
Nuclear Outer Membrane (GO:0005640)	1/19	0.19117665176834148	0.502962440975042	0	0	4.967320261437909	8.218716496750378	SYNE3
Voltage-Gated Potassium Channel Complex (GO:0008076)	2/73	0.19439374860661163	0.502962440975042	0	0	2.523303457106274	4.132841884799634	CNTNAP2;KCNN4
Lysosome (GO:0005764)	8/503	0.19759238752590932	0.502962440975042	0	0	1.456282450674974	2.3614333793909292	OSTM1;HYAL1;SORT1;NEU1;HPSE;CTSD;GPR137C;BBC3
Mitochondrial Outer Membrane Translocase Complex (GO:0005742)	1/21	0.2090501790105241	0.5039303551110592	0	0	4.470135746606335	6.99657138099599	TOMM22
Sin3 Complex (GO:0016580)	1/21	0.2090501790105241	0.5039303551110592	0	0	4.470135746606335	6.99657138099599	TET1
Sin3-type Complex (GO:0070822)	1/21	0.2090501790105241	0.5039303551110592	0	0	4.470135746606335	6.99657138099599	TET1
Mitotic Spindle (GO:0072686)	3/143	0.2123706496539464	0.5039303551110592	0	0	1.9215264187866927	2.9772556593843453	KAT2B;CENPE;CCSAP
SAGA Complex (GO:0000124)	1/23	0.22653047357724626	0.5123383165592365	0	0	4.0633484162895925	6.033567738154965	KAT2B
Intermediate Filament Cytoskeleton (GO:0045111)	2/81	0.22689268304766183	0.5123383165592365	0	0	2.2668584579976985	3.362381586324061	BFSP1;KRT13
