Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Transforming Growth Factor Beta Receptor Binding (GO:0005160)	3/18	9.733954591974107E-4	0.2001365654613421	0	0	18.048401826484017	125.16061537858765	SMAD6;SMAD7;ENG
Neurotrophin Binding (GO:0043121)	2/7	0.0024829192355821667	0.2001365654613421	0	0	35.95090909090909	215.6450678011363	NGFR;SORT1
Nuclear Glucocorticoid Receptor Binding (GO:0035259)	2/8	0.003286391982235421	0.2001365654613421	0	0	29.957575757575757	171.29636900499608	NR4A2;NRIP1
SH3 Domain Binding (GO:0017124)	4/59	0.004172782059343836	0.2001365654613421	0	0	6.579816513761468	36.05194841490699	CNTNAP1;AFAP1L2;ADAM15;SKAP1
Type I Transforming Growth Factor Beta Receptor Binding (GO:0034713)	2/9	0.004194542709324192	0.2001365654613421	0	0	25.676623376623375	140.55309054783143	SMAD6;SMAD7
ABC-type Xenobiotic Transporter Activity (GO:0008559)	2/10	0.005204969776686004	0.2001365654613421	0	0	22.46590909090909	118.12892630940993	ABCB1;ABCC2
Nuclear Retinoid X Receptor Binding (GO:0046965)	2/10	0.005204969776686004	0.2001365654613421	0	0	22.46590909090909	118.12892630940993	NR4A2;NRIP1
Frizzled Binding (GO:0005109)	3/33	0.005759325624786823	0.2001365654613421	0	0	9.017351598173516	46.5018950734492	FZD1;WNT9A;WNT16
Sulfotransferase Activity (GO:0008146)	3/38	0.008551255025191377	0.22306944877923998	0	0	7.7272015655577295	36.79443967086866	SULT1A1;CHST11;HS3ST1
I-SMAD Binding (GO:0070411)	2/13	0.008826488980473524	0.22306944877923998	0	0	16.336363636363636	77.2709667946267	SMAD6;SMAD7
Carbonate Dehydratase Activity (GO:0004089)	2/13	0.008826488980473524	0.22306944877923998	0	0	16.336363636363636	77.2709667946267	CA11;CA2
Ubiquitin Protein Ligase Binding (GO:0031625)	8/271	0.01102791669348419	0.24822742893103406	0	0	2.7738886322447676	12.502818522288743	NGFR;GPR37;SLC22A18;RHOBTB3;TRIB3;SMAD6;FHIT;SMAD7
Amyloid-Beta Binding (GO:0001540)	4/79	0.011607757467997996	0.24822742893103406	0	0	4.820305810397554	21.479676303519852	NGFR;ITGA2;TLR6;SORL1
Low-Density Lipoprotein Particle Binding (GO:0030169)	2/16	0.013285809425403706	0.26381821573301645	0	0	12.833766233766234	55.45545818605739	SORL1;THBS1
Nuclear Retinoic Acid Receptor Binding (GO:0042974)	2/17	0.014948211624368591	0.2730067651350166	0	0	11.977575757575758	50.34371056132652	NR4A2;NRIP1
Ubiquitin-Like Protein Ligase Binding (GO:0044389)	8/289	0.01571261957611606	0.2730067651350166	0	0	2.593807164000399	10.772836195976929	NGFR;GPR37;SLC22A18;RHOBTB3;TRIB3;SMAD6;FHIT;SMAD7
Histone Methyltransferase Activity (GO:0042054)	2/19	0.018524318460040306	0.30292709011124735	0	0	10.567379679144384	42.14979980232976	PRMT6;SETD7
Transforming Growth Factor Beta Binding (GO:0050431)	2/21	0.02242192247787667	0.3119016813871047	0	0	9.454066985645934	35.903862559466425	THBS1;ENG
Bicarbonate Transmembrane Transporter Activity (GO:0015106)	2/22	0.024486325508070696	0.3119016813871047	0	0	8.98090909090909	33.31594372923075	SLC4A8;SLC26A7
Cytokine Receptor Binding (GO:0005126)	4/100	0.025345931560966036	0.3119016813871047	0	0	3.7618501529051986	13.825314882957242	KITLG;TNFSF9;LIFR;S100A14
Lipoprotein Particle Binding (GO:0071813)	2/23	0.026625217894803706	0.3119016813871047	0	0	8.552813852813852	31.01161756726621	SORL1;THBS1
N-acetyltransferase Activity (GO:0008080)	2/23	0.026625217894803706	0.3119016813871047	0	0	8.552813852813852	31.01161756726621	KAT2B;ESCO2
Actin Monomer Binding (GO:0003785)	2/23	0.026625217894803706	0.3119016813871047	0	0	8.552813852813852	31.01161756726621	TMSB15A;CORO1A
Monoatomic Anion Transmembrane Transporter Activity (GO:0008509)	2/24	0.02883670749736197	0.3119016813871047	0	0	8.163636363636364	28.949121013647297	SLC4A8;SLC26A7
Sequence-Specific Double-Stranded DNA Binding (GO:1990837)	14/715	0.028995489121866655	0.3119016813871047	0	0	1.8317101942280258	6.485380605119176	ZBTB18;ZBTB45;SMAD6;ISL1;PBX1;GLI2;DMBX1;NR4A2;TFAP4;ZW10;SIX2;ZBED2;SNAI2;E2F7
Acetyltransferase Activity (GO:0016407)	2/27	0.03588832267477755	0.3119016813871047	0	0	7.1829090909090905	23.90000451057747	KAT2B;ESCO2
Neuropeptide Binding (GO:0042923)	2/28	0.03837192238099174	0.3119016813871047	0	0	6.906293706293706	22.51748218058649	GPR37;SORL1
