Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
inclusion-cell disease	3/14	4.4867578134675894E-4	0.11845040627554436	0	0	24.616438356164384	189.77329327136	SORT1;CTSD;SUMF1
Metabolic syndrome X	3/31	0.004822611162322987	0.2778737075072022	0	0	9.66242661448141	51.54363273629839	MICB;ENG;SPC25
Feingold syndrome	2/10	0.005204969776686004	0.2778737075072022	0	0	22.46590909090909	118.12892630940993	FGF19;MIR17HG
Glycoproteinosis	2/10	0.005204969776686004	0.2778737075072022	0	0	22.46590909090909	118.12892630940993	NEU1;SUMF1
Mucopolysaccharidosis	2/11	0.006315311534254596	0.2778737075072022	0	0	19.96868686868687	101.136969774862	HYAL1;SUMF1
Osteopetrosis	2/11	0.006315311534254596	0.2778737075072022	0	0	19.96868686868687	101.136969774862	OSTM1;CA2
Piebaldism	2/13	0.008826488980473524	0.29988633349646393	0	0	16.336363636363636	77.2709667946267	KITLG;SNAI2
Mitral valve prolapse	2/15	0.011709959692237919	0.29988633349646393	0	0	13.821678321678322	61.46936483786906	ACTA2;COL5A2
Hypermobility syndrome	2/15	0.011709959692237919	0.29988633349646393	0	0	13.821678321678322	61.46936483786906	COL5A2;LZTS1
Roberts syndrome	2/15	0.011709959692237919	0.29988633349646393	0	0	13.821678321678322	61.46936483786906	ZW10;ESCO2
Bipolar disorder	5/124	0.012495263895685997	0.29988633349646393	0	0	3.806490338070712	16.68158455417157	NGFR;ADAMTS14;LAMP3;SKAP1;SUMF1
Testicular cancer	2/17	0.014948211624368591	0.3035636822179468	0	0	11.977575757575758	50.34371056132652	CENPE;KITLG
Papilloma	2/17	0.014948211624368591	0.3035636822179468	0	0	11.977575757575758	50.34371056132652	CCND1;KRT13
Dental caries	3/49	0.01708924454135262	0.32205519277843103	0	0	5.876116736152472	23.911717017971988	FZD1;LZTS1;ISL1
Chlamydia	2/19	0.018524318460040306	0.32205519277843103	0	0	10.567379679144384	42.14979980232976	TET1;ESCO2
Cognitive disorder	3/52	0.020010529923056998	0.32205519277843103	0	0	5.5155157953592395	21.573921544577733	ARRDC4;CNTNAP2;OSTM1
Heart disease	4/94	0.020738402565277755	0.32205519277843103	0	0	4.013863404689093	15.55680374595419	PDE4B;LRIG1;SNAI2;ISL1
Ureteral disease	2/22	0.024486325508070696	0.3385329298229659	0	0	8.98090909090909	33.31594372923075	SKIL;SMAD7
Ameloblastoma	2/23	0.026625217894803706	0.3385329298229659	0	0	8.552813852813852	31.01161756726621	KRT13;TIMP2
Pulmonary fibrosis	2/23	0.026625217894803706	0.3385329298229659	0	0	8.552813852813852	31.01161756726621	FAM111B;SMAD7
Treacher Collins syndrome	2/24	0.02883670749736197	0.3385329298229659	0	0	8.163636363636364	28.949121013647297	NOLC1;KBTBD8
Multiple sclerosis	6/219	0.03580562389199367	0.3385329298229659	0	0	2.55151278038602	8.495645309868062	CYP24A1;PCDH7;FHIT;SUMF1;MICB;PSMB9
Metachromatic leukodystrophy	1/4	0.04366919479034867	0.3385329298229659	0	0	29.826546003016592	93.3902665527447	SUMF1
Neutropenia	3/72	0.04603196931861048	0.3385329298229659	0	0	3.912844947389319	12.045376772794114	KITLG;ABCC2;ABCB1
Cholera	2/33	0.05171049310264203	0.3385329298229659	0	0	5.790909090909091	17.15322029649881	NEU1;ESCO2
Schizophrenia	4/126	0.05199196525351331	0.3385329298229659	0	0	2.9562340201534063	8.740596871720996	PRMT6;DRAXIN;EHF;NRGN
Early myoclonic encephalopathy	1/5	0.05428656435275503	0.3385329298229659	0	0	22.368778280542987	65.17095495646203	SCML2
Acrodysostosis	1/5	0.05428656435275503	0.3385329298229659	0	0	22.368778280542987	65.17095495646203	PDE4B
Exhibitionism	1/5	0.05428656435275503	0.3385329298229659	0	0	22.368778280542987	65.17095495646203	SLC4A8
Extratemporal epilepsy	1/5	0.05428656435275503	0.3385329298229659	0	0	22.368778280542987	65.17095495646203	PIR
Arterial tortuosity syndrome	1/5	0.05428656435275503	0.3385329298229659	0	0	22.368778280542987	65.17095495646203	COL5A2
Ganglioneuroma	1/5	0.05428656435275503	0.3385329298229659	0	0	22.368778280542987	65.17095495646203	SCML2
Autoimmune neuropathy	1/5	0.05428656435275503	0.3385329298229659	0	0	22.368778280542987	65.17095495646203	CNTNAP1
Waardenburg's syndrome	1/5	0.05428656435275503	0.3385329298229659	0	0	22.368778280542987	65.17095495646203	SNAI2
pseudo-Hurler polydystrophy	1/5	0.05428656435275503	0.3385329298229659	0	0	22.368778280542987	65.17095495646203	CTSD
Intermediate coronary syndrome	1/5	0.05428656435275503	0.3385329298229659	0	0	22.368778280542987	65.17095495646203	LZTS1
Complement component 3 deficiency	1/5	0.05428656435275503	0.3385329298229659	0	0	22.368778280542987	65.17095495646203	MBNL3
Dermatitis herpetiformis	1/5	0.05428656435275503	0.3385329298229659	0	0	22.368778280542987	65.17095495646203	TGM2
Psoriasis	2/35	0.057444935770007616	0.3385329298229659	0	0	5.4393939393939394	15.539959180844095	RGS6;MICB
Exfoliation syndrome	1/6	0.06478658566247977	0.3385329298229659	0	0	17.894117647058824	48.97005710035234	CNTNAP2
Urofacial syndrome	1/6	0.06478658566247977	0.3385329298229659	0	0	17.894117647058824	48.97005710035234	HPSE
Hereditary mucosal leukokeratosis	1/6	0.06478658566247977	0.3385329298229659	0	0	17.894117647058824	48.97005710035234	KRT13
Reducing body myopathy	1/6	0.06478658566247977	0.3385329298229659	0	0	17.894117647058824	48.97005710035234	ESCO2
Leukocoria	1/6	0.06478658566247977	0.3385329298229659	0	0	17.894117647058824	48.97005710035234	ESCO2
Hyperparathyroidism	2/38	0.06643509757764697	0.3385329298229659	0	0	4.985353535353536	13.517934595734644	CYP24A1;CCND1
Eosinophilic meningitis	1/7	0.07517054911128064	0.3385329298229659	0	0	14.911010558069382	38.58963208510021	SNAI2
Mutism	1/7	0.07517054911128064	0.3385329298229659	0	0	14.911010558069382	38.58963208510021	CNTNAP2
Myofascial pain syndrome	1/7	0.07517054911128064	0.3385329298229659	0	0	14.911010558069382	38.58963208510021	SPAG1
Thoracic aortic aneurysm	1/7	0.07517054911128064	0.3385329298229659	0	0	14.911010558069382	38.58963208510021	ACTA2
Nonepidermolytic palmoplantar keratoderma	1/7	0.07517054911128064	0.3385329298229659	0	0	14.911010558069382	38.58963208510021	AANAT
Vitreous detachment	1/7	0.07517054911128064	0.3385329298229659	0	0	14.911010558069382	38.58963208510021	LAMA3
Panhypopituitarism	1/7	0.07517054911128064	0.3385329298229659	0	0	14.911010558069382	38.58963208510021	GLI2
Holoprosencephaly	1/7	0.07517054911128064	0.3385329298229659	0	0	14.911010558069382	38.58963208510021	GLI2
Cervical incompetence	1/7	0.07517054911128064	0.3385329298229659	0	0	14.911010558069382	38.58963208510021	COL5A2
Laron syndrome	1/7	0.07517054911128064	0.3385329298229659	0	0	14.911010558069382	38.58963208510021	VGLL3
Denture stomatitis	1/7	0.07517054911128064	0.3385329298229659	0	0	14.911010558069382	38.58963208510021	RHOU
Duodenogastric reflux	1/8	0.08543973122300434	0.3385329298229659	0	0	12.780219780219781	31.43862560059154	SIX2
Arteriovenous malformation	1/8	0.08543973122300434	0.3385329298229659	0	0	12.780219780219781	31.43862560059154	ENG
Nevoid basal cell carcinoma syndrome	1/8	0.08543973122300434	0.3385329298229659	0	0	12.780219780219781	31.43862560059154	GLI2
Papillary renal cell carcinoma	1/8	0.08543973122300434	0.3385329298229659	0	0	12.780219780219781	31.43862560059154	SCHIP1
Malignant peripheral nerve sheath tumor	1/8	0.08543973122300434	0.3385329298229659	0	0	12.780219780219781	31.43862560059154	SCML2
Atrial fibrillation	2/46	0.09241340658836598	0.3385329298229659	0	0	4.077272727272727	9.709956574849388	CYP4F2;ACSL5
Specific developmental disorder	1/9	0.0955953947216404	0.3385329298229659	0	0	11.18212669683258	26.25150316945336	RGL1
Anhidrosis	1/9	0.0955953947216404	0.3385329298229659	0	0	11.18212669683258	26.25150316945336	NGFR
Parathyroid adenoma	1/9	0.0955953947216404	0.3385329298229659	0	0	11.18212669683258	26.25150316945336	CCND1
Hodgkin's lymphoma	1/9	0.0955953947216404	0.3385329298229659	0	0	11.18212669683258	26.25150316945336	MICB
Idiopathic generalized epilepsy	1/9	0.0955953947216404	0.3385329298229659	0	0	11.18212669683258	26.25150316945336	PCDH7
Immunoglobulin alpha deficiency	1/9	0.0955953947216404	0.3385329298229659	0	0	11.18212669683258	26.25150316945336	TGM2
Dermatitis	1/9	0.0955953947216404	0.3385329298229659	0	0	11.18212669683258	26.25150316945336	FHIT
Diverticulitis	1/9	0.0955953947216404	0.3385329298229659	0	0	11.18212669683258	26.25150316945336	ITGA2
Type 1 diabetes mellitus	4/158	0.09953893498396284	0.3385329298229659	0	0	2.3381389252948885	5.3945691041885615	NEU1;EFR3B;MICB;PSMB9
Acrocallosal syndrome	1/10	0.10563878861096548	0.3385329298229659	0	0	9.939165409753645	22.340556874848694	PIR
Aortic aneurysm	1/10	0.10563878861096548	0.3385329298229659	0	0	9.939165409753645	22.340556874848694	ACTA2
Lens subluxation	1/10	0.10563878861096548	0.3385329298229659	0	0	9.939165409753645	22.340556874848694	BFSP1
Lysosomal storage disease	1/10	0.10563878861096548	0.3385329298229659	0	0	9.939165409753645	22.340556874848694	OSTM1
Irritable bowel syndrome	2/50	0.10633584510819652	0.3385329298229659	0	0	3.7367424242424243	8.374610909283374	FGF19;TGM2
Metabolic acidosis	2/51	0.10990024308422176	0.3385329298229659	0	0	3.6602968460111316	8.082602362969642	SLC4A8;CA2
Spinocerebellar ataxia type 7	1/11	0.11557114829217854	0.3385329298229659	0	0	8.944796380090498	19.301698248715226	KAT2B
Myoepithelioma	1/11	0.11557114829217854	0.3385329298229659	0	0	8.944796380090498	19.301698248715226	PBX1
Amyotrophic neuralgia	1/11	0.11557114829217854	0.3385329298229659	0	0	8.944796380090498	19.301698248715226	AANAT
Pasteurellosis	1/11	0.11557114829217854	0.3385329298229659	0	0	8.944796380090498	19.301698248715226	NEU1
Intestinal benign neoplasm	1/11	0.11557114829217854	0.3385329298229659	0	0	8.944796380090498	19.301698248715226	CCND1
Robinow syndrome	1/11	0.11557114829217854	0.3385329298229659	0	0	8.944796380090498	19.301698248715226	FZD1
Dermatomyositis	1/11	0.11557114829217854	0.3385329298229659	0	0	8.944796380090498	19.301698248715226	LAMP3
MASA syndrome	1/11	0.11557114829217854	0.3385329298229659	0	0	8.944796380090498	19.301698248715226	GPNMB
Alexithymia	1/12	0.1253936956390809	0.3385329298229659	0	0	8.131221719457013	16.882830661201524	PIR
Neuronal ceroid lipofuscinosis	1/12	0.1253936956390809	0.3385329298229659	0	0	8.131221719457013	16.882830661201524	CTSD
Autoimmune thrombocytopenic purpura	1/12	0.1253936956390809	0.3385329298229659	0	0	8.131221719457013	16.882830661201524	ITGA2
Waterhouse-Friderichsen syndrome	1/12	0.1253936956390809	0.3385329298229659	0	0	8.131221719457013	16.882830661201524	PSMB9
Hypohidrosis	1/12	0.1253936956390809	0.3385329298229659	0	0	8.131221719457013	16.882830661201524	FAM111B
Cholesteatoma	1/12	0.1253936956390809	0.3385329298229659	0	0	8.131221719457013	16.882830661201524	KRT13
Chromophobe adenocarcinoma	1/12	0.1253936956390809	0.3385329298229659	0	0	8.131221719457013	16.882830661201524	SCHIP1
Chronic intestinal vascular insufficiency	1/12	0.1253936956390809	0.3385329298229659	0	0	8.131221719457013	16.882830661201524	ACSL5
Mucoepidermoid carcinoma	1/13	0.1351076392082779	0.3385329298229659	0	0	7.453242835595777	14.919033136724277	ISL1
Theileriasis	1/13	0.1351076392082779	0.3385329298229659	0	0	7.453242835595777	14.919033136724277	SPAG1
Nasopharyngitis	1/13	0.1351076392082779	0.3385329298229659	0	0	7.453242835595777	14.919033136724277	ARL2BP
Thrombotic thrombocytopenic purpura	1/13	0.1351076392082779	0.3385329298229659	0	0	7.453242835595777	14.919033136724277	THBS1
Fibroma	1/13	0.1351076392082779	0.3385329298229659	0	0	7.453242835595777	14.919033136724277	COL12A1
Basal cell carcinoma	1/13	0.1351076392082779	0.3385329298229659	0	0	7.453242835595777	14.919033136724277	BFSP1
Beriberi	1/13	0.1351076392082779	0.3385329298229659	0	0	7.453242835595777	14.919033136724277	SLC4A8
Hereditary hemorrhagic telangiectasia	1/13	0.1351076392082779	0.3385329298229659	0	0	7.453242835595777	14.919033136724277	ENG
Renal tubular acidosis	1/13	0.1351076392082779	0.3385329298229659	0	0	7.453242835595777	14.919033136724277	CA2
Dysthymic disorder	1/14	0.14471417434381417	0.3385329298229659	0	0	6.879568395405499	13.298169201047848	PIR
Ehlers-Danlos syndrome	1/14	0.14471417434381417	0.3385329298229659	0	0	6.879568395405499	13.298169201047848	COL5A2
Exostosis	1/14	0.14471417434381417	0.3385329298229659	0	0	6.879568395405499	13.298169201047848	COL12A1
Appendicitis	1/14	0.14471417434381417	0.3385329298229659	0	0	6.879568395405499	13.298169201047848	ITGA2
Gas gangrene	1/14	0.14471417434381417	0.3385329298229659	0	0	6.879568395405499	13.298169201047848	NEU1
Hepatitis C	1/14	0.14471417434381417	0.3385329298229659	0	0	6.879568395405499	13.298169201047848	SCG2
Patent ductus arteriosus	1/14	0.14471417434381417	0.3385329298229659	0	0	6.879568395405499	13.298169201047848	ACTA2
Proliferative vitreoretinopathy	1/14	0.14471417434381417	0.3385329298229659	0	0	6.879568395405499	13.298169201047848	PDGFB
Congenital bile acid synthesis defect	1/14	0.14471417434381417	0.3385329298229659	0	0	6.879568395405499	13.298169201047848	CA2
Dementia	3/119	0.1463571390839762	0.3385329298229659	0	0	2.3219178082191783	4.462042190418729	SNCG;SORL1;NRGN
Myasthenia gravis	1/15	0.15421448324992398	0.3385329298229659	0	0	6.3878474466709765	11.941511626245909	CNTNAP2
Gangliosidosis	1/15	0.15421448324992398	0.3385329298229659	0	0	6.3878474466709765	11.941511626245909	NEU1
Ventricular septal defect	1/15	0.15421448324992398	0.3385329298229659	0	0	6.3878474466709765	11.941511626245909	PLEKHD1
Plague	1/15	0.15421448324992398	0.3385329298229659	0	0	6.3878474466709765	11.941511626245909	SULT1A1
Lambert-Eaton myasthenic syndrome	1/15	0.15421448324992398	0.3385329298229659	0	0	6.3878474466709765	11.941511626245909	CNTNAP2
Cutaneous fibrous histiocytoma	1/15	0.15421448324992398	0.3385329298229659	0	0	6.3878474466709765	11.941511626245909	PDGFB
Sclerocornea	1/15	0.15421448324992398	0.3385329298229659	0	0	6.3878474466709765	11.941511626245909	BFSP1
Vitiligo	2/63	0.1547992979479415	0.3385329298229659	0	0	2.9384500745156483	5.482048426933105	CASP7;NEU1
Exudative vitreoretinopathy	1/16	0.16360973526067482	0.3385329298229659	0	0	5.961689291101056	10.792275321881728	FZD1
Myotonic dystrophy type 1	1/16	0.16360973526067482	0.3385329298229659	0	0	5.961689291101056	10.792275321881728	MBNL3
Gastrointestinal system disease	1/16	0.16360973526067482	0.3385329298229659	0	0	5.961689291101056	10.792275321881728	SULT1A1
Varicose veins	1/16	0.16360973526067482	0.3385329298229659	0	0	5.961689291101056	10.792275321881728	SLC4A8
Cholestasis	2/67	0.17045668630957295	0.3385329298229659	0	0	2.757062937062937	4.877999919161991	ABCC2;FGF19
Agoraphobia	1/17	0.1729010868928338	0.3385329298229659	0	0	5.588800904977376	9.808544549890906	PIR
Basal ganglia calcification	1/17	0.1729010868928338	0.3385329298229659	0	0	5.588800904977376	9.808544549890906	PDGFB
Coffin-Siris syndrome	1/17	0.1729010868928338	0.3385329298229659	0	0	5.588800904977376	9.808544549890906	WNT16
Purpura	1/17	0.1729010868928338	0.3385329298229659	0	0	5.588800904977376	9.808544549890906	ITGA2
Rothmund-Thomson syndrome	1/17	0.1729010868928338	0.3385329298229659	0	0	5.588800904977376	9.808544549890906	FAM111B
Macroglobulinemia	1/17	0.1729010868928338	0.3385329298229659	0	0	5.588800904977376	9.808544549890906	CD22
Acquired metabolic disease	6/338	0.17478910588924904	0.3385329298229659	0	0	1.627008032128514	2.8377869638311233	CNTNAP2;ADAMTS14;SMAD6;EFR3B;PBX1;SPC25
Osteoporosis	3/130	0.17575789453798288	0.3385329298229659	0	0	2.1196203214324236	3.6852732726324606	CNTNAP2;WNT16;SCG2
Ductal carcinoma in situ	1/18	0.18208968195023167	0.3385329298229659	0	0	5.259781740750599	8.958754573524155	CCND1
3p- syndrome	1/18	0.18208968195023167	0.3385329298229659	0	0	5.259781740750599	8.958754573524155	CA2
Stuttering	1/18	0.18208968195023167	0.3385329298229659	0	0	5.259781740750599	8.958754573524155	CNTNAP2
Telangiectasis	1/18	0.18208968195023167	0.3385329298229659	0	0	5.259781740750599	8.958754573524155	ENG
Autistic disorder	1/18	0.18208968195023167	0.3385329298229659	0	0	5.259781740750599	8.958754573524155	FHIT
X-linked ichthyosis	1/18	0.18208968195023167	0.3385329298229659	0	0	5.259781740750599	8.958754573524155	SUMF1
Pearson syndrome	1/18	0.18208968195023167	0.3385329298229659	0	0	5.259781740750599	8.958754573524155	SUMF1
Presbyopia	1/18	0.18208968195023167	0.3385329298229659	0	0	5.259781740750599	8.958754573524155	BFSP1
Machado-Joseph disease	1/18	0.18208968195023167	0.3385329298229659	0	0	5.259781740750599	8.958754573524155	CA11
Microcephaly	1/19	0.19117665176834148	0.3456892881290558	0	0	4.967320261437909	8.218716496750378	CENPE
Pelvic inflammatory disease	1/19	0.19117665176834148	0.3456892881290558	0	0	4.967320261437909	8.218716496750378	TLR6
Carpal tunnel syndrome	1/19	0.19117665176834148	0.3456892881290558	0	0	4.967320261437909	8.218716496750378	CCSAP
Dengue disease	1/19	0.19117665176834148	0.3456892881290558	0	0	4.967320261437909	8.218716496750378	MICB
Coronary artery disease	4/205	0.1940989141664351	0.3485858050335977	0	0	1.7871194486284177	2.929781076030095	SORT1;ITGA2;ACSL5;TET1
Eating disorder	1/20	0.2001631152011021	0.3522870827539397	0	0	4.705644201000238	7.569605933177322	PIR
Exocrine pancreatic insufficiency	1/20	0.2001631152011021	0.3522870827539397	0	0	4.705644201000238	7.569605933177322	FAM111B
Diastrophic dysplasia	1/20	0.2001631152011021	0.3522870827539397	0	0	4.705644201000238	7.569605933177322	SLC26A7
Huntington's disease	2/76	0.20651901483809096	0.3610663570679206	0	0	2.4206388206388207	3.8182256019620633	NGFR;TGM2
Cornelia de Lange syndrome	1/21	0.2090501790105241	0.36308715301827876	0	0	4.470135746606335	6.99657138099599	ESCO2
Acquired immunodeficiency syndrome	2/78	0.21464715436643408	0.3631619668742167	0	0	2.3566985645933016	3.6263928740133196	PRMT6;MICB
Vascular disease	2/78	0.21464715436643408	0.3631619668742167	0	0	2.3566985645933016	3.6263928740133196	TSC22D1;ITGA2
Nephroblastoma	1/22	0.21783893759598752	0.3631619668742167	0	0	4.257056668821375	6.487751415786585	SIX2
Atopic dermatitis	1/22	0.21783893759598752	0.3631619668742167	0	0	4.257056668821375	6.487751415786585	CYP24A1
