Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Proteins Involved in Parkinson's Disease	6/98	7.870370188002777E-4	0.22554888680593982	0	0	5.943840579710145	42.48202704712976	NR4A2;ABCB1;GPR37;PLK2;SNCG;TGM2
Kinetochore Assembly	4/40	9.87084843789671E-4	0.22554888680593982	0	0	10.062181447502548	69.63788814579762	CENPE;ZW10;OIP5;SPC25
Amyloid beta Formation in Alzheimer Disease	2/7	0.0024829192355821667	0.26965393859234393	0	0	35.95090909090909	215.6450678011363	SORL1;TGM2
Eat me Signal: Apoptotic Cell Initiates Phagocytosis	3/25	0.002591150505185618	0.26965393859234393	0	0	12.301369863013699	73.26269391346734	CASP7;THBS1;TGM2
SNCA in Young Onset Parkinson's Disease	2/9	0.004194542709324192	0.26965393859234393	0	0	25.676623376623375	140.55309054783143	PLK2;TGM2
Proteins Involved in Oligodendroglioma	2/11	0.006315311534254596	0.26965393859234393	0	0	19.96868686868687	101.136969774862	CCND1;PDGFB
TGF-beta Signaling in Skin Aging	2/11	0.006315311534254596	0.26965393859234393	0	0	19.96868686868687	101.136969774862	CCN2;SMAD7
Hedgehog Signaling in Mantle Cell Lymphoma	2/11	0.006315311534254596	0.26965393859234393	0	0	19.96868686868687	101.136969774862	CCND1;GLI2
Huntingtin Gene Mutation in Striatal Neuron	3/35	0.006797660107169406	0.26965393859234393	0	0	8.45291095890411	42.189973306414316	KAT2B;BBC3;TGM2
Neurotrophic Factor Deprivation in Retinal Ganglion Cell Death	3/35	0.006797660107169406	0.26965393859234393	0	0	8.45291095890411	42.189973306414316	NGFR;SORT1;LIFR
Genes with Mutations Associated with Osteopetrosis	2/12	0.007523245739472788	0.26965393859234393	0	0	17.970909090909092	87.87338966285853	OSTM1;CA2
Proteins Involved in Endometriosis	8/256	0.007990271581705575	0.26965393859234393	0	0	2.94392523364486	14.217776792690728	KITLG;CCND1;TIMP2;SNCG;HPSE;CTSD;FHIT;THBS1
Acinar Cells in the Saliva Formation	2/13	0.008826488980473524	0.26965393859234393	0	0	16.336363636363636	77.2709667946267	CA2;KCNN4
Epithelial Cell in the Saliva Formation	2/13	0.008826488980473524	0.26965393859234393	0	0	16.336363636363636	77.2709667946267	CA2;KCNN4
TGFB Signaling activation by Blocking of Tumor Suppressors	4/73	0.0088507857306021	0.26965393859234393	0	0	5.24105836989762	24.775788151793606	CCND1;SMAD6;SKIL;SMAD7
TGFBR/BMPR -> SMAD2/3 Signaling	2/14	0.01022279611375529	0.2889692199657579	0	0	14.974242424242425	68.6289766386754	SMAD6;SMAD7
Histidine-Rich Glycoprotein (HRG)	2/15	0.011709959692237919	0.2889692199657579	0	0	13.821678321678322	61.46936483786906	HPSE;THBS1
ADAM33 Role in Asthma	2/15	0.011709959692237919	0.2889692199657579	0	0	13.821678321678322	61.46936483786906	KITLG;TIMP2
Ependymoma	3/43	0.01201403759157418	0.2889692199657579	0	0	6.75958904109589	29.88873638322248	CCND1;SCHIP1;GLI2
Proteins Involved in Glaucoma	4/84	0.014284960232305261	0.29182211885025594	0	0	4.517889908256881	19.194472256746177	NGFR;CA2;CCN2;TGM2
Find me Signal: Apoptotic Cell Attracts Phagocyte	2/17	0.014948211624368591	0.29182211885025594	0	0	11.977575757575758	50.34371056132652	CASP7;THBS1
Genes with Mutations Associated with Systemic Scleroderma	2/17	0.014948211624368591	0.29182211885025594	0	0	11.977575757575758	50.34371056132652	CCN2;CD22
Proteins Involved in Alzheimer's Disease	5/130	0.015068310164964897	0.29182211885025594	0	0	3.622672811059908	15.197697159957839	NGFR;ABCB1;CTSD;SORL1;TGM2
Neuroblastoma	5/131	0.015529059616944684	0.29182211885025594	0	0	3.593738570697096	14.96807278953472	NGFR;ABCB1;CCND1;ID2;GLI2
Smooth Muscle Cell Dysfunction in Pulmonary Hypertension	4/88	0.01668664860904538	0.29182211885025594	0	0	4.301878549584972	17.608218542768288	ACTA2;CCND1;PDGFB;CCN2
Hematopoietic Cell Lineage: B-cell (mouse)	3/49	0.01708924454135262	0.29182211885025594	0	0	5.876116736152472	23.911717017971988	KITLG;ITGA2;ID2
Hedgehog Signaling Activation by Blocking of Tumor Suppressors	2/19	0.018524318460040306	0.29182211885025594	0	0	10.567379679144384	42.14979980232976	CCND1;GLI2
Hedgehog Signaling Activation in Cancer	2/19	0.018524318460040306	0.29182211885025594	0	0	10.567379679144384	42.14979980232976	CCND1;GLI2
Osteoclasts Function in Osteopetrosis	2/19	0.018524318460040306	0.29182211885025594	0	0	10.567379679144384	42.14979980232976	OSTM1;CA2
Vascular Smooth Muscle Cell/Pericyte Differentiation and Proliferation	2/20	0.020433933923869125	0.29182211885025594	0	0	9.97979797979798	38.82698618651823	ACTA2;ID2
Li-Fraumeni Syndrome	2/20	0.020433933923869125	0.29182211885025594	0	0	9.97979797979798	38.82698618651823	CCND1;BBC3
Myostatin in Skeletal Muscles in Muscular Dystrophies	2/20	0.020433933923869125	0.29182211885025594	0	0	9.97979797979798	38.82698618651823	SMAD6;SMAD7
Sonic Hedgehog Signaling in Neuroblastoma	2/21	0.02242192247787667	0.31050965370877687	0	0	9.454066985645934	35.903862559466425	CCND1;GLI2
