Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Hippo signaling pathway	10/163	1.4555019160456046E-5	0.0024597982381170717	0	0	6.0503761252928845	67.38651584285076	FZD1;CCND1;ID2;SNAI2;CCN2;WNT9A;WNT16;SMAD7;BBC3;GLI2
Signaling pathways regulating pluripotency of stem cells	7/143	0.0011028185802353697	0.07882605823831083	0	0	4.702257181942544	32.02183549616294	FZD1;ID2;LIFR;WNT9A;WNT16;ISL1;SKIL
Gastric cancer	7/149	0.0013992791403250444	0.07882605823831083	0	0	4.5021945627251885	29.58751355940048	FZD1;FRAT2;ABCB1;CCND1;FGF19;WNT9A;WNT16
Proteoglycans in cancer	8/205	0.0021160664943384055	0.0856609034318943	0	0	3.715736040609137	22.88223208915676	FZD1;TFAP4;CCND1;ITGA2;WNT9A;HPSE;WNT16;THBS1
Pathways in cancer	14/531	0.0025343462553814883	0.0856609034318943	0	0	2.507569558101473	14.98979835905225	FZD1;ITGA2;LAMA3;PDGFB;WNT9A;WNT16;BBC3;GLI2;KITLG;CASP7;FRAT2;LPAR5;CCND1;FGF19
Lysosome	6/128	0.003083506753269712	0.08685210688376356	0	0	4.475409836065574	25.875422330151768	HYAL1;SORT1;LAMP3;NEU1;CTSD;SUMF1
Basal cell carcinoma	4/63	0.005276894114411221	0.12739930076221376	0	0	6.132483284092676	32.161303207006966	FZD1;WNT9A;WNT16;GLI2
Breast cancer	6/147	0.006046172128516898	0.12772538621491947	0	0	3.86859732072498	19.762071415633457	FZD1;FRAT2;CCND1;FGF19;WNT9A;WNT16
Cushing syndrome	6/155	0.007770287366258945	0.14590872943308464	0	0	3.6593959731543624	17.775326131163247	FZD1;NCEH1;CCND1;WNT9A;WNT16;PBX1
Rap1 signaling pathway	7/210	0.009176585089212527	0.1550842880076917	0	0	3.13953488372093	14.727872526894624	NGFR;KITLG;LPAR5;FGF19;PDGFB;THBS1;SKAP1
PI3K-Akt signaling pathway	9/354	0.01773563376731603	0.2110324977723887	0	0	2.380036742192284	9.596735256381503	NGFR;KITLG;LPAR5;CCND1;FGF19;ITGA2;LAMA3;PDGFB;THBS1
Bile secretion	4/90	0.017976565948000043	0.2110324977723887	0	0	4.201408150202688	16.884141210329684	ABCC2;ABCB1;NCEH1;CA2
Glycosaminoglycan degradation	2/19	0.018524318460040306	0.2110324977723887	0	0	10.567379679144384	42.14979980232976	HYAL1;HPSE
Small cell lung cancer	4/92	0.0193269136044211	0.2110324977723887	0	0	4.105504587155964	16.201374849243404	CCND1;ITGA2;LAMA3;FHIT
TGF-beta signaling pathway	4/94	0.020738402565277755	0.2110324977723887	0	0	4.013863404689093	15.55680374595419	ID2;SMAD6;THBS1;SMAD7
Glycosaminoglycan biosynthesis	3/53	0.021041545813572708	0.2110324977723887	0	0	5.404931506849315	20.86982649985667	CHST11;CHST1;HS3ST1
Apoptosis	5/142	0.021228121077695904	0.2110324977723887	0	0	3.303340172895153	12.725881861458484	NGFR;CASP7;SEPTIN4;CTSD;BBC3
Melanogenesis	4/101	0.026168966766461996	0.24569752130733763	0	0	3.722879031495318	13.563122319709116	FZD1;KITLG;WNT9A;WNT16
Wnt signaling pathway	5/166	0.037975652622131116	0.3350674984933926	0	0	2.8074820390989497	9.18274045485267	FZD1;FRAT2;CCND1;WNT9A;WNT16
Hepatocellular carcinoma	5/168	0.03965295840158493	0.3350674984933926	0	0	2.7727516892369457	8.949304850462546	FZD1;FRAT2;CCND1;WNT9A;WNT16
Melanoma	3/72	0.04603196931861048	0.3618496705010501	0	0	3.912844947389319	12.045376772794114	CCND1;FGF19;PDGFB
p53 signaling pathway	3/73	0.047625450708210774	0.3618496705010501	0	0	3.856751467710372	11.74144781743634	CCND1;THBS1;BBC3
PPAR signaling pathway	3/74	0.04924581314511333	0.3618496705010501	0	0	3.80223808605055	11.448276246094522	ME1;ACSL5;SORBS1
Focal adhesion	5/201	0.0738143118339993	0.480326526062038	0	0	2.3020314116429983	5.999560339825238	CCND1;ITGA2;LAMA3;PDGFB;THBS1
ECM-receptor interaction	3/88	0.0746454349535505	0.480326526062038	0	0	3.173730862207897	8.235850342693377	ITGA2;LAMA3;THBS1
Bladder cancer	2/41	0.07585611580580394	0.480326526062038	0	0	4.601165501165501	11.866023683090129	CCND1;THBS1
Human papillomavirus infection	7/331	0.07673855741819542	0.480326526062038	0	0	1.9548952052828021	5.018902145796709	FZD1;CCND1;ITGA2;LAMA3;WNT9A;WNT16;THBS1
ABC transporters	2/45	0.08902258253774692	0.5212708619805732	0	0	4.1723044397463	10.092242034204867	ABCB1;ABCC2
Phagosome	4/152	0.08944884613867823	0.5212708619805732	0	0	2.4336722043144063	5.875099761474828	ITGA2;TLR6;CORO1A;THBS1
Regulation of actin cytoskeleton	5/218	0.09613806572711132	0.5317866405641443	0	0	2.1164622141450855	4.956690876321958	LPAR5;FGF19;ITGA2;PDGFB;IQGAP2
Hematopoietic cell lineage	3/99	0.09788970507089442	0.5317866405641443	0	0	2.8085045662100456	6.526722778778068	KITLG;ITGA2;CD22
Cholesterol metabolism	2/50	0.10633584510819652	0.5317866405641443	0	0	3.7367424242424243	8.374610909283374	NCEH1;SORT1
JAK-STAT signaling pathway	4/162	0.10654700101524782	0.5317866405641443	0	0	2.278481012658228	5.101904203520482	IL22RA1;CCND1;PDGFB;LIFR
Protein digestion and absorption	3/103	0.10698666141527163	0.5317866405641443	0	0	2.6956164383561645	6.0248405179689755	COL12A1;COL5A2;KCNN4
Parathyroid hormone synthesis, secretion and action	3/106	0.11401789183522644	0.5483542032035429	0	0	2.6167043489825774	5.681911553806121	NR4A2;CYP24A1;PDE4B
Ras signaling pathway	5/232	0.11680917938063634	0.5483542032035429	0	0	1.9845104447918147	4.261167858249281	NGFR;KITLG;FGF19;PDGFB;RGL1
Hedgehog signaling pathway	2/56	0.12816797334268473	0.5854158782409113	0	0	3.3205387205387207	6.821759852427651	CCND1;GLI2
MicroRNAs in cancer	6/310	0.13197957658558987	0.5869618011306498	0	0	1.779422514619883	3.6035229320255477	ABCB1;CYP24A1;CCND1;PDGFB;BMF;THBS1
Thyroid hormone signaling pathway	3/121	0.15157664528011625	0.6568321295471704	0	0	2.2823310889250057	4.3059916106086895	KAT2B;CCND1;MED12L
Cortisol synthesis and secretion	2/65	0.16259347885187517	0.6580198015356478	0	0	2.844877344877345	5.167725921944517	NCEH1;PBX1
Transcriptional misregulation in cancer	4/192	0.16554197352989286	0.6580198015356478	0	0	1.9119656451298068	3.438728527384353	NGFR;ID2;WNT16;PBX1
Nitrogen metabolism	1/17	0.1729010868928338	0.6580198015356478	0	0	5.588800904977376	9.808544549890906	CA2
Phenylalanine metabolism	1/17	0.1729010868928338	0.6580198015356478	0	0	5.588800904977376	9.808544549890906	ALDH3B1
FoxO signaling pathway	3/131	0.1785091165786461	0.6580198015356478	0	0	2.102953767123288	3.623632454399543	CCND1;PLK2;SETD7
Fatty acid biosynthesis	1/18	0.18208968195023167	0.6580198015356478	0	0	5.259781740750599	8.958754573524155	ACSL5
Other glycan degradation	1/18	0.18208968195023167	0.6580198015356478	0	0	5.259781740750599	8.958754573524155	NEU1
Adherens junction	2/71	0.18636323221034196	0.6580198015356478	0	0	2.5967061923583663	4.362616098802098	SNAI2;SORBS1
Non-small cell lung cancer	2/72	0.19037269814905783	0.6580198015356478	0	0	2.5594805194805197	4.2455934914796245	CCND1;FHIT
Apelin signaling pathway	3/137	0.19525587530082927	0.6580198015356478	0	0	2.0081782866489473	3.2802475756159053	ACTA2;CCND1;CCN2
Estrogen signaling pathway	3/137	0.19525587530082927	0.6580198015356478	0	0	2.0081782866489473	3.2802475756159053	KRT13;KRT23;CTSD
Steroid biosynthesis	1/20	0.2001631152011021	0.6580198015356478	0	0	4.705644201000238	7.569605933177322	CYP24A1
Glioma	2/75	0.20246763124173778	0.6580198015356478	0	0	2.4539227895392277	3.919344747150181	CCND1;PDGFB
Gastric acid secretion	2/76	0.20651901483809096	0.6585228963705164	0	0	2.4206388206388207	3.8182256019620633	CA2;SLC26A7
Histidine metabolism	1/22	0.21783893759598752	0.667274884316062	0	0	4.257056668821375	6.487751415786585	ALDH3B1
Proximal tubule bicarbonate reclamation	1/23	0.22653047357724626	0.667274884316062	0	0	4.0633484162895925	6.033567738154965	CA2
