Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Adenosine 3',5'-Bisphosphate	2/15	0.011709959692237919	0.16393943569133085	0	0	13.821678321678322	61.46936483786906	SULT1A1;CHST11
Palmitic Acid	1/7	0.07517054911128064	0.37217545787868783	0	0	14.911010558069382	38.58963208510021	ACSL5
S-Adenosylhomocysteine	2/46	0.09241340658836598	0.37217545787868783	0	0	4.077272727272727	9.709956574849388	PRMT6;SETD7
S-Adenosylmethionine	2/50	0.10633584510819652	0.37217545787868783	0	0	3.7367424242424243	8.374610909283374	PRMT6;SETD7
Succinic Acid	1/17	0.1729010868928338	0.38121814079297817	0	0	5.588800904977376	9.808544549890906	TET1
Palmitoyl-CoA	1/19	0.19117665176834148	0.38121814079297817	0	0	4.967320261437909	8.218716496750378	ACSL5
Pyruvic Acid	1/21	0.2090501790105241	0.38121814079297817	0	0	4.470135746606335	6.99657138099599	ME1
Glucose	1/22	0.21783893759598752	0.38121814079297817	0	0	4.257056668821375	6.487751415786585	GANAB
Arachidonic Acid	1/33	0.30832842545922795	0.4530732724958561	0	0	2.792138009049774	3.2852009555948016	CYP4F2
Oxoglutaric Acid	1/35	0.32362376606846865	0.4530732724958561	0	0	2.6276284269363854	2.964421163144063	TET1
AMP	1/64	0.5110546551152333	0.6504331974193878	0	0	1.4160022983552396	0.950532234889593	ACSL5
Coenzyme A	1/99	0.6697063823689441	0.7212222579357859	0	0	0.9086711607720012	0.3643007143353677	ACSL5
NADP+	1/99	0.6697063823689441	0.7212222579357859	0	0	0.9086711607720012	0.3643007143353677	ME1
ATP	1/199	0.8927259643735322	0.8927259643735322	0	0	0.44746103569632983	0.05077591666272771	ACSL5
