Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Signal Transduction R-HSA-162582	46/2465	2.580068559982889E-4	0.15609414787896478	0	0	1.8755731143598031	15.496968620929758	H2AX;PDGFB;RHOBTB3;IQGAP2;THBS1;GLI2;TRAK2;DOCK11;FRAT2;GPNMB;CCND1;NRIP1;PDE4B;LRIG1;CTSD;SKIL;RGS6;FZD1;GABRQ;NGFR;GPR15;GPR37;TPM4;ITGA2;PCDH7;WNT9A;SMAD6;WNT16;PBX1;PSMB9;SMAD7;ACTA2;KAT2B;CENPE;DEPDC1B;KITLG;GAL;LPAR5;ZW10;ID2;FGF19;SNAI2;TRIB3;RHOU;AMOTL2;SPC25
Defective B3GALTL Causes PpS R-HSA-5083635	4/37	7.321102764916578E-4	0.16358885889493693	0	0	10.978593272171254	79.26082587710457	ADAMTS15;ADAMTS14;B3GLCT;THBS1
O-glycosylation Of TSR Domain-Containing Proteins R-HSA-5173214	4/38	8.111844242724146E-4	0.16358885889493693	0	0	10.655153804641122	75.83289079918478	ADAMTS15;ADAMTS14;B3GLCT;THBS1
Extracellular Matrix Organization R-HSA-1474244	10/291	0.0015920337189224928	0.24079509998702703	0	0	3.272846303632579	21.086107650627476	ADAMTS14;ADAM15;ITGA2;COL12A1;COL5A2;P3H2;PDGFB;TIMP2;CTSD;THBS1
Intrinsic Pathway For Apoptosis R-HSA-109606	4/55	0.0032363735838548367	0.31721229239264204	0	0	7.097319661809678	40.691075877996965	CASP7;BMF;SEPTIN4;BBC3
SMAC, XIAP-regulated Apoptotic Response R-HSA-111469	2/8	0.003286391982235421	0.31721229239264204	0	0	29.957575757575757	171.29636900499608	CASP7;SEPTIN4
Atorvastatin ADME R-HSA-9754706	2/9	0.004194542709324192	0.31721229239264204	0	0	25.676623376623375	140.55309054783143	ABCB1;ABCC2
BH3-only Proteins Associate With And Inactivate Anti-Apoptotic BCL-2 Members R-HSA-111453	2/9	0.004194542709324192	0.31721229239264204	0	0	25.676623376623375	140.55309054783143	BMF;BBC3
RUNX1 Regulates Genes Involved In Megakaryocyte Differentiation And Platelet Function R-HSA-8936459	4/66	0.0062225641921187305	0.39695142108890197	0	0	5.834862385321101	29.638610642777145	H2AX;PRMT6;KAT2B;THBS1
Collagen Biosynthesis And Modifying Enzymes R-HSA-1650814	4/67	0.006561180513866148	0.39695142108890197	0	0	5.741954274064366	28.86241970787053	ADAMTS14;COL12A1;COL5A2;P3H2
Diseases Associated With O-glycosylation Of Proteins R-HSA-3906995	4/69	0.007274575213418328	0.39790727039226814	0	0	5.564714184897671	27.39714608373639	ADAMTS15;ADAMTS14;B3GLCT;THBS1
Transcriptional Regulation By RUNX1 R-HSA-8878171	7/204	0.00789237561108631	0.39790727039226814	0	0	3.2361468539723766	15.668963851387888	H2AX;PRMT6;KAT2B;CCND1;LIFR;THBS1;PSMB9
Non-integrin membrane-ECM Interactions R-HSA-3000171	3/41	0.0105465822739399	0.4542807964313987	0	0	7.116077865897621	32.39205502577901	ITGA2;PDGFB;THBS1
