Genes,Term,Adjusted P-value,Log2FoldChange,FoldChange,Regulation
SMAD7,Hippo signaling pathway,0.002459798238117,-2.33628504123195,5.05000578743983,DownRegulated
CCN2,Hippo signaling pathway,0.002459798238117,-2.274382389696,4.83790483140502,DownRegulated
SNAI2,Hippo signaling pathway,0.002459798238117,-1.96078766346563,3.89274451850007,DownRegulated
ID2,Hippo signaling pathway,0.002459798238117,-1.94875477138031,3.86041185273618,DownRegulated
WNT16,Hippo signaling pathway,0.002459798238117,1.58495009759817,2.99997420854168,UpRegulated
BBC3,Hippo signaling pathway,0.002459798238117,1.43690875360341,2.70740131718443,UpRegulated
CCND1,Hippo signaling pathway,0.002459798238117,-1.31210218738609,2.48303085213007,DownRegulated
GLI2,Hippo signaling pathway,0.002459798238117,-1.28429083314915,2.43562298550874,DownRegulated
FZD1,Hippo signaling pathway,0.002459798238117,-1.10289597518581,2.14785406769877,DownRegulated
WNT9A,Hippo signaling pathway,0.002459798238117,1.00358909019222,2.00498172961884,UpRegulated
