"GeneSymbol","Log2FoldChange","DirectionalFoldChange"
"ID2",-1.94875477138031,-3.86041185273618
"CCN2",-2.274382389696,-4.83790483140502
"GANAB",1.59642599654544,3.02393262651676
"ADAMTS14",1.54862992197147,2.92539192788015
"SMAD7",-2.33628504123195,-5.05000578743983
"PCDH7",1.54739061584116,2.9228800322124
"THBS1",-1.65834882045538,-3.15655047428427
"ABHD14B",1.46279349937275,2.75641573724413
"VGLL3",-2.69376150218927,-6.46998111947157
"NGFR",-1.57855257204365,-2.98670049491705
"PDE4B",1.65285862186998,3.14456099952694
"MIR100HG",1.52246890806835,2.87282260094664
"SLC4A8",-1.98108678024883,-3.94790364866769
"FAM234B",-1.39581894473437,-2.6313787966989
"TSC22D1",1.41614089625127,2.66870695745918
"NR4A2",1.36129356840794,2.56915435202853
"AMOTL2",-1.29121901595926,-2.44734758662218
"ALDH3B1",1.38566360242229,2.61292117399508
"KRT13",2.9531819265868,7.74455275639948
"TPM4",1.52427960501094,2.87643048526169
"HS3ST1",1.20201153157543,2.30060217552265
"HABP4",1.31080390328443,2.4807973728949
"CA2",-1.2666157886575,-2.40596522202221
"FAM43A",-1.43412416189546,-2.70218071540511
"LINC00173",1.79082958172437,3.46013800957855
"BFSP1",1.59679412176434,3.02470432660833
"TOMM22",1.22913107469958,2.34425754298588
"CLSPN",-1.15834352104562,-2.23201004673134
"DEPDC1B",-1.27371507530998,-2.41783379504066
"NCEH1",-1.36889588358629,-2.58272830354617
"STN1",1.30423119978286,2.46952093633506
"PLK2",1.10237874165923,2.14708415931243
"RHOBTB3",-1.10800361670371,-2.15547169364976
"ESCO2",-1.27737650449105,-2.42397783115345
"KRTAP2-3",1.57529238213633,2.97995879498465
"LOC105375503",2.983698705593,7.9101151992517
"BBC3",1.43690875360341,2.70740131718443
"DRAXIN",-1.81117339149618,-3.50927593481658
"SNORA103",1.25222378095195,2.38208316246418
"CCSAP",-1.15819973261454,-2.23178760108561
"MICB",-1.43839632154573,-2.71019436794125
"WNT16",1.58495009759817,2.99997420854168
"NOLC1",1.01805293154614,2.02518391602344
"ELFN2",1.12990926523166,2.1884497610097
"LAMP3",-1.63228669772272,-3.1000397140472
"RTKN2",-1.43047122791108,-2.6953473920891
"SETD7",1.31219723617372,2.48319444654198
"GLI2",-1.28429083314915,-2.43562298550874
"SNCG",1.15388944577025,2.22512972216098
"KRT23",2.14103874665936,4.41079511201655
"CASP7",1.13558999478152,2.19708394842988
"PPP1R14B",1.01130495729626,2.01573356213617
"TIMP2",-1.34536750682626,-2.54094915468087
"SUMF1",1.14111050368563,2.20550725119787
"FIRRE",1.62249128064713,3.07906277443376
"SORT1",-1.04751127713464,-2.06696115657958
"SMIM13",-1.1398028749038,-2.20350913095666
