Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cellular Response To Interleukin-1 (GO:0071347)	2/81	9.668965258161824E-5	0.011699447962375807	0	0	252.1139240506329	2330.542164379715	EGR1;CXCL8
Positive Regulation Of Cellular Biosynthetic Process (GO:0031328)	2/174	4.463780456458986E-4	0.013194765361454345	0	0	115.25581395348837	889.1230347572201	EGR1;CXCL8
Cytokine-Mediated Signaling Pathway (GO:0019221)	2/257	9.702071158376461E-4	0.013194765361454345	0	0	77.41568627450981	537.1101078419991	EGR1;CXCL8
Response To Heparin (GO:0071503)	1/5	9.996772392850861E-4	0.013194765361454345	0	0	1666.0	11508.858100931304	EGR1
Positive Regulation Of Tau-Protein Kinase Activity (GO:1902949)	1/5	9.996772392850861E-4	0.013194765361454345	0	0	1666.0	11508.858100931304	EGR1
Regulation Of Hormone Biosynthetic Process (GO:0046885)	1/5	9.996772392850861E-4	0.013194765361454345	0	0	1666.0	11508.858100931304	EGR1
Regulation Of Ketone Biosynthetic Process (GO:0010566)	1/6	0.0011995241237685768	0.013194765361454345	0	0	1332.7333333333333	8963.738320936684	EGR1
Positive Regulation Of Hormone Metabolic Process (GO:0032352)	1/6	0.0011995241237685768	0.013194765361454345	0	0	1332.7333333333333	8963.738320936684	EGR1
Regulation Of Entry Of Bacterium Into Host Cell (GO:2000535)	1/6	0.0011995241237685768	0.013194765361454345	0	0	1332.7333333333333	8963.738320936684	CXCL8
Regulation Of Cell Adhesion Molecule Production (GO:0060353)	1/6	0.0011995241237685768	0.013194765361454345	0	0	1332.7333333333333	8963.738320936684	CXCL8
Locomotor Rhythm (GO:0045475)	1/6	0.0011995241237685768	0.013194765361454345	0	0	1332.7333333333333	8963.738320936684	EGR1
Cellular Response To Cytokine Stimulus (GO:0071345)	2/308	0.0013896086349719549	0.01343512325486384	0	0	64.34640522875817	423.31782781425096	EGR1;CXCL8
Regulation Of RNA Biosynthetic Process (GO:2001141)	1/8	0.001599128450752814	0.01343512325486384	0	0	951.8571428571429	6128.338526995007	CXCL8
Chloride Ion Homeostasis (GO:0055064)	1/9	0.0017988858466888103	0.01343512325486384	0	0	832.8333333333334	5263.9961892645415	SLC12A3
Regulation Of Tau-Protein Kinase Activity (GO:1902947)	1/9	0.0017988858466888103	0.01343512325486384	0	0	832.8333333333334	5263.9961892645415	EGR1
