Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Double-Stranded Methylated DNA Binding (GO:0010385)	1/5	9.996772392850861E-4	0.010942245327398776	0	0	1666.0	11508.858100931304	EGR1
Retinal Dehydrogenase Activity (GO:0001758)	1/7	0.0013993412035435105	0.010942245327398776	0	0	1110.5555555555557	7298.29760572189	ALDH1A3
Chloride:Monoatomic Cation Symporter Activity (GO:0015377)	1/8	0.001599128450752814	0.010942245327398776	0	0	951.8571428571429	6128.338526995007	SLC12A3
Potassium:Chloride Symporter Activity (GO:0015379)	1/8	0.001599128450752814	0.010942245327398776	0	0	951.8571428571429	6128.338526995007	SLC12A3
Sodium:Chloride Symporter Activity (GO:0015378)	1/13	0.0025976166819550294	0.010942245327398776	0	0	555.1111111111111	3304.665770221969	SLC12A3
Aldehyde Dehydrogenase (NAD+) Activity (GO:0004029)	1/14	0.002797224668801086	0.010942245327398776	0	0	512.3846153846154	3012.3745049521203	ALDH1A3
Aldehyde Dehydrogenase [NAD(P)+] Activity (GO:0004030)	1/14	0.002797224668801086	0.010942245327398776	0	0	512.3846153846154	3012.3745049521203	ALDH1A3
CXCR Chemokine Receptor Binding (GO:0045236)	1/16	0.0031963509494465996	0.010942245327398776	0	0	444.02222222222224	2551.238662207853	CXCL8
Histone Acetyltransferase Binding (GO:0035035)	1/17	0.0033958692395375514	0.010942245327398776	0	0	416.25	2366.4626333406177	EGR1
Oxidoreductase Activity, Acting On The Aldehyde Or Oxo Group Of Donors, NAD Or NADP As Acceptor (GO:0016620)	1/20	0.003994244696037095	0.011583309618507575	0	0	350.4736842105263	1935.6313838807391	ALDH1A3
Metal Ion Transmembrane Transporter Activity (GO:0046873)	1/29	0.005787756446431879	0.015258630631502226	0	0	237.71428571428572	1224.7065079220524	SLC12A3
Sodium Ion Transmembrane Transporter Activity (GO:0015081)	1/34	0.0067831056106472404	0.01639250522573083	0	0	201.64646464646464	1006.8853706700453	SLC12A3
Promoter-Specific Chromatin Binding (GO:1990841)	1/42	0.008374110589681004	0.018680708238519163	0	0	162.2357723577236	775.9104929668098	EGR1
Chemokine Activity (GO:0008009)	1/46	0.009168896311972097	0.01899271378908506	0	0	147.78518518518518	693.3989791915002	CXCL8
Chemokine Receptor Binding (GO:0042379)	1/50	0.009963204403296228	0.01926219517970604	0	0	135.69387755102042	625.3936138885244	CXCL8
Cytokine Activity (GO:0005125)	1/178	0.03512995315402264	0.06367304009166604	0	0	37.32391713747646	124.9866440992687	CXCL8
Transcription Regulatory Region Nucleic Acid Binding (GO:0001067)	1/224	0.04405599057136263	0.07515433685703037	0	0	29.556053811659194	92.28268773710143	EGR1
Zinc Ion Binding (GO:0008270)	1/341	0.0664801196025525	0.10349810901652108	0	0	19.270588235294117	52.2397190058011	EGR1
DNA-binding Transcription Activator Activity, RNA Polymerase II-specific (GO:0001228)	1/348	0.06780910590737588	0.10349810901652108	0	0	18.875120076849182	50.79405775047891	EGR1
Transition Metal Ion Binding (GO:0046914)	1/456	0.0881341860781288	0.12634210290249973	0	0	14.315750915750916	34.77145272971057	EGR1
Transcription Cis-Regulatory Region Binding (GO:0000976)	1/474	0.09148910899836186	0.12634210290249973	0	0	13.758280479210711	32.90341399914654	EGR1
Double-Stranded DNA Binding (GO:0003690)	1/650	0.12380719139900447	0.1576215038684123	0	0	9.936825885978429	20.758325706963554	EGR1
Protein Homodimerization Activity (GO:0042803)	1/662	0.12597883717131955	0.1576215038684123	0	0	9.750378214826021	20.19928664014839	ALDH1A3
Sequence-Specific Double-Stranded DNA Binding (GO:1990837)	1/715	0.1355220235819651	0.1576215038684123	0	0	9.00186741363212	17.991322298204356	EGR1
Sequence-Specific DNA Binding (GO:0043565)	1/717	0.13588060678311406	0.1576215038684123	0	0	8.975791433891992	17.915488249484905	EGR1
DNA Binding (GO:0003677)	1/846	0.15877458723696228	0.17709473191815023	0	0	7.554635108481262	13.902566635950018	EGR1
Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000987)	1/1098	0.20218223855148099	0.2135920660215067	0	0	5.742631419021574	9.180089140117428	EGR1
RNA Polymerase II Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000978)	1/1122	0.20622682236559267	0.2135920660215067	0	0	5.612548319952423	8.860971383816002	EGR1
RNA Polymerase II Transcription Regulatory Region Sequence-Specific DNA Binding (GO:0000977)	1/1225	0.22341047363066582	0.22341047363066582	0	0	5.112200435729847	7.661882340071393	EGR1
