Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Ocular hypotension	1/7	0.0013993412035435105	0.007795172002318177	0	0	1110.5555555555557	7298.29760572189	ALDH1A3
Chondrocalcinosis	1/7	0.0013993412035435105	0.007795172002318177	0	0	1110.5555555555557	7298.29760572189	SLC12A3
Matthew-Wood syndrome	1/9	0.0017988858466888103	0.007795172002318177	0	0	832.8333333333334	5263.9961892645415	ALDH1A3
Hyperaldosteronism	1/25	0.00499093909080392	0.011022546617301766	0	0	277.3888888888889	1470.1975024182984	SLC12A3
Polyhydramnios	1/26	0.005190188272057036	0.011022546617301766	0	0	266.28	1400.8951674244283	SLC12A3
Microphthalmia	1/27	0.005389407557575397	0.011022546617301766	0	0	256.02564102564105	1337.303803970803	ALDH1A3
Calcinosis	1/31	0.0061859857715872765	0.011022546617301766	0	0	221.84444444444443	1128.183023929502	SLC12A3
Hypokalemia	1/34	0.0067831056106472404	0.011022546617301766	0	0	201.64646464646464	1006.8853706700453	SLC12A3
Metabolic acidosis	1/51	0.010161706815005046	0.014678020955007288	0	0	132.97333333333333	610.2317612564632	SLC12A3
Cerebrovascular disease	1/225	0.044249344462234025	0.057524147800904236	0	0	29.422619047619047	91.73721708986146	SLC12A3
Hypertension	1/289	0.05656311259089785	0.06684731488015201	0	0	22.810185185185187	65.51993548904068	SLC12A3
Carcinoma	3/11318	0.41722218939604433	0.4250173455493238	0	0	2.3016349977905435	2.0119428638703973	EGR1;ALDH1A3;SLC12A3
Kidney cancer	1/2584	0.4250173455493238	0.4250173455493238	0	0	2.247128661762808	1.9227001304905877	ALDH1A3
