Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Leukotriene Effect on Vascular Endothelial Cell Response	2/34	1.679398313293231E-5	0.0019865784324014824	0	0	623.875	6859.187375478519	EGR1;CXCL8
IL1B Expression Targets -> Nociception	2/47	3.233274447703642E-5	0.0019865784324014824	0	0	443.35555555555555	4584.0437673992965	EGR1;CXCL8
Mast-Cells Activation in Atopic Dermatitis	2/54	4.2781371627738764E-5	0.0019865784324014824	0	0	383.53846153846155	3858.169788709852	EGR1;CXCL8
Hepatic Stellate Cells in non-Alcoholic Fatty Liver Disease	2/55	4.4392814131876705E-5	0.0019865784324014824	0	0	376.2830188679245	3771.2713251344157	EGR1;CXCL8
Alveolar Epithelial Cell Dysfunction in COPD	2/67	6.604325898644189E-5	0.0023643486717146193	0	0	306.6307692307692	2951.3826613585425	EGR1;CXCL8
CXC Chemokine Receptor Signaling	2/75	8.284599327123829E-5	0.002471572132591942	0	0	272.9178082191781	2565.025437499164	EGR1;CXCL8
Proteins Involved in Chronic Obstructive Pulmonary Disease	2/170	4.261469227023922E-4	0.010897185594818316	0	0	118.02380952380952	915.9504922971323	EGR1;CXCL8
Proteins Involved in Myocardial Ischemia	2/252	9.330638710415982E-4	0.014282282901162034	0	0	78.984	551.0742826479811	EGR1;CXCL8
CHRNA7 -> IL8 Production	1/5	9.996772392850861E-4	0.014282282901162034	0	0	1666.0	11508.858100931304	CXCL8
Proteins with Altered Expression in Pyelonephritis	1/5	9.996772392850861E-4	0.014282282901162034	0	0	1666.0	11508.858100931304	CXCL8
Proteins with Altered Expression in Vitiligo	1/5	9.996772392850861E-4	0.014282282901162034	0	0	1666.0	11508.858100931304	CXCL8
Genes with Mutations Associated with Cystic Fibrosis	1/6	0.0011995241237685768	0.014282282901162034	0	0	1332.7333333333333	8963.738320936684	CXCL8
Proteins Involved in Glioma	2/290	0.001233174949198814	0.014282282901162034	0	0	68.43055555555556	458.35902732279135	EGR1;CXCL8
Glucocorticoid Resistance	1/8	0.001599128450752814	0.014282282901162034	0	0	951.8571428571429	6128.338526995007	CXCL8
Proteins Involved in Pyelonephritis	1/9	0.0017988858466888103	0.014282282901162034	0	0	832.8333333333334	5263.9961892645415	CXCL8
Retinoic Acid Signaling Inhibition in Pre-Puberty Block of Meiosis	1/10	0.0019986133767566044	0.014282282901162034	0	0	740.2592592592592	4600.934595868677	ALDH1A3
Proteins Involved in Ependymoma	1/11	0.002198311030839341	0.014282282901162034	0	0	666.2	4077.18792037783	CXCL8
Mast-Cell Activation without Degranulation through CXCR4 Signaling	1/11	0.002198311030839341	0.014282282901162034	0	0	666.2	4077.18792037783	CXCL8
RNase L Signaling in Prostate Cancer	1/11	0.002198311030839341	0.014282282901162034	0	0	666.2	4077.18792037783	EGR1
TACR1 -> TNF/IL6/IL8 Production	1/12	0.0023979788011638326	0.014282282901162034	0	0	605.6060606060606	3653.699524747979	CXCL8
Mast-Cell Activation without Degranulation through CYSLTR1/CYSLTR2 Signaling	1/12	0.0023979788011638326	0.014282282901162034	0	0	605.6060606060606	3653.699524747979	CXCL8
HMGB1/RAGE Signaling in Middle Ear Cholesteatoma	1/13	0.0025976166819550294	0.014282282901162034	0	0	555.1111111111111	3304.665770221969	CXCL8
Proteins with Altered Expression in Gout	1/13	0.0025976166819550294	0.014282282901162034	0	0	555.1111111111111	3304.665770221969	CXCL8
Mast-Cell Activation without Degranulation through TNFSF8 Signaling	1/13	0.0025976166819550294	0.014282282901162034	0	0	555.1111111111111	3304.665770221969	CXCL8
Hodgkin and Reed-Sternberg Cells in Hodgkin Lymphoma	1/14	0.002797224668801086	0.014282282901162034	0	0	512.3846153846154	3012.3745049521203	CXCL8
Keep out Signal: LTF Inhibits Neutrophil Recruitment and Inflammation	1/14	0.002797224668801086	0.014282282901162034	0	0	512.3846153846154	3012.3745049521203	CXCL8
Proteins with Altered Expression in Psoriatic Arthritis	1/14	0.002797224668801086	0.014282282901162034	0	0	512.3846153846154	3012.3745049521203	CXCL8
NOTCH Signaling in Multiple Myeloma	1/14	0.002797224668801086	0.014282282901162034	0	0	512.3846153846154	3012.3745049521203	CXCL8
Oxidative Stress in Vitiligo	1/14	0.002797224668801086	0.014282282901162034	0	0	512.3846153846154	3012.3745049521203	CXCL8
NF-kB Signaling Activation in Huntington Disease	1/15	0.0029968027587318545	0.014282282901162034	0	0	475.76190476190476	2764.2762463526265	CXCL8
FAS Mediated Apoptosis in Systemic Scleroderma	1/16	0.0031963509494465996	0.014282282901162034	0	0	444.02222222222224	2551.238662207853	CXCL8
Paneth-Cell Function in Crohn's Disease	1/16	0.0031963509494465996	0.014282282901162034	0	0	444.02222222222224	2551.238662207853	CXCL8
