Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
AGE-RAGE signaling pathway in diabetic complications	2/100	1.4753333541886297E-4	0.005606266745916793	0	0	203.0408163265306	1791.1157096356244	EGR1;CXCL8
Bladder cancer	1/41	0.008175339510378254	0.04701597997863029	0	0	166.3	799.343073344609	CXCL8
Malaria	1/50	0.009963204403296228	0.04701597997863029	0	0	135.69387755102042	625.3936138885244	CXCL8
Legionellosis	1/57	0.011352094768308504	0.04701597997863029	0	0	118.69047619047619	531.5378490507832	CXCL8
Retinol metabolism	1/68	0.013531684697143435	0.04701597997863029	0	0	99.14925373134328	426.61160877153185	ALDH1A3
Epithelial cell signaling in Helicobacter pylori infection	1/70	0.013927586368181954	0.04701597997863029	0	0	96.26570048309179	411.4284153662677	CXCL8
RIG-I-like receptor signaling pathway	1/70	0.013927586368181954	0.04701597997863029	0	0	96.26570048309179	411.4284153662677	CXCL8
Pertussis	1/76	0.01511457659975212	0.04701597997863029	0	0	88.53777777777778	371.1588342399145	CXCL8
GnRH signaling pathway	1/93	0.018471897734518974	0.04701597997863029	0	0	72.1159420289855	287.8511246681871	EGR1
Rheumatoid arthritis	1/93	0.018471897734518974	0.04701597997863029	0	0	72.1159420289855	287.8511246681871	CXCL8
IL-17 signaling pathway	1/94	0.018669119590526816	0.04701597997863029	0	0	71.33691756272401	283.98402789893197	CXCL8
Viral protein interaction with cytokine and cytokine receptor	1/100	0.01985182675975813	0.04701597997863029	0	0	66.993265993266	262.5773759432504	CXCL8
Amoebiasis	1/102	0.020245824851614903	0.04701597997863029	0	0	65.66006600660066	256.06156447186925	CXCL8
Chagas disease	1/102	0.020245824851614903	0.04701597997863029	0	0	65.66006600660066	256.06156447186925	CXCL8
Toll-like receptor signaling pathway	1/104	0.020639704165072065	0.04701597997863029	0	0	64.37864077669903	249.82380515639142	CXCL8
NF-kappa B signaling pathway	1/104	0.020639704165072065	0.04701597997863029	0	0	64.37864077669903	249.82380515639142	CXCL8
Parathyroid hormone synthesis, secretion and action	1/106	0.02103346472728197	0.04701597997863029	0	0	63.146031746031746	243.84727683680757	EGR1
Apelin signaling pathway	1/137	0.027121585294174314	0.05087326977684463	0	0	48.6764705882353	175.59673457248485	EGR1
Yersinia infection	1/137	0.027121585294174314	0.05087326977684463	0	0	48.6764705882353	175.59673457248485	CXCL8
Phospholipase D signaling pathway	1/148	0.029275045963164405	0.05087326977684463	0	0	45.00907029478458	158.92791836577854	CXCL8
Non-alcoholic fatty liver disease	1/155	0.03064356755712743	0.05087326977684463	0	0	42.94805194805195	149.68824153490112	CXCL8
Cellular senescence	1/156	0.03083895246187989	0.05087326977684463	0	0	42.66881720430108	148.4438207734221	CXCL8
Hepatitis B	1/162	0.032010641763302816	0.05087326977684463	0	0	41.06625258799172	141.3371825935152	CXCL8
Influenza A	1/172	0.033961096146849654	0.05087326977684463	0	0	38.64522417153996	130.71900267520095	CXCL8
NOD-like receptor signaling pathway	1/181	0.03571398376740333	0.05087326977684463	0	0	36.696296296296296	122.27987427585897	CXCL8
Transcriptional misregulation in cancer	1/192	0.03785316139800214	0.05087326977684463	0	0	34.56369982547993	113.16296267411514	CXCL8
Chemokine signaling pathway	1/192	0.03785316139800214	0.05087326977684463	0	0	34.56369982547993	113.16296267411514	CXCL8
Kaposi sarcoma-associated herpesvirus infection	1/193	0.03804745545598449	0.05087326977684463	0	0	34.38194444444444	112.39186264276356	CXCL8
Pathogenic Escherichia coli infection	1/197	0.038824337461276164	0.05087326977684463	0	0	33.673469387755105	109.39526854046228	CXCL8
Lipid and atherosclerosis	1/215	0.042314485176402024	0.052511394569907416	0	0	30.813084112149532	97.45025517243975	CXCL8
Human T-cell leukemia virus 1 infection	1/219	0.04308878105871368	0.052511394569907416	0	0	30.24159021406728	95.0944571247856	EGR1
Human cytomegalovirus infection	1/225	0.044249344462234025	0.052511394569907416	0	0	29.422619047619047	91.73721708986146	CXCL8
Coronavirus disease	1/232	0.045602000547551175	0.052511394569907416	0	0	28.52092352092352	88.06701294052063	CXCL8
Shigellosis	1/246	0.0483030050427388	0.053070848931720614	0	0	26.872108843537415	81.4295169612986	CXCL8
Salmonella infection	1/249	0.048881045068690045	0.053070848931720614	0	0	26.543010752688172	80.11651015311585	CXCL8
Prion disease	1/273	0.05349589152762167	0.056467885501378434	0	0	24.17156862745098	70.77798887458125	EGR1
Cytokine-cytokine receptor interaction	1/295	0.0577113964322957	0.05927116390343882	0	0	22.337868480725625	63.7143159639505	CXCL8
Pathways in cancer	1/531	0.10205198341001741	0.10205198341001741	0	0	12.242767295597485	27.941336683871945	CXCL8
