Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cation-coupled Chloride Cotransporters R-HSA-426117	1/7	0.0013993412035435105	0.040864447921884	0	0	1110.5555555555557	7298.29760572189	SLC12A3
RA Biosynthesis Pathway R-HSA-5365859	1/22	0.004393012155412379	0.040864447921884	0	0	317.06349206349205	1720.9382450199414	ALDH1A3
ATF4 Activates Genes In Response To Endoplasmic Reticulum Stress R-HSA-380994	1/27	0.005389407557575397	0.040864447921884	0	0	256.02564102564105	1337.303803970803	CXCL8
PERK Regulates Gene Expression R-HSA-381042	1/32	0.006385055602597088	0.040864447921884	0	0	214.67741935483872	1084.93568598441	CXCL8
Signal Transduction R-HSA-162582	3/2465	0.006790087779552001	0.040864447921884	0	0	21.365556458164093	106.66308397010894	EGR1;ALDH1A3;CXCL8
Cytokine Signaling In Immune System R-HSA-1280215	2/702	0.007041804678105475	0.040864447921884	0	0	27.565714285714286	136.61266969558483	EGR1;CXCL8
NGF-stimulated Transcription R-HSA-9031628	1/39	0.007777707754316145	0.040864447921884	0	0	175.0701754385965	850.2271896016904	EGR1
Signaling By Retinoic Acid R-HSA-5362517	1/41	0.008175339510378254	0.040864447921884	0	0	166.3	799.343073344609	ALDH1A3
Interleukin-10 Signaling R-HSA-6783783	1/45	0.008970244665779415	0.040864447921884	0	0	151.15151515151516	712.5044099532315	CXCL8
Chemokine Receptors Bind Chemokines R-HSA-380108	1/56	0.011153771349564747	0.04149572501205701	0	0	120.85454545454546	543.3593292987222	CXCL8
Regulation Of PTEN Gene Transcription R-HSA-8943724	1/61	0.012145090247431321	0.04149572501205701	0	0	110.75555555555556	488.52395875680094	EGR1
Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725	1/61	0.012145090247431321	0.04149572501205701	0	0	110.75555555555556	488.52395875680094	EGR1
Interferon Alpha/Beta Signaling R-HSA-909733	1/72	0.01432336889462672	0.04517370189843811	0	0	93.54460093896714	397.1775494166316	EGR1
Senescence-Associated Secretory Phenotype (SASP) R-HSA-2559582	1/81	0.01610291644199292	0.04715854100869355	0	0	82.98333333333333	342.6178422869891	CXCL8
Unfolded Protein Response (UPR) R-HSA-381119	1/89	0.017682713077126194	0.04833274907747826	0	0	75.4090909090909	304.2883338768032	CXCL8
SLC Transporter Disorders R-HSA-5619102	1/99	0.019654783165825862	0.04835790665461977	0	0	67.68027210884354	265.94519972543833	SLC12A3
Transport Of Inorganic Cations/Anions And Amino Acids/Oligopeptides R-HSA-425393	1/104	0.020639704165072065	0.04835790665461977	0	0	64.37864077669903	249.82380515639142	SLC12A3
Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807	1/107	0.021230300482515996	0.04835790665461977	0	0	62.54716981132076	240.952079089247	CXCL8
Signaling By NTRK1 (TRKA) R-HSA-187037	1/114	0.022607319907896505	0.04878421664335562	0	0	58.65191740412979	222.26035801963073	EGR1
Signaling By NTRKs R-HSA-166520	1/132	0.02614155610795585	0.053590190021309485	0	0	50.5470737913486	184.20511433882353	EGR1
PTEN Regulation R-HSA-6807070	1/139	0.027513389805997806	0.05371661819266238	0	0	47.966183574879224	172.34645435203777	EGR1
Cellular Senescence R-HSA-2559583	1/165	0.032596087882055924	0.06074725468928604	0	0	40.3089430894309	138.00020618765868	CXCL8
Disorders Of Transmembrane Transporters R-HSA-5619115	1/176	0.034740452066662306	0.06192863194491976	0	0	37.754285714285714	126.84875593802873	SLC12A3
Peptide Ligand-Binding Receptors R-HSA-375276	1/196	0.03863016109224715	0.06462697177221531	0	0	33.847863247863245	110.1315350069817	CXCL8
Interferon Signaling R-HSA-913531	1/200	0.039406690105009336	0.06462697177221531	0	0	33.1608040201005	107.23606056102831	EGR1
SLC-mediated Transmembrane Transport R-HSA-425407	1/247	0.04849571431961073	0.07427482673756752	0	0	26.761517615176153	80.98784150050393	SLC12A3
Immune System R-HSA-168256	2/1943	0.049543561086700806	0.07427482673756752	0	0	9.301906233900052	27.951325710266246	EGR1;CXCL8
Signaling By Nuclear Receptors R-HSA-9006931	1/260	0.05099827270969593	0.07427482673756752	0	0	25.401544401544403	75.5940693704739	ALDH1A3
PIP3 Activates AKT Signaling R-HSA-1257604	1/268	0.05253585305827947	0.07427482673756752	0	0	24.630461922596755	72.5677306325238	EGR1
Intracellular Signaling By Second Messengers R-HSA-9006925	1/306	0.059813860757243306	0.08062342568476054	0	0	21.52021857923497	60.61207997188841	EGR1
