Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cercopithecine betaherpesvirus 5 chemokine vCXCL6 (gene: UL146C)	1/18	0.003595357627375994	0.017671985559931068	0	0	391.7450980392157	2204.7852142154165	CXCL8
Human papillomavirus 172 E7	1/24	0.004791660011821214	0.017671985559931068	0	0	289.463768115942	1545.9907779727164	EGR1
Human papillomavirus type 108 early protein E7 (gene: E7)	1/31	0.0061859857715872765	0.017671985559931068	0	0	221.84444444444443	1128.183023929502	EGR1
Human papillomavirus type 82 E7	1/31	0.0061859857715872765	0.017671985559931068	0	0	221.84444444444443	1128.183023929502	EGR1
Human papillomavirus 141 transforming protein (gene: E7)	1/32	0.006385055602597088	0.017671985559931068	0	0	214.67741935483872	1084.93568598441	EGR1
Human papillomavirus type 13 E7 (gene: E7)	1/33	0.006584095548098064	0.017671985559931068	0	0	207.95833333333334	1044.5951513751504	EGR1
Human papillomavirus type 144 transforming protein (gene: E7)	1/35	0.006982085791857996	0.017671985559931068	0	0	195.7058823529412	971.5637663512017	EGR1
Human papillomavirus type 96 E7	1/36	0.00718103609555633	0.017671985559931068	0	0	190.10476190476192	938.4163420388405	EGR1
Human papillomavirus type 166 E7 (gene: E7)	1/36	0.00718103609555633	0.017671985559931068	0	0	190.10476190476192	938.4163420388405	EGR1
Human papillomavirus 19 early protein (gene: E7)	1/41	0.008175339510378254	0.017671985559931068	0	0	166.3	799.343073344609	EGR1
Human papillomavirus type 68a E7 protein	1/41	0.008175339510378254	0.017671985559931068	0	0	166.3	799.343073344609	EGR1
Human papillomavirus type 124 transforming protein E7 (gene: E7)	1/42	0.008374110589681004	0.017671985559931068	0	0	162.2357723577236	775.9104929668098	EGR1
Human papillomavirus 122 transforming protein E7 (gene: E7)	1/45	0.008970244665779415	0.017671985559931068	0	0	151.15151515151516	712.5044099532315	EGR1
Human papillomavirus 105 E7 protein (gene: E7)	1/45	0.008970244665779415	0.017671985559931068	0	0	151.15151515151516	712.5044099532315	EGR1
Variola virus chemokine binding protein (gene: G5R)	1/51	0.010161706815005046	0.017671985559931068	0	0	132.97333333333333	610.2317612564632	CXCL8
Human papillomavirus type 56 envelope protein (gene: E7)	1/53	0.010558622126276096	0.017671985559931068	0	0	127.84615384615384	581.8038736810901	EGR1
Vaccinia virus Ankara viral chemokine binding protein	1/57	0.011352094768308504	0.017671985559931068	0	0	118.69047619047619	531.5378490507832	CXCL8
Vaccinia virus chemokine binding protein (gene: C23L)	1/57	0.011352094768308504	0.017671985559931068	0	0	118.69047619047619	531.5378490507832	CXCL8
Human papillomavirus type 163 E7 (gene: E7)	1/59	0.01174865214265672	0.017671985559931068	0	0	114.58620689655173	509.2230234816941	EGR1
Human papillomavirus type 52 early protein (gene: E7)	1/60	0.011946886102556297	0.017671985559931068	0	0	112.63841807909604	498.6823350537484	EGR1
Human gammaherpesvirus 8 K6 (gene: K6)	1/62	0.012343264582388234	0.017671985559931068	0	0	108.93442622950819	478.7281035203865	CXCL8
Cercopithecine betaherpesvirus 5 chemokine vCXCL9 (gene: UL146F)	1/63	0.012541409107047853	0.017671985559931068	0	0	107.17204301075269	469.27630184403733	CXCL8
Cercopithecine betaherpesvirus 5 chemokine vCXCL5 (gene: UL146B)	1/69	0.013729650427898048	0.01850518101151476	0	0	97.68627450980392	418.8980400895514	CXCL8
Human papillomavirus type 34 early protein (gene: E7)	1/74	0.01471903229873594	0.019012083385867257	0	0	90.97260273972603	383.77828720274067	EGR1
Cercopithecine betaherpesvirus 5 chemokine vCXCL10 (gene: UL146G)	1/96	0.01906347415271624	0.023638707949368138	0	0	69.8280701754386	276.5178397381699	CXCL8
Human betaherpesvirus 5 chemokine vCXCL1 (gene: UL146)	1/127	0.025160786767501147	0.02872533233702758	0	0	52.56613756613756	193.57314980526166	CXCL8
Cercopithecine betaherpesvirus 5 chemokine vCXCL2 (gene: UL147)	1/127	0.025160786767501147	0.02872533233702758	0	0	52.56613756613756	193.57314980526166	CXCL8
Human betaherpesvirus 5 chemokine vCXCL2 (gene: UL147)	1/131	0.025945461465702327	0.02872533233702758	0	0	50.93846153846154	186.0149639758345	CXCL8
Human gammaherpesvirus 8 K4.1 (gene: K4.1)	1/137	0.027121585294174314	0.02883524517759661	0	0	48.6764705882353	175.59673457248485	CXCL8
Molluscum contagiosum virus subtype 1 MC148R (gene: MC148R)	1/141	0.0279050759783193	0.02883524517759661	0	0	47.27619047619048	169.1989645694177	CXCL8
Human papillomavirus type 6 E5B (gene: E5B)	1/341	0.0664801196025525	0.0664801196025525	0	0	19.270588235294117	52.2397190058011	EGR1
