Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Adrenocortical Adenoma	3/15	0.0029783968934816883	0.4532988396145482	0	0	12.39873417721519	72.11562647866424	CDKN1A;CDKN2B;KCNE3
Carcinoma Of The Head And Neck	6/72	0.0030931549449119146	0.4532988396145482	0	0	4.530612244897959	26.18043141720894	CCNA2;CCNB1;CCNE1;TNFRSF10B;MERTK;NDRG1
Insulinoma	2/5	0.003796144871025072	0.4532988396145482	0	0	32.994949494949495	183.90623439991566	CDKN1A;CDKN2B
Microcephaly With Chorioretinopathy	2/5	0.003796144871025072	0.4532988396145482	0	0	32.994949494949495	183.90623439991566	PLK4;TUBGCP6
Paroxysmal Nonkinesigenic Dyskinesia	2/5	0.003796144871025072	0.4532988396145482	0	0	32.994949494949495	183.90623439991566	PRRT2;ST3GAL5
Adrenocortical Carcinoma	4/34	0.004469031886355347	0.4532988396145482	0	0	6.623350253807106	35.83618942607538	CDKN1C;CDKN1A;CDKN2B;KCNQ1OT1
Multiple Endocrine Neoplasia	2/6	0.005619426545539235	0.4532988396145482	0	0	24.744949494949495	128.21659072495854	CDKN1A;CDKN2B
Parathyroid Hyperplasia	2/6	0.005619426545539235	0.4532988396145482	0	0	24.744949494949495	128.21659072495854	CDKN1A;CDKN2B
Glucagonoma	2/6	0.005619426545539235	0.4532988396145482	0	0	24.744949494949495	128.21659072495854	CDKN1A;CDKN2B
Osteopetrosis	3/19	0.0059801957732790005	0.4532988396145482	0	0	9.297151898734176	47.59492806357425	PLEKHM1;TNFRSF11A;TCIRG1
Angiofibroma	2/7	0.007764033189056902	0.4904280964420943	0	0	19.794949494949496	96.16887947813868	CDKN1A;CDKN2B
Beckwith-Wiedemann Syndrome	2/7	0.007764033189056902	0.4904280964420943	0	0	19.794949494949496	96.16887947813868	CDKN1C;KCNQ1OT1
Zollinger-Ellison Syndrome	2/8	0.010216518985580606	0.5957016454669307	0	0	16.494949494949495	75.6087141955104	CDKN1A;CDKN2B
Malnutrition	3/26	0.014482913680393871	0.6734982286750932	0	0	6.4652724270776005	27.379043164189863	CDH1;CBS;ARHGAP29
Non-Syndromic Intellectual Disability	5/74	0.01598507378136252	0.6734982286750932	0	0	3.6016152229228897	14.896640294285977	BRSK2;CRADD;DEAF1;IQSEC1;CDH15
Subcutaneous Lipoma	2/10	0.015993361630806963	0.6734982286750932	0	0	12.369949494949495	51.15693479331375	CDKN1A;CDKN2B
Oropharyngeal Carcinoma	2/10	0.015993361630806963	0.6734982286750932	0	0	12.369949494949495	51.15693479331375	TNFRSF10B;NDRG1
Gonadoblastoma	2/10	0.015993361630806963	0.6734982286750932	0	0	12.369949494949495	51.15693479331375	CDKN1C;KCNQ1OT1
Hyperhomocysteinemia	2/11	0.019292811784170274	0.7311975666200533	0	0	10.994949494949495	43.40831017891	SLC46A1;CBS
Cleft Palate And Bilateral Cleft Lip	2/11	0.019292811784170274	0.7311975666200533	0	0	10.994949494949495	43.40831017891	CDH1;ARHGAP29
Thymoma	2/12	0.02285030700241779	0.7765582368651238	0	0	9.894949494949495	37.39094338751276	CDKN1A;CDKN2B
Functional Gastrointestinal Disorders	2/12	0.02285030700241779	0.7765582368651238	0	0	9.894949494949495	37.39094338751276	KEAP1;CCK
Nephrolithiasis	5/83	0.02496779825341246	0.7765582368651238	0	0	3.1845762380113527	11.751622455213873	CDKN1C;PREPL;KCNQ1OT1;SERPINH1;AGPAT2
Ectrodactyly	2/13	0.02665432432421101	0.7765582368651238	0	0	8.994949494949495	32.60492781135579	CDH3;BTRC
Prolactinoma	2/13	0.02665432432421101	0.7765582368651238	0	0	8.994949494949495	32.60492781135579	CDKN1A;CDKN2B
Gout	8/183	0.0304530611070219	0.7765582368651238	0	0	2.2771575091575094	7.950852022652118	KAT5;UBE2Q2;NXPH4;BCL7B;CD14;BAIAP2;SH2B3;ABCG1
Sideroblastic Anemia	2/15	0.03495759600801872	0.7765582368651238	0	0	7.610334110334111	25.522164833078214	GDF15;SLC19A2
Congenital Hemihypertrophy	2/15	0.03495759600801872	0.7765582368651238	0	0	7.610334110334111	25.522164833078214	CDKN1C;KCNQ1OT1
Gastrointestinal Diseases	2/16	0.039435538795766834	0.7765582368651238	0	0	7.066378066378066	22.84622120659932	KEAP1;CCK
Gouty Arthritis	7/159	0.04014587550130238	0.7765582368651238	0	0	2.2908534123031363	7.365633379427658	KAT5;UBE2Q2;NXPH4;BCL7B;BAIAP2;SH2B3;ABCG1
Stroke	8/194	0.04078612767544474	0.7765582368651238	0	0	2.1412737799834574	6.850819732126854	SH3PXD2A;CBS;TREX1;PHF14;MICAL2;SH2B3;ITM2B;SLC19A2
Hematologic Neoplasms	2/17	0.04411736228254256	0.7765582368651238	0	0	6.594949494949495	20.582190220957983	CBL;SH2B3
Parathyroid Adenoma	2/18	0.0489932230652544	0.7765582368651238	0	0	6.182449494949495	18.646720820808223	CDKN1A;CDKN2B
Hepatoblastoma	2/18	0.0489932230652544	0.7765582368651238	0	0	6.182449494949495	18.646720820808223	CDKN1C;KCNQ1OT1
Stereotyped Behavior	6/135	0.05319186870634745	0.7765582368651238	0	0	2.310512577123873	6.778696719461096	PRRT2;CRADD;TUBB3;DEAF1;ST3GAL5;WARS2
Omenn Syndrome	2/19	0.054053587015331556	0.7765582368651238	0	0	5.8184789067142	16.97703773239429	CORO1A;ADA
Peptic Ulcer	2/19	0.054053587015331556	0.7765582368651238	0	0	5.8184789067142	16.97703773239429	CDKN2B;CDKN1A
Infiltrating Duct Carcinoma Of Female Breast	2/21	0.06469118449219419	0.7765582368651238	0	0	5.205475810738968	14.253271245331554	TESK2;CDC42BPB
Diabetic Nephropathy	4/76	0.06494183429608517	0.7765582368651238	0	0	2.753807106598985	7.529633615132657	AOC3;CDKN1A;CHN2;TXNIP
Biliary Cholangitis	3/47	0.06672641207603765	0.7765582368651238	0	0	3.3759493670886074	9.139216255172546	NSA2;ENTPD2;KEAP1
Oral Ulcer	4/79	0.07269617563819672	0.7765582368651238	0	0	2.643248730964467	6.929188000786226	IQCJ-SCHIP1;SLC46A1;MAPKAPK2;TCIRG1
Retinal Dystrophy	6/149	0.07767388481885255	0.7765582368651238	0	0	2.0828100470957613	5.322071590116962	TUBGCP6;CHM;CEP41;MERTK;ITM2B;SLC19A2
Spastic Quadriplegia	4/81	0.07811555749818479	0.7765582368651238	0	0	2.574329224075417	6.563422371283358	TUBB3;TREX1;DEGS1;WARS2
Oculovestibuloauditory Syndrome	4/82	0.08089896798401006	0.7765582368651238	0	0	2.5411948457633735	6.38997220212956	TOE1;TUBB3;ABCA7;CEP41
Ovarian Neoplasm	8/225	0.08152250004429	0.7765582368651238	0	0	1.8324471227697035	4.593718121378226	CDH1;TUBB3;CCNE1;PLEKHM1;KEAP1;DYRK1B;FRY;SH2B3
Velopharyngeal Insufficiency	2/24	0.08180987489800805	0.7765582368651238	0	0	4.494949494949495	11.252464733056147	CDH1;ARHGAP29
Ovarian Endometrioid Carcinoma	2/24	0.08180987489800805	0.7765582368651238	0	0	4.494949494949495	11.252464733056147	FRY;SH2B3
Dyskinesia	2/24	0.08180987489800805	0.7765582368651238	0	0	4.494949494949495	11.252464733056147	PRRT2;CCK
Esophagitis	2/24	0.08180987489800805	0.7765582368651238	0	0	4.494949494949495	11.252464733056147	CDKN2B;CDKN1A
Sclerosing Cholangitis	2/25	0.08779333444189662	0.7765582368651238	0	0	4.299297321036452	10.459200248496733	BCL2L11;SH2B3
Orofacial Dyskinesia	2/25	0.08779333444189662	0.7765582368651238	0	0	4.299297321036452	10.459200248496733	PRRT2;PNPT1
Focal Seizures	2/25	0.08779333444189662	0.7765582368651238	0	0	4.299297321036452	10.459200248496733	PRRT2;TUBB3
Dyskinetic Syndrome	7/192	0.08977493010226682	0.7765582368651238	0	0	1.8790212207092003	4.529285794752291	SLC46A1;PNPT1;PRRT2;CRADD;DEAF1;ST3GAL5;WARS2
Prostate Cancer	22/814	0.09127865531388554	0.7765582368651238	0	0	1.389627659574468	3.326543921148788	FARP2;STARD3;SPON2;CDKN1A;NUMBL;GDF15;KEAP1;FRY;PDZK1IP1;HOXB13;CLU;FBXO44;NDRG1;REC8;HERPUD1;FAM83F;BCL2L11;CLDN9;CDH1;ZBED1;DEGS1;SH2B3
Melanoma	11/350	0.09204912269023673	0.7765582368651238	0	0	1.6151242825455627	3.8527706046365147	CDKN1C;DRAP1;SNAPC5;CDKN2B;GDF15;CDH1;CBS;HOXB13;CLU;NDRG1;REC8
Gingivitis	2/26	0.09390254205417706	0.7765582368651238	0	0	4.119949494949495	9.745731553777215	TCIRG1;LYST
Oculomotor Apraxia	4/87	0.09553449174452078	0.7765582368651238	0	0	2.3874992355207634	5.606487879560153	TOE1;TUBB3;ABCA7;CEP41
Silver-Russell Syndrome	1/5	0.09562679916877269	0.7765582368651238	0	0	12.341309823677582	28.968783356610405	CDKN1C
Smith-Magenis Syndrome	1/5	0.09562679916877269	0.7765582368651238	0	0	12.341309823677582	28.968783356610405	DEAF1
