Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Regulation Of Cyclin-Dependent Protein Kinase Activity (GO:1904029)	10/53	7.911859976983193E-8	1.516703557587678E-4	0	0	11.723207863821626	191.7016211796319	CDKN1C;CCNA2;CDKN2D;CCNB2;CDKN1A;CCND3;CCNB1;CDKN2B;CCNE1;CDC25C
Regulation Of Cyclin-Dependent Protein Serine/Threonine Kinase Activity (GO:0000079)	10/79	3.6909352316572413E-6	0.003537761419543466	0	0	7.296055580457194	91.27096074475847	CCNA2;CDKN2D;HEXIM1;CCNB2;CDKN1A;CCND3;CCNB1;CDKN2B;CCNE1;CDC25C
Negative Regulation Of Phosphate Metabolic Process (GO:0045936)	5/20	3.687237545938609E-5	0.023561447918547713	0	0	16.61323155216285	169.58866378754445	CDKN1C;CDKN2D;CDA;CDKN1A;CDKN2B
Mitotic Cell Cycle Phase Transition (GO:0044772)	10/111	7.514685071679325E-5	0.03601412820602316	0	0	4.976268245381239	47.254973429920064	CCNA2;CCNB2;CCND3;BRSK2;CCNB1;CDKN1A;CDC34;CCNE1;CDC25C;NES
Cell Cycle G2/M Phase Transition (GO:0044839)	6/40	1.2948935402977129E-4	0.04964621833501431	0	0	8.809123649459783	78.85849872458613	CCNA2;BRSK2;CCNB1;AKAP8;CDC25C;NES
Regulation Of Protein Serine/Threonine Kinase Activity (GO:0071900)	9/112	4.0431708933283725E-4	0.1291793100418415	0	0	4.379938602840243	34.22182296101141	CCNA2;CDKN2D;CCNB2;CCND3;CCNB1;CDKN1A;CDKN2B;CCNE1;CDC25C
G2/M Transition Of Mitotic Cell Cycle (GO:0000086)	5/38	8.896276602245883E-4	0.24046126638883994	0	0	7.544529262086514	52.998111608769364	CCNA2;BRSK2;CCNB1;CDC25C;NES
Microtubule Nucleation (GO:0007020)	4/23	0.0010134619355742745	0.24046126638883994	0	0	10.463799091637723	72.14144014423844	TUBGCP5;TUBGCP6;TUBGCP3;TPPP
Water-Soluble Vitamin Metabolic Process (GO:0006767)	5/40	0.0011289261332809387	0.24046126638883994	0	0	7.112686295892403	48.270163200891886	SLC23A2;SLC46A1;VNN1;MTHFS;SLC19A2
Regulation Of Release Of Cytochrome C From Mitochondria (GO:0090199)	5/41	0.001265004310853538	0.24071869815224928	0	0	6.914758269720102	46.139967475723694	MLLT11;BCL2L11;PPIF;NOL3;CLU
Phospholipid Homeostasis (GO:0055091)	3/12	0.00150538201817832	0.24071869815224928	0	0	16.534177215189874	107.45079933679885	LIPG;TLCD1;ABCG1
Proteasomal Protein Catabolic Process (GO:0010498)	12/220	0.0015859950452999227	0.24071869815224928	0	0	2.8986648066958947	18.686368129989802	APC2;SPSB3;BRSK2;CDC34;KAT5;UBXN11;ZFAND2A;TRIM13;BTRC;FBXO44;RBX1;RNF41
Cell-Cell Adhesion Mediated By Cadherin (GO:0044331)	4/26	0.001632416836713219	0.24071869815224928	0	0	9.035532994923859	57.987282639149775	CDH3;MMP24;CDH1;CDH15
Cytoplasmic Microtubule Organization (GO:0031122)	5/48	0.002580339122649324	0.30808704985564705	0	0	5.787028818273271	34.48973368997731	TUBGCP5;KATNB1;TUBGCP6;TUBGCP3;TPPP
Plasma Membrane Organization (GO:0007009)	6/72	0.0030931549449119146	0.30808704985564705	0	0	4.530612244897959	26.18043141720894	SNX18;PACSIN2;ABCA7;DEGS1;TLCD1;SYT7
Cholesterol Transport (GO:0030301)	5/51	0.0033722763697698237	0.30808704985564705	0	0	5.408784157539551	30.787704216991834	STARD3;LIPG;ABCA7;CLU;ABCG1
