Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Intracellular Non-Membrane-Bounded Organelle (GO:0043232)	43/1195	1.2705908822478016E-4	0.011913020570738958	0	0	1.9399207746478873	17.402754417693096	MDC1;CDKN1A;DOCK4;EIF4A3;AKAP8;KATNB1;ADARB1;CTCF;CLU;RRP9;OASL;SNAPC5;BCL2L10;EMG1;KAT5;SH3PXD2A;PNMA1;ERI1;SPIN1;KAT7;SNRNP35;RBM7;METTL18;N4BP1;PLK4;CRADD;SCAF11;IQSEC1;ARID5A;DYRK1B;ZBTB33;CDC42BPB;DHRS3;EHD1;PREPL;TAOK2;PLEKHM1;PLIN3;SPRY2;ADAM8;TUBGCP3;KIF20A;ANP32B
Cyclin-Dependent Protein Kinase Holoenzyme Complex (GO:0000307)	6/40	1.2948935402977129E-4	0.011913020570738958	0	0	8.809123649459783	78.85849872458613	CCNA2;CCNB2;CDKN1A;CCNB1;CCND3;CCNE1
Microtubule Cytoskeleton (GO:0015630)	16/342	0.0014605658620735552	0.05695575701847069	0	0	2.4766003918671506	16.169553919049708	APC2;KATNB1;KLF4;LYST;NDRG1;CCNB2;NUAK1;BCL2L10;KIFC2;BAG2;TUBB3;SPRY2;TUBGCP3;KIF20A;TPPP;MAPRE2
Nucleolus (GO:0005730)	28/771	0.0017027338389093217	0.05695575701847069	0	0	1.9208177221636171	12.246212147947233	CDKN1A;DOCK4;EIF4A3;AKAP8;ADARB1;CTCF;RRP9;OASL;SNAPC5;EMG1;KAT5;PNMA1;ERI1;SPIN1;KAT7;SNRNP35;RBM7;METTL18;N4BP1;PLK4;CRADD;SCAF11;IQSEC1;ARID5A;ZBTB33;TAOK2;PLEKHM1;ANP32B
Nuclear Lumen (GO:0031981)	28/780	0.002012638122689172	0.05695575701847069	0	0	1.8969235192639449	11.776687202613921	CDKN1A;DOCK4;EIF4A3;AKAP8;ADARB1;CTCF;RRP9;OASL;SNAPC5;EMG1;KAT5;PNMA1;ERI1;SPIN1;KAT7;SNRNP35;RBM7;METTL18;N4BP1;PLK4;CRADD;SCAF11;IQSEC1;ARID5A;ZBTB33;TAOK2;PLEKHM1;ANP32B
Specific Granule Membrane (GO:0035579)	7/90	0.0021243682873306243	0.05695575701847069	0	0	4.210180876960528	25.910635324454606	MMP24;ATP8A1;DGAT1;ADAM8;DEGS1;CLU;AGPAT2
Catenin Complex (GO:0016342)	4/28	0.002166795103963559	0.05695575701847069	0	0	8.281725888324873	50.804298094356746	APC2;CDH3;CDH1;CDH15
Recycling Endosome Membrane (GO:0055038)	6/70	0.002683182853116447	0.06171320562167828	0	0	4.672672193877551	27.665731169009096	EHD1;SNX18;PACSIN2;NDRG1;RAB11FIP3;BAIAP3
Adherens Junction (GO:0005912)	9/150	0.0031630802535649234	0.06466741851732732	0	0	3.1932943171251984	18.38126936772338	CYTH3;CDH3;CDH1;TNKS1BP1;ESAM;CDH15;BAIAP2;NDRG1;PDLIM7
Cytoskeleton (GO:0005856)	22/599	0.004529819388413908	0.0833486767468159	0	0	1.9292285851248203	10.412187913494485	APC2;KATNB1;CDC42BPB;BAIAP2;KLF4;NOL3;LYST;CLU;NDRG1;CLK3;CCNB2;NUAK1;PREPL;TUBB3;CDH1;TAOK2;TSPAN5;SPRY2;SYNPO;NES;MAPRE2;PDLIM7
Actin Cytoskeleton (GO:0015629)	14/327	0.006151104352462896	0.10289120007756117	0	0	2.246788471778488	11.438677911239798	APC2;MICAL2;NOL3;BAIAP2;CORO1A;SH3PXD2A;CDH1;TAOK2;TSPAN5;SPRY2;ADAM8;SYNPO;GAS2L1;PDLIM7
Polymeric Cytoskeletal Fiber (GO:0099513)	12/265	0.0070744064236512375	0.10847423182931898	0	0	2.377562514079748	11.771958078175691	APC2;KIFC2;BAG2;TUBB3;MICAL2;KATNB1;KIF20A;TPPP;GAS2L1;CORO1A;NDRG1;NES
