Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cyclin-Dependent Protein Serine/Threonine Kinase Regulator Activity (GO:0016538)	9/46	2.568823914627191E-7	1.0172542701923678E-4	0	0	12.234072118390884	185.64773161161708	CDKN2D;HEXIM1;CCNA2;CCNB2;CDKN1A;CCNB1;CCND3;CDKN2B;CCNE1
3'-5' Exonuclease Activity (GO:0008408)	7/42	1.7342091535817704E-5	0.0031273852944026176	0	0	10.008695652173913	109.7190647385829	TOE1;PAN2;PNPT1;ERI1;ANGEL2;TREX1;DIS3L
RNA Exonuclease Activity, Producing 5'-Phosphomonoesters (GO:0016896)	6/30	2.3692312836383466E-5	0.0031273852944026176	0	0	12.485969387755102	132.9800678714116	TOE1;PAN2;PNPT1;ERI1;ANGEL2;DIS3L
3'-5'-RNA Exonuclease Activity (GO:0000175)	6/34	5.017490486161776E-5	0.004967315581300158	0	0	10.700072886297376	105.93067405975933	TOE1;PAN2;PNPT1;ERI1;ANGEL2;DIS3L
Calcium Ion Binding (GO:0005509)	18/346	2.1476786058647812E-4	0.012509293987310531	0	0	2.783472400513479	23.50907660211435	AOC3;CETN3;CIB2;NOL3;RASGRP2;CLU;SYT7;CLGN;BAIAP3;PGS1;BCL2L10;CDH3;PITPNM1;CDH1;SPOCK2;PLA2G10;ADAM8;CDH15
Protein Kinase Regulator Activity (GO:0019887)	9/103	2.159529798890361E-4	0.012509293987310531	0	0	4.801509599081114	40.52690102179709	HEXIM1;CDKN1C;CCNA2;CCNB2;CCND3;CCNB1;CDKN1A;ITPRIP;CCNE1
Gamma-Tubulin Binding (GO:0043015)	5/29	2.4373672270587495E-4	0.012509293987310531	0	0	10.37849872773537	86.34310981761233	DIXDC1;TUBGCP5;TUBGCP6;TUBGCP3;NDRG1
Protein Kinase Inhibitor Activity (GO:0004860)	6/45	2.527130098446572E-4	0.012509293987310531	0	0	7.67778649921507	63.5970715588101	CDKN1C;HEXIM1;CDKN1A;ITPRIP;CAMK2N2;SPRY2
Protein Serine/Threonine Kinase Inhibitor Activity (GO:0030291)	5/32	3.9355700246912413E-4	0.01731650810864146	0	0	9.223918575063614	72.31814712881224	CDKN2D;HEXIM1;CDKN1A;CDKN2B;SPRY2
Cyclin-Dependent Protein Serine/Threonine Kinase Inhibitor Activity (GO:0004861)	3/9	6.009157071653993E-4	0.023796262003749815	0	0	24.80506329113924	183.98054072499457	CDKN2D;HEXIM1;CDKN2B
Metal Ion Binding (GO:0046872)	22/521	8.11912360339814E-4	0.029228844972233305	0	0	2.2399373214514133	15.939658637547998	AOC3;BRSK2;TREX1;CETN3;CIB2;CDC42BPB;NOL3;RASGRP2;CLU;SYT7;BAIAP3;CLGN;PGS1;BCL2L10;CDH3;PITPNM1;CDH1;SPOCK2;PLA2G10;ADAM8;TPPP;CDH15
Receptor Tyrosine Kinase Binding (GO:0030971)	6/59	0.0011068038765182273	0.0365245279251015	0	0	5.645648825567963	38.42585995662467	DOCK4;PITPNM1;CBL;SH2B3;SH2B2;RNF41
Protein Kinase Binding (GO:0019901)	21/511	0.001480735517346791	0.042580805657043905	0	0	2.1726411519514968	14.155227141701019	CDKN2D;SPAG9;DAZAP2;CDKN1A;CDKN2B;STK11IP;MICAL2;WDR45;CDC25C;LYST;CCNA2;CCND3;FAM83F;CCNB1;CAMK2N2;TAOK2;MAPKAPK2;MARVELD3;SPRY2;KIF20A;SH2B3
Microtubule Minus-End Binding (GO:0051011)	3/12	0.00150538201817832	0.042580805657043905	0	0	16.534177215189874	107.45079933679885	TUBGCP5;TUBGCP6;TUBGCP3
Microtubule Binding (GO:0008017)	12/239	0.003143884255137902	0.0829985443356406	0	0	2.653443199196549	15.289925715697162	APC2;KIFC2;CETN3;TUBGCP5;TUBGCP6;KATNB1;TUBGCP3;KIF20A;TPPP;GAS2L1;MAPRE2;NDRG1
Phosphatidylcholine Transporter Activity (GO:0008525)	3/17	0.004321924909294262	0.10410215452921866	0	0	10.626401446654612	57.85070749989131	PITPNM1;ABCA7;ABCG1
Kinase Inhibitor Activity (GO:0019210)	4/34	0.004469031886355347	0.10410215452921866	0	0	6.623350253807106	35.83618942607538	CDKN1C;HEXIM1;CDKN1A;ITPRIP
