Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Bile reflux	3/8	4.0660389420468286E-4	0.11945779157163548	0	0	29.76759493670886	232.41559008863103	CDX2;CCK;ITM2B
Peutz-Jeghers syndrome	4/21	7.068471682896342E-4	0.11945779157163548	0	0	11.696028665273216	84.85113336516616	MIDN;STK11IP;WDR6;REEP6
Aarskog-Scott syndrome	3/11	0.0011458780966104123	0.11945779157163548	0	0	18.601898734177215	125.96432056880414	FARP2;FGD3;BTRC
Osteopetrosis	3/11	0.0011458780966104123	0.11945779157163548	0	0	18.601898734177215	125.96432056880414	PLEKHM1;TNFRSF11A;TCIRG1
Specific language impairment	4/30	0.0028109084973460784	0.23442976867866294	0	0	7.64388910581804	44.90209676996333	DOCK4;MRPL19;ATP2C2;ZNF277
Otitis externa	2/6	0.005619426545539235	0.3347572670699801	0	0	24.744949494949495	128.21659072495854	SHF;NXPH4
Dandy-Walker syndrome	2/6	0.005619426545539235	0.3347572670699801	0	0	24.744949494949495	128.21659072495854	PHF14;PLEKHM1
Cholangiocarcinoma	2/7	0.007764033189056902	0.3717173846184389	0	0	19.794949494949496	96.16887947813868	PRRT2;TCFL5
Silver-Russell syndrome	4/40	0.008022677365865587	0.3717173846184389	0	0	5.517766497461929	26.625888854528945	CDKN1C;KCNQ1OT1;CTCF;ZBTB33
Paroxysmal nocturnal hemoglobinuria	2/8	0.010216518985580606	0.41584021501885066	0	0	16.494949494949495	75.6087141955104	PIGB;CD14
Gastroesophageal reflux disease	3/24	0.011608508944599713	0.41584021501885066	0	0	7.081735985533454	31.55633537496581	CDX2;ZBED1;CCK
Beckwith-Wiedemann syndrome	4/45	0.012105389184358701	0.41584021501885066	0	0	4.843630060666089	21.380289433106046	CDKN1C;KCNQ1OT1;CTCF;ZBTB33
Diverticulitis	2/9	0.012963843633681194	0.41584021501885066	0	0	14.137806637806637	61.43712606759453	BCL2L10;RIOK3
Contagious pustular dermatitis	2/10	0.015993361630806963	0.4763737000033217	0	0	12.369949494949495	51.15693479331375	GTF3C6;SPIN1
Metaphyseal dysplasia	2/11	0.019292811784170274	0.527075931611956	0	0	10.994949494949495	43.40831017891	CDKN1C;KCNQ1OT1
Chromophobe adenocarcinoma	2/12	0.02285030700241779	0.527075931611956	0	0	9.894949494949495	37.39094338751276	IQCJ-SCHIP1;SYNGR3
Opisthorchiasis	2/13	0.02665432432421101	0.527075931611956	0	0	8.994949494949495	32.60492781135579	OSBPL7;RHPN1
Seckel syndrome	3/34	0.029676584276400728	0.527075931611956	0	0	4.794855042874643	16.865408514684233	PLK4;MDC1;TUBGCP6
Choroideremia	2/14	0.030693695199952693	0.527075931611956	0	0	8.244949494949495	28.7229141774549	RAB42;CHM
Chromosome 17q12 deletion syndrome	2/14	0.030693695199952693	0.527075931611956	0	0	8.244949494949495	28.7229141774549	TUBGCP6;DUSP14
Radiculopathy	2/14	0.030693695199952693	0.527075931611956	0	0	8.244949494949495	28.7229141774549	KLK8;VASN
Shipyard eye	2/14	0.030693695199952693	0.527075931611956	0	0	8.244949494949495	28.7229141774549	TRIM13;ABCA7
Eastern equine encephalitis	2/14	0.030693695199952693	0.527075931611956	0	0	8.244949494949495	28.7229141774549	SH2D3C;SPIN1
Exophthalmos	2/14	0.030693695199952693	0.527075931611956	0	0	8.244949494949495	28.7229141774549	ARHGAP11B;RDH13
Dyslexia	3/36	0.03440128703783928	0.527075931611956	0	0	4.50379746835443	15.176272038511215	DOCK4;MRPL19;ATP2C2
Spindle cell hemangioma	2/15	0.03495759600801872	0.527075931611956	0	0	7.610334110334111	25.522164833078214	BAG2;ADARB1
Vitiligo	4/63	0.03671646234606519	0.527075931611956	0	0	3.3628151079755657	11.112523607867638	TRIM15;SH2B3;MICA;IER3
Myotonic dystrophy type 1	2/16	0.039435538795766834	0.527075931611956	0	0	7.066378066378066	22.84622120659932	MTMR1;MBNL2
Gastroparesis	2/17	0.04411736228254256	0.527075931611956	0	0	6.594949494949495	20.582190220957983	SPAG7;CCK
Retinopathy of prematurity	2/18	0.0489932230652544	0.527075931611956	0	0	6.182449494949495	18.646720820808223	CDKN1C;SERPINH1
Gastritis	3/43	0.053769815339829906	0.527075931611956	0	0	3.7143037974683546	10.857069798362614	CDX2;CDH1;CCK
Withdrawal disorder	2/20	0.059289220959174736	0.527075931611956	0	0	5.494949494949495	15.525033352532992	TRIM13;CCK
Williams-Beuren syndrome	3/45	0.06008311762695824	0.527075931611956	0	0	3.5370705244122966	9.946335628268178	SEC23A;BCL7B;TUBGCP6
Autonomic neuropathy	2/21	0.06469118449219419	0.527075931611956	0	0	5.205475810738968	14.253271245331554	CCK;ADAM8
Nephroblastoma	2/22	0.07025082205516801	0.527075931611956	0	0	4.944949494949495	13.132219639707378	NUMBL;SYNPO
Ureteral disease	2/22	0.07025082205516801	0.527075931611956	0	0	4.944949494949495	13.132219639707378	CDH1;CLU
