Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
S/G2 Phase Transition	8/29	6.824299698598978E-8	4.449443403486534E-5	0	0	19.126739926739926	315.59486231240106	CDKN1C;CCNA2;CDKN1A;CCNB1;KAT5;CCP110;BTRC;RBX1
EZH2 Methyltransferase Role in Cancer	7/28	9.675468035326644E-7	2.620097366408474E-4	0	0	16.69309462915601	231.17435498351625	CDKN1C;CDKN1A;CCNB1;CDH1;CCNE1;TXNIP;CDC25C
Cell Cycle Overiew	12/107	1.4774797301532287E-6	2.620097366408474E-4	0	0	6.383528770111808	85.6999768557817	CDKN1C;CCNA2;CDKN2D;CCNB2;CCND3;CCNB1;CDKN1A;CDKN2B;CCNE1;BTRC;CDC25C;CENPA
G2/M Phase Transition	7/30	1.607421697183113E-6	2.620097366408474E-4	0	0	15.239964416768597	203.31452266495688	CCNB2;CCNB1;KIF20A;BTRC;CDC25C;CENPA;RBX1
SCF/SKP2 Complex	6/26	9.826014891336191E-6	0.0012813123418302394	0	0	14.986224489795918	172.79831842566477	CDKN1C;CCNA2;CDKN1A;BCL2L11;CCNE1;RBX1
HPV E1 and E2 Expression in Early Phase of Cancer	5/20	3.687237545938609E-5	0.004006798133253288	0	0	16.61323155216285	169.58866378754445	CCNA2;CCNB2;CDKN1A;CDH1;RBX1
G1/S Phase Transition	6/34	5.017490486161776E-5	0.004673433995682111	0	0	10.700072886297376	105.93067405975933	CDKN1C;CCNA2;CDKN1A;CCNB1;CCNE1;RBX1
HPV E4 Contribution to Life Cycle of Virus and Cell	3/8	4.0660389420468286E-4	0.033138217377681654	0	0	29.76759493670886	232.41559008863103	CCNA2;CCNB1;CCNE1
FOXM1 Signaling in Prostate Cancer	3/11	0.0011458780966104123	0.08301250210999876	0	0	18.601898734177215	125.96432056880414	CCNA2;CCNB1;CDKN1A
Genes with Mutations Associated with Osteopetrosis	3/12	0.00150538201817832	0.09815090758522646	0	0	16.534177215189874	107.45079933679885	PLEKHM1;TCIRG1;TNFRSF11A
DREAM Complex and FOXM1/MYBL2 Promote Cell Cycle Progression in Cancer	4/28	0.002166795103963559	0.1284318552531128	0	0	8.281725888324873	50.804298094356746	CCNA2;CDKN1A;CCNB1;CCNE1
G2/M Damage Checkpoint	3/17	0.004321924909294262	0.1942539193269124	0	0	10.626401446654612	57.85070749989131	CDKN1A;CCNB1;CDC25C
Androgen Receptor and Cell Cycle in Prostate Cancer	3/17	0.004321924909294262	0.1942539193269124	0	0	10.626401446654612	57.85070749989131	CDKN1A;CCNB1;CCNE1
G0/G1 Cell Cycle Phase Transition Activation in Cancer	5/54	0.004325411555809211	0.1942539193269124	0	0	5.076855169548735	27.634581675402476	CDKN1C;CCNA2;CDKN1A;CDKN2B;CCNE1
SCF/BTRC Complex	4/34	0.004469031886355347	0.1942539193269124	0	0	6.623350253807106	35.83618942607538	CCNB2;CCNB1;BTRC;RBX1
TP53 Signaling in Hepatocellular Carcinoma	3/19	0.0059801957732790005	0.22935809671634755	0	0	9.297151898734176	47.59492806357425	CDKN1A;CCND3;CCNE1
Osteoclasts Function in Osteopetrosis	3/19	0.0059801957732790005	0.22935809671634755	0	0	9.297151898734176	47.59492806357425	PLEKHM1;TCIRG1;TNFRSF11A
Cell Cycle Dysregulation in Melanoma	4/39	0.007333300539386563	0.2490850305973506	0	0	5.675707034082668	27.897970707251343	CCNA2;CDKN1A;CDKN2B;CCNE1
SCF/CCNF Complex	2/7	0.007764033189056902	0.2490850305973506	0	0	19.794949494949496	96.16887947813868	CCP110;RBX1
G0/G1 Phase Transition	4/40	0.008022677365865587	0.2490850305973506	0	0	5.517766497461929	26.625888854528945	CDKN1C;CCNA2;CDKN1A;CCNE1
Kinetochore Assembly	4/40	0.008022677365865587	0.2490850305973506	0	0	5.517766497461929	26.625888854528945	OIP5;CENPA;NDC80;ZWINT
TP53 Signaling in Pancreatic Neoplasms	3/22	0.009094878743860817	0.2571429257112932	0	0	7.827981345769487	36.791855185038	CDKN1A;CCND3;CCNE1
TNF-alpha/TNFRSF1B Signaling	3/22	0.009094878743860817	0.2571429257112932	0	0	7.827981345769487	36.791855185038	CEBPB;MAPKAPK2;MAP3K14
HPV Infection and Cancer	5/65	0.009465383768513861	0.2571429257112932	0	0	4.143765903307888	19.310421287714362	CCNA2;CCNB2;CDKN1A;CDH1;RBX1
Kruppel-like Factor 6 Signaling in Prostate Cancer	2/9	0.012963843633681194	0.3380970419664055	0	0	14.137806637806637	61.43712606759453	CDKN1A;CDH1
Cell Cycle Dysregulation in Mantle Cell Lymphoma	3/26	0.014482913680393871	0.363186912292954	0	0	6.4652724270776005	27.379043164189863	CCNA2;CCND3;CCNE1
Primary Mediastinal B-cell Lymphoma (PMBL) Subtype	3/29	0.019483951319322866	0.47050134297031515	0	0	5.71840311587147	22.52001021214076	CDKN2B;TNFRSF11A;MAP3K14
SCF/FBXO11 Complex	2/12	0.02285030700241779	0.5159116625836634	0	0	9.894949494949495	37.39094338751276	CDH1;RBX1
Genes with Mutations in Cancer-Associated Sustaining of Proliferative Signaling	6/112	0.024570085822547418	0.5159116625836634	0	0	2.8151713515594916	10.433660130055543	CDKN1C;CCNA2;CDKN1A;CDKN2B;CCNE1;MAP3K14
DNA Damage Checkpoint Impairment in Cancer	3/32	0.02532081779551722	0.5159116625836634	0	0	5.12605848974247	18.844049111297558	CDKN1A;MAPKAPK2;CDC25C
Lipogenesis/Lipolysis Activation in Cancer Cells and Cancer-Associated Adipocytes	3/32	0.02532081779551722	0.5159116625836634	0	0	5.12605848974247	18.844049111297558	CEBPB;DGAT1;AGPAT2
