Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cell cycle	11/124	3.8197821908388984E-5	0.007945146956944909	0	0	4.902220392856326	49.86897456580343	CDKN1C;CCNA2;CDKN2D;CCNB2;CCND3;CCNB1;CDKN1A;CDKN2B;CCNE1;CDC25C;RBX1
p53 signaling pathway	7/73	6.17635261840423E-4	0.06423406723140399	0	0	5.29923273657289	39.15927629006823	CCNB2;CDKN1A;CCND3;CCNB1;TP53I3;CCNE1;TNFRSF10B
Cellular senescence	9/156	0.004099396385090436	0.28422481603293687	0	0	3.062011436965532	16.83161824924443	CCNA2;CCNB2;CCND3;CCNB1;CDKN1A;CDKN2B;CCNE1;MAPKAPK2;BTRC
Glycerophospholipid metabolism	6/98	0.013583876078715591	0.5535009286358598	0	0	3.245896184560781	13.95369148280134	PGS1;CHKA;JMJD7-PLA2G4B;LPCAT3;PLA2G10;AGPAT2
Oocyte meiosis	7/129	0.014783153381383413	0.5535009286358598	0	0	2.8585803530250304	12.04682093891055	CCNB2;CCNB1;CCNE1;BTRC;CDC25C;REC8;RBX1
FoxO signaling pathway	7/131	0.015966372941419033	0.5535009286358598	0	0	2.8121854632456067	11.63477184387853	PLK4;CDKN2D;CCNB2;CCNB1;CDKN1A;CDKN2B;BCL2L11
Ubiquitin mediated proteolysis	7/140	0.022128198506420935	0.657523612762222	0	0	2.620675730246332	9.987139779287354	CDC34;HERC1;UBE2Q2;KEAP1;BTRC;CBL;RBX1
Human T-cell leukemia virus 1 infection	9/219	0.03173426299924112	0.7664308427689899	0	0	2.1364671318398827	7.371577165301844	CCNA2;CCNB2;CDKN1A;CDKN2B;CCND3;KAT5;CCNE1;TBPL1;MAP3K14
Arachidonic acid metabolism	4/61	0.03316287300442745	0.7664308427689899	0	0	3.481164841036602	11.857976431419765	CYP2U1;JMJD7-PLA2G4B;PTGES3;PLA2G10
Retinol metabolism	4/68	0.04652367623285461	0.9320101325570517	0	0	3.099302030456853	9.508019955255802	DGAT1;DHRS9;RDH13;DHRS3
Viral carcinogenesis	8/203	0.05080037974307943	0.9320101325570517	0	0	2.041499013806706	6.083363794767305	CCNA2;CDKN1A;CDKN2B;CCND3;CCNE1;MAPKAPK2;TBPL1;ATP6V0D1
Fat digestion and absorption	3/43	0.053769815339829906	0.9320101325570517	0	0	3.7143037974683546	10.857069798362614	DGAT1;PLA2G10;AGPAT2
Cell adhesion molecules	6/148	0.07574481451261499	0.9974281650890032	0	0	2.097585513078471	5.412578807110601	CDH3;CDH1;CLDN9;ESAM;CDH15;CLDN2
Arginine and proline metabolism	3/50	0.07728720120643594	0.9974281650890032	0	0	3.1599784540802585	8.090261873491674	P4HA2;SAT2;CKB
Gastric cancer	6/149	0.07767388481885255	0.9974281650890032	0	0	2.0828100470957613	5.322071590116962	APC2;CDKN1A;CDKN2B;CDX2;CDH1;CCNE1
Vitamin digestion and absorption	2/24	0.08180987489800805	0.9974281650890032	0	0	4.494949494949495	11.252464733056147	SLC46A1;SLC19A2
alpha-Linolenic acid metabolism	2/25	0.08779333444189662	0.9974281650890032	0	0	4.299297321036452	10.459200248496733	JMJD7-PLA2G4B;PLA2G10
Collecting duct acid secretion	2/27	0.10013015392054406	0.9974281650890032	0	0	3.9549494949494948	9.101463575738748	TCIRG1;ATP6V0D1
Endometrial cancer	3/58	0.10866857461717845	0.9974281650890032	0	0	2.699240506329114	5.990836437025115	APC2;CDKN1A;CDH1
Epstein-Barr virus infection	7/202	0.10958064426453813	0.9974281650890032	0	0	1.7817430651190242	3.9396023335512993	CCNA2;CDKN1A;CCND3;BCL2L11;CCNE1;ISG15;MAP3K14
Linoleic acid metabolism	2/29	0.1129124143598142	0.9974281650890032	0	0	3.6616161616161618	7.986507928557335	JMJD7-PLA2G4B;PLA2G10
Glycerolipid metabolism	3/61	0.12152393961197787	0.9974281650890032	0	0	2.5592317765168047	5.393949502906413	DGAT1;LIPG;AGPAT2
