Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Retinol	4/20	5.812771832380473E-4	0.031388967894854555	0	0	12.42766497461929	92.58961904320405	DGAT1;DHRS9;RDH13;DHRS3
Retinal	3/20	0.006932949344863715	0.1871896323113203	0	0	8.749813849590469	43.49943675633385	DHRS9;RDH13;DHRS3
Dihydroceramide	2/9	0.012963843633681194	0.23334918540626148	0	0	14.137806637806637	61.43712606759453	CERS5;DEGS1
Phosphatidylcholine	3/32	0.02532081779551722	0.24707146382498887	0	0	5.12605848974247	18.844049111297558	JMJD7-PLA2G4B;LPCAT3;PLA2G10
Phosphatidylethanolamine	3/32	0.02532081779551722	0.24707146382498887	0	0	5.12605848974247	18.844049111297558	JMJD7-PLA2G4B;LPCAT3;PLA2G10
Arachidonic Acid	3/33	0.027452384869443208	0.24707146382498887	0	0	4.954936708860759	17.814495020235462	CYP2U1;JMJD7-PLA2G4B;PLA2G10
alpha-Linolenic Acid	2/17	0.04411736228254256	0.29218704961334857	0	0	6.594949494949495	20.582190220957983	JMJD7-PLA2G4B;PLA2G10
1-Radyl-2-acyl-sn-glycero-3-phosphocholine	2/20	0.059289220959174736	0.29218704961334857	0	0	5.494949494949495	15.525033352532992	JMJD7-PLA2G4B;PLA2G10
1-Acyl-sn-glycero-3-phosphoethanolamine	2/21	0.06469118449219419	0.29218704961334857	0	0	5.205475810738968	14.253271245331554	LPCAT3;PLA2G10
1-Acyl-sn-glycero-3-phosphocholine	2/23	0.07595975517217837	0.29218704961334857	0	0	4.709235209235209	12.138296824433915	LPCAT3;PLA2G10
Linoleic Acid	2/24	0.08180987489800805	0.29218704961334857	0	0	4.494949494949495	11.252464733056147	JMJD7-PLA2G4B;PLA2G10
N-Acylsphingosine	2/24	0.08180987489800805	0.29218704961334857	0	0	4.494949494949495	11.252464733056147	CERS5;DEGS1
dIDP	1/5	0.09562679916877269	0.29218704961334857	0	0	12.341309823677582	28.968783356610405	NME6
dITP	1/5	0.09562679916877269	0.29218704961334857	0	0	12.341309823677582	28.968783356610405	NME6
3-Aminopropionaldehyde	1/6	0.11362829707185776	0.29218704961334857	0	0	9.872544080604534	21.47103306971816	AOC3
5,10-Methenyltetrahydrofolate	1/6	0.11362829707185776	0.29218704961334857	0	0	9.872544080604534	21.47103306971816	MTHFS
Pyruvaldehyde	1/6	0.11362829707185776	0.29218704961334857	0	0	9.872544080604534	21.47103306971816	AOC3
dATP	1/6	0.11362829707185776	0.29218704961334857	0	0	9.872544080604534	21.47103306971816	NME6
dGTP	1/6	0.11362829707185776	0.29218704961334857	0	0	9.872544080604534	21.47103306971816	NME6
dTDP	1/6	0.11362829707185776	0.29218704961334857	0	0	9.872544080604534	21.47103306971816	NME6
