Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cell Cycle R-HSA-1640170	29/654	5.3511523290867625E-5	0.022668132668934315	0	0	2.386267750677507	23.47040739538553	CDKN1C;MDC1;DIDO1;CDKN1A;CCP110;CENPA;CCNB2;CCND3;CCNB1;KAT5;TUBB3;OIP5;BTRC;PLK4;CDKN2D;CDKN2B;CDC25C;NDC80;REC8;ZWINT;RBX1;CCNA2;CCNE1;NUP50;TUBGCP5;TUBGCP6;TUBGCP3;CEP41;KIF20A
G2/M Transition R-HSA-69275	13/182	7.567459582999383E-5	0.022668132668934315	0	0	3.882717282717283	36.84336849107206	PLK4;CDKN1A;CCP110;CDC25C;RBX1;CCNA2;CCNB2;CCNB1;TUBGCP5;TUBGCP6;TUBGCP3;CEP41;BTRC
Mitotic G2-G2/M Phases R-HSA-453274	13/184	8.45825845855758E-5	0.022668132668934315	0	0	3.8369104579630897	35.9817104748397	PLK4;CDKN1A;CCP110;CDC25C;RBX1;CCNA2;CCNB2;CCNB1;TUBGCP5;TUBGCP6;TUBGCP3;CEP41;BTRC
Cell Cycle, Mitotic R-HSA-69278	24/523	1.412350616522392E-4	0.028388247392100076	0	0	2.4566351955247394	21.7782797037729	PLK4;CDKN1C;CDKN2D;CDKN1A;CDKN2B;CCP110;CDC25C;CENPA;NDC80;ZWINT;RBX1;CCNA2;CCNB2;CCND3;CCNB1;TUBB3;CCNE1;NUP50;TUBGCP5;TUBGCP6;TUBGCP3;CEP41;KIF20A;BTRC
Aberrant Regulation Of Mitotic G1/S Transition In Cancer Due To RB1 Defects R-HSA-9659787	4/17	2.993491780639981E-4	0.043173939441114265	0	0	15.297930495900038	124.12587589988782	CDKN1C;CDKN1A;CCND3;CCNE1
Cyclin D Associated Events In G1 R-HSA-69231	6/47	3.2219357791876316E-4	0.043173939441114265	0	0	7.30251368840219	58.71482449626152	CDKN1C;CDKN2D;CDKN1A;CCND3;CDKN2B;CCNE1
TP53 Regulates Transcription Of Cell Cycle Genes R-HSA-6791312	6/49	4.058117545090796E-4	0.046610378660757144	0	0	6.962149976269577	54.37175380670056	CCNA2;CDKN1A;CCNB1;CCNE1;TNKS1BP1;CDC25C
RHOBTB3 ATPase Cycle R-HSA-9706019	3/10	8.458093485392477E-4	0.08500383952819439	0	0	21.260397830018082	150.42191922627873	CCNE1;PLIN3;RAB9A
Mitotic Prometaphase R-HSA-68877	11/186	0.0012936462006213681	0.1128084041478665	0	0	3.1553636028054632	20.984084704028945	PLK4;CCNB2;CCNB1;TUBGCP5;CCP110;TUBGCP6;TUBGCP3;CEP41;CENPA;NDC80;ZWINT
Cyclin A/B1/B2 Associated Events During G2/M Transition R-HSA-69273	4/25	0.0014030896038291852	0.1128084041478665	0	0	9.46627991298042	62.18473693070075	CCNA2;CCNB2;CCNB1;CDC25C
TP53 Regulates Transcription Of Genes Involved In G1 Cell Cycle Arrest R-HSA-6804116	3/14	0.0024181527912596535	0.1767449858338874	0	0	13.526582278481012	81.49429470356112	CCNA2;CDKN1A;CCNE1
Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542	24/660	0.0035070107776961103	0.19769789569087734	0	0	1.913631318736757	10.817741071138963	FARP2;MTMR1;ARHGAP11B;DOCK4;ARPC4-TTLL3;CCP110;ARHGAP29;CDC42BPB;CDC25C;BAIAP2;CENPA;NDC80;ZWINT;SH3PXD2A;UBXN11;CCNE1;NOXA1;TRIP10;RHPN1;PLIN3;WDR6;RAB9A;CKB;RHPN2
Polo-like Kinase Mediated Events R-HSA-156711	3/16	0.00361205626576999	0.19769789569087734	0	0	11.444401168451801	64.35733895035808	CCNB2;CCNB1;CDC25C
Regulation Of KIT Signaling R-HSA-1433559	3/16	0.00361205626576999	0.19769789569087734	0	0	11.444401168451801	64.35733895035808	CBL;SH2B3;SH2B2
G2/M DNA Replication Checkpoint R-HSA-69478	2/5	0.003796144871025072	0.19769789569087734	0	0	32.994949494949495	183.90623439991566	CCNB2;CCNB1
