Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Myocardial Ischemia	15/176	1.2297510409589546E-12	7.071068485513989E-10	0	0	15.045820181244272	412.6197228352723	STAT5A;SOD2;TNF;CXCL2;CX3CL1;ICAM1;NFKBIA;CXCL10;IL1A;IL1B;IRF1;ID1;CCL4;CCL2;HSPA1A
Arsenic Encephalopathy	10/62	1.2952965577526187E-11	3.7239776035387786E-9	0	0	29.9984857662023	752.0529291747183	IL1A;CD83;CCL20;IL1B;CCL4;CXCL3;SOD2;CXCL2;TNF;HSPA1B
Cerebral Ischemia	10/67	2.9024148230622382E-11	5.562961744202623E-9	0	0	27.360132615002072	663.8359683206747	NFKBIA;IL1A;CXCL10;PLAU;IL1B;CCL4;CCL2;SOD2;TNF;ICAM1
Dermatologic Disorders	10/77	1.2116727242378307E-10	1.7417795410918816E-8	0	0	23.264778469855447	531.2244411178824	IL1A;CD83;CCL20;IL1B;CCL4;CXCL3;SOD2;TNF;CXCL2;HSPA1B
Marfan Syndrome	20/538	7.758218149626334E-10	8.921950872070284E-8	0	0	6.383856383856384	133.91478252700952	STAT5A;CSF3;CSF2;CXCL8;CSF1;FKBPL;CCL20;FOS;CXCL3;SOD2;TNF;DKK1;CXCL2;THBS1;NFKBIA;RGS2;IL1B;CYP1A1;CYP1B1;HSPA1B
Mammary Neoplasms	20/552	1.208610589377711E-9	1.1417484002988661E-7	0	0	6.211361737677527	127.54282492978562	STAT5A;CSF3;CSF2;CXCL8;CSF1;FKBPL;CCL20;FOS;CXCL3;SOD2;TNF;DKK1;CXCL2;THBS1;NFKBIA;RGS2;IL1B;CYP1A1;CYP1B1;HSPA1B
Bright Disease	7/31	1.3899545742768805E-9	1.1417484002988661E-7	0	0	44.510576923076925	907.7484730107016	CXCL8;CCL5;IL1B;CCL4;CCL2;ADM;TNF
Cerebral Infraction	7/34	2.7954198442778224E-9	2.0092080130746848E-7	0	0	39.55897435897436	779.1252161163767	PLAU;IL1B;CCL2;FOS;SOD2;CXCL2;ICAM1
Cerebral Thrombosis	7/36	4.2886003278731845E-9	2.739939098363423E-7	0	0	36.827055702917775	709.558129989495	PLAU;IL1B;CCL2;FOS;SOD2;CXCL2;ICAM1
Alveolitis	9/83	5.451561175497055E-9	3.1346476759108064E-7	0	0	18.802892736486488	357.7694808728992	CSF3;CXCL8;CSF2;IL1B;CCL5;CCL4;CCL2;TNF;CXCL2
