Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cercopithecine betaherpesvirus 5 chemokine vCXCL5 (gene: UL146B)	10/69	3.9337835269976333E-11	3.8551078564576805E-8	0	0	26.43000133457894	633.2320233344115	CXCL8;CCL22;CCL5;CCL4;CCL2;CXCL1;CXCL3;CXCL2;CX3CL1;CXCL5
Vaccinia virus chemokine binding protein (gene: C23L)	9/57	1.7336851377986971E-10	5.6633714501424107E-8	0	0	29.02587890625	652.3740918235283	CXCL8;CCL22;CCL5;CCL4;CCL2;CXCL1;CXCL3;CX3CL1;CXCL5
Vaccinia virus Ankara viral chemokine binding protein	9/57	1.7336851377986971E-10	5.6633714501424107E-8	0	0	29.02587890625	652.3740918235283	CXCL8;CCL22;CCL5;CCL4;CCL2;CXCL1;CXCL3;CX3CL1;CXCL5
Cercopithecine betaherpesvirus 5 chemokine vCXCL10 (gene: UL146G)	10/96	1.1161620265481653E-9	2.3160451568389139E-7	0	0	18.107489470792896	373.2563765829325	CXCL8;CCL22;CCL5;CCL4;CCL2;CXCL1;CXCL3;CXCL2;CX3CL1;CXCL5
Cowpox virus CrmD or CPXV221 protein (gene: CrmD)	8/48	1.181655692264752E-9	2.3160451568389139E-7	0	0	30.733333333333334	631.7651337056893	CCL22;TNFSF14;CCL5;CCL4;CCL2;TNF;CX3CL1;CXCL5
Variola virus chemokine binding protein (gene: G5R)	8/51	1.959946934709562E-9	3.201246660025618E-7	0	0	28.584820623760592	573.135613549796	CXCL8;CCL22;CCL5;CCL4;CCL2;CXCL1;CX3CL1;CXCL5
Variola virus hypothetical protein (gene: G4R)	8/57	4.913863598550551E-9	5.350651473977266E-7	0	0	25.07704477139693	479.7540923643857	CCL22;TNFSF14;CCL5;CCL4;CCL2;TNF;CX3CL1;CXCL5
Ectromelia virus ERPV tumor necrosis factor receptor	8/57	4.913863598550551E-9	5.350651473977266E-7	0	0	25.07704477139693	479.7540923643857	CCL22;TNFSF14;CCL5;CCL4;CCL2;TNF;CX3CL1;CXCL5
Horsepox virus HSPV003 (Tumor necrosis factor receptor superfamily members)	8/57	4.913863598550551E-9	5.350651473977266E-7	0	0	25.07704477139693	479.7540923643857	CCL22;TNFSF14;CCL5;CCL4;CCL2;TNF;CX3CL1;CXCL5
Human gammaherpesvirus 8 K6 (gene: K6)	8/62	9.77003301553098E-9	9.087104857163152E-7	0	0	22.74935400516796	419.5878566155841	CXCL8;CCL22;CCL5;CCL4;CCL2;CXCL3;CX3CL1;CXCL5
Cercopithecine betaherpesvirus 5 chemokine vCXCL9 (gene: UL146F)	8/63	1.1127067172036512E-8	9.087104857163152E-7	0	0	22.334601832276253	409.03333423299273	CXCL8;CCL22;CCL5;CCL4;CCL2;CXCL1;CXCL3;CXCL5
Monkeypox virus Zaire-96-I-16 J2L (gene: J2L)	8/63	1.1127067172036512E-8	9.087104857163152E-7	0	0	22.334601832276253	409.03333423299273	CCL22;TNFSF14;CCL5;CCL4;CCL2;TNF;CX3CL1;CXCL5
Cowpox virus CrmB or CPXV005 protein (gene: crmB)	8/66	1.621988949063224E-8	1.12171834090951E-6	0	0	21.176156107992515	379.83729660139966	CCL22;TNFSF14;CCL5;CCL4;CCL2;TNF;CX3CL1;CXCL5
Human betaherpesvirus 5 chemokine vCXCL1 (gene: UL146)	10/127	1.7294288044963505E-8	1.12171834090951E-6	0	0	13.288915808600848	237.51132462952563	CXCL8;CCL22;CCL5;CCL4;CCL2;CXCL1;CXCL3;CXCL2;CX3CL1;CXCL5
Cercopithecine betaherpesvirus 5 chemokine vCXCL2 (gene: UL147)	10/127	1.7294288044963505E-8	1.12171834090951E-6	0	0	13.288915808600848	237.51132462952563	CXCL8;CCL22;CCL5;CCL4;CCL2;CXCL1;CXCL3;CXCL2;CX3CL1;CXCL5
Monkeypox virus TNF-alpha-receptor-like protein	8/67	1.8313768831175673E-8	1.12171834090951E-6	0	0	20.816187097621864	370.85312649049064	CCL22;TNFSF14;CCL5;CCL4;CCL2;TNF;CX3CL1;CXCL5
Human betaherpesvirus 5 chemokine vCXCL2 (gene: UL147)	10/131	2.3306002816435097E-8	1.3435225153003763E-6	0	0	12.847009826251057	225.7804792090047	CXCL8;CCL22;CCL5;CCL4;CCL2;CXCL1;CXCL3;CXCL2;CX3CL1;CXCL5
Monkeypox virus chemokine-binding protein	7/46	2.5976331166343182E-8	1.414266919056462E-6	0	0	27.370414201183433	478.0538455296257	CCL22;CCL5;CCL4;CCL2;CXCL1;CX3CL1;CXCL5
Monkeypox virus Zaire-96-I-16 chemokine binding protein (gene: J1L)	7/47	3.034893899177143E-8	1.5653663269440003E-6	0	0	26.684807692307693	461.92747774563884	CCL22;CCL5;CCL4;CCL2;CXCL1;CX3CL1;CXCL5
Human gammaherpesvirus 8 K4.1 (gene: K4.1)	10/137	3.578825368657411E-8	1.7536244306421314E-6	0	0	12.236344472688945	209.80003196831322	CXCL8;CCL22;CCL5;CCL4;CCL2;CXCL1;CXCL3;CXCL2;CX3CL1;CXCL5
Molluscum contagiosum virus subtype 1 MC148R (gene: MC148R)	10/141	4.7088430343507246E-8	2.1974600826970047E-6	0	0	11.860311354210495	200.09814161661976	CXCL8;CCL22;CCL5;CCL4;CCL2;CXCL1;CXCL3;CXCL2;CXCL5;CX3CL1
Horsepox virus HSPV002 (chemokine binding protein; Provisional)	6/45	6.05158803567082E-7	2.6957073977079108E-5	0	0	23.28126834997064	333.3359602761352	CCL22;CCL5;CCL4;CCL2;CX3CL1;CXCL5
Cowpox virus CPXV014 protein (gene: CPXV014 CDS)	5/27	1.002232292242744E-6	4.27038107129517E-5	0	0	34.16150137741047	471.88240949012146	CCL22;CCL5;CCL4;CCL2;CX3CL1
Monkeypox virus bifunctional EEV membrane phosphoglycoprotein/associates with A36R	5/44	1.2279917527594321E-5	4.813727670816974E-4	0	0	19.254079254079254	217.7163743622897	CCL22;CCL5;CCL4;CXCL3;CXCL5
