Source,Target,Pvalue_Adjusted
ADM,Inflammation,2.8114433253573326e-17
ADM,Reperfusion Injury,4.4398736172867135e-14
ADM,Asthma,1.803641225501291e-12
ADM,Multiple Myeloma,2.5279022064249716e-11
ADM,Virus Diseases,6.332483647919588e-11
ADM,Dermatitis Atopic,7.448716379948652e-11
ADM,Chronic Obstructive Airway Disease,1.3121548808139071e-10
ADM,Rheumatoid Arthritis,1.9241179247341838e-10
ADM,Arteriosclerosis,2.377251819497684e-10
ADM,Autoimmune Diseases,5.452288254986118e-10
ADM,Uveitis,6.429879513246633e-10
ADM,Ovarian Carcinoma,6.870627395110916e-10
ADM,cervical cancer,1.1722433847661196e-09
ADM,Infection,1.794870341379274e-09
ADM,Malignant neoplasm of ovary,1.971893171900314e-09
ADM,Colitis,1.971893171900314e-09
ADM,Pancreatitis Chronic,2.219129913614883e-09
ADM,Tumor Angiogenesis,3.315537369635636e-09
ADM,Malignant tumor of cervix,3.683115069310663e-09
ADM,Lung Neoplasms,4.367699208727405e-09
ADM,Cerebral Ischemia,4.756590990483e-09
ADM,Neoplasm Metastasis,5.670785186683756e-09
ADM,Atherosclerosis,7.195555613367576e-09
ADM,Pulmonary Fibrosis,7.547641288501485e-09
ADM,Leukemia Myelocytic Acute,8.303910954283738e-09
ADM,Glomerulonephritis,1.0368326871660785e-08
ADM,Hypertensive disease,1.0368326871660785e-08
ADM,Vascular Diseases,1.4920329017331753e-08
ADM,Eczema,1.4920329017331753e-08
ADM,Cervix carcinoma,1.5572986293211266e-08
ADM,Cerebrovascular accident,2.0570601164639797e-08
ADM,Degenerative polyarthritis,2.1034803123367165e-08
ADM,Obesity,2.412608431251415e-08
ADM,Hyperglycemia,4.0898524252942674e-08
ADM,Liver neoplasms,4.3069383556698336e-08
ADM,Mammary Neoplasms,4.65353219894153e-08
ADM,Bright Disease,5.3111708677091025e-08
ADM,Glioblastoma,5.518991037343798e-08
ADM,leukemia,5.784935444423772e-08
ADM,Diabetes Mellitus,5.8317433871210796e-08
ADM,Diabetes,6.156981490555128e-08
ADM,Lupus Erythematosus Systemic,6.156981490555128e-08
ADM,Ischemic stroke,6.156981490555128e-08
ADM,Pancreatic carcinoma,6.982287075725826e-08
ADM,Coronary Artery Disease,8.598175402882612e-08
ADM,Alzheimer's Disease,9.273260676030806e-08
ADM,Adenocarcinoma of pancreas,9.306686765839445e-08
ADM,Encephalitis,1.3150328464481586e-07
ADM,Glioma,1.427432458937347e-07
ADM,Epithelial ovarian cancer,1.479813245926713e-07
ADM,Malignant neoplasm of pancreas,1.4925759778299788e-07
ADM,Pain,1.6759866477134858e-07
ADM,Malignant neoplasm of mouth,2.0279723135488897e-07
ADM,Myocardial Infarction,2.247163660896597e-07
ADM,Cerebral Infarction,2.419125491442217e-07
ADM,Hepatitis C Chronic,2.46778041958494e-07
ADM,Anoxia,2.911052249927245e-07
ADM,Brain Neoplasms,4.157277636684319e-07
ADM,Gastric ulcer,4.312772724439924e-07
ADM,Cardiovascular Diseases,4.5433391667148853e-07
ADM,Septicemia,5.254943571583271e-07
ADM,Sepsis,5.313225371508493e-07
ADM,Malignant neoplasm of lung,6.299208964864026e-07
ADM,Middle Cerebral Artery Occlusion,6.805796735296268e-07
ADM,Diabetes Mellitus Insulin-Dependent,6.851652105457608e-07
ADM,Severe Sepsis,7.873224494781308e-07
ADM,Ureteral obstruction,7.99548070959303e-07
ADM,Tumor Progression,8.297823048747685e-07
ADM,Malignant neoplasm of breast,8.660170029731726e-07
ADM,Bladder Neoplasm,9.822463166680949e-07
ADM,Diabetic Nephropathy,1.083280646968723e-06
ADM,Liver carcinoma,1.3079916134634371e-06
ADM,Colonic Neoplasms,1.4185164995612263e-06
ADM,Carcinogenesis,1.51758575162775e-06
ADM,Lung Diseases Interstitial,1.6231490275716298e-06
ADM,Endometrial Neoplasms,1.6397478315149087e-06
ADM,Hyperalgesia Secondary,1.9581146391906144e-06
