Id,Type
Atrial Premature Complexes,Disease
Primary angle-closure glaucoma,Disease
Gestational Diabetes,Disease
Chronic heart failure,Disease
Viral myocarditis,Disease
Arthritis,Disease
MALT lymphoma ORPHA:52417,Disease
Autoimmune thyroid disease,Disease
Arsenic Encephalopathy,Disease
Nephrotic Syndrome Minimal Change,Disease
Gastric ulcer,Disease
Arterial Diseases Common Carotid,Disease
Neutropenia,Disease
Astrocytoma low grade,Disease
Monkeypox virus bifunctional EEV membrane phosphoglycoprotein/associates with A36R,Pathogen
Progressive cGVHD,Disease
Colonic Neoplasms,Disease
Injuries Acute Brain,Disease
Gingival Diseases,Disease
Cardiomyopathy Familial Idiopathic,Disease
Megaconial Myopathies,Disease
Renal carcinoma,Disease
Situs Inversus,Disease
Pneumonia,Disease
Colorectal Neoplasms,Disease
Human anaplasmosis due to Anaplasma phagocytophilum,Disease
Primary malignant neoplasm of lung,Disease
Invasive aspergillosis,Disease
Coronary heart disease,Disease
Toxic Shock Syndrome,Disease
Subarachnoid Hemorrhage,Disease
Malignant Head and Neck Neoplasm,Disease
SDC4,Gene
IL23A,Gene
Mumps,Disease
Carcinoma of lung,Disease
DOSAGE-SENSITIVE SEX REVERSAL,Disease
Acute Promyelocytic Leukemia,Disease
Malaria Falciparum,Disease
Asthma,Disease
Reis-Bucklers corneal dystrophy ORPHA:98961,Disease
Incontinentia Pigmenti Achromians,Disease
Allergic Conjunctivitis,Disease
Retinal Diseases,Disease
Myocardial Ischemia,Disease
Cryopyrin-Associated Periodic Syndromes,Disease
NFKBIZ,Gene
Carcinomatosis,Disease
Steatohepatitis,Disease
Childhood asthma,Disease
Alopecia Areata,Disease
Postherpetic neuralgia,Disease
Dermatitis Atopic,Disease
Senile dementia,Disease
Arthritis Infectious,Disease
Inflammatory polyarthritis,Disease
Urinary tract infection,Disease
Amyotrophic Lateral Sclerosis With Dementia,Disease
MELAS Syndrome,Disease
Pneumocystis jiroveci pneumonia,Disease
Molluscum contagiosum virus subtype 1 MC148R (gene: MC148R),Pathogen
Graves Disease,Disease
Thyroid Carcinoma,Disease
Soft Tissue Neoplasms,Disease
Spontaneous abortion,Disease
Liver carcinoma,Disease
Salmonella infections,Disease
Kidney Diseases,Disease
Obstructive nephropathy,Disease
Rabies (disorder),Disease
Mouth Neoplasms,Disease
Uveal melanoma,Disease
Lymphoma,Disease
Cardiac Arrest,Disease
SNORD14C,Gene
Leukemogenesis,Disease
Behcet Syndrome,Disease
Scrub Typhus,Disease
Adenocarcinoma,Disease
Hemolytic-Uremic Syndrome,Disease
Hemangiosarcoma,Disease
Clear Cell Sarcoma of Soft Tissue,Disease
Cowpox,Disease
Pleural Tuberculosis,Disease
Bronchiolitis Viral,Disease
Cystitis,Disease
Meningococcal Infections,Disease
Guillain-Barre Syndrome Familial,Disease
Angina Unstable,Disease
Leukemia Large Granular Lymphocytic,Disease
Invasive carcinoma of breast,Disease
Experimental Lung Inflammation,Disease
Pneumonia Bacterial,Disease
Alveolitis,Disease
Dermatologic Disorders,Disease
Leishmaniasis New World,Disease
Candidiasis,Disease
End Stage Liver Disease,Disease
NR4A3,Gene
Carcinoma of bladder,Disease
CSF3,Gene
FOS,Gene
Albuminuria,Disease
Vascular Diseases,Disease
Diabetic Retinopathy,Disease
Arteriosclerotic cardiovascular disease NOS,Disease
Liver diseases,Disease
Lupus Erythematosus Discoid,Disease
Visual seizure,Disease
Medulloblastoma,Disease
Oestrogen deficiency,Disease
Rhinitis,Disease
Nephropathia Epidemica,Disease
SPONDYLOCARPOTARSAL SYNOSTOSIS SYNDROME,Disease
Hemolytic Uremic Syndrome,Disease
Charcot-Marie-Tooth disease type 1D ORPHA:101084,Disease
Ovarian Carcinoma,Disease
Spinal Cord Compression,Disease
Cerebral Thrombosis,Disease
L3MBTL1,Gene
SPG7,Gene
Helicobacter-associated gastritis,Disease
Cercopithecine betaherpesvirus 5 chemokine vCXCL9 (gene: UL146F),Pathogen
Extramedullary Hematopoiesis (disorder),Disease
Glioblastoma,Disease
ID1,Gene
Lymphoma Follicular,Disease
MIR4492,Gene
Sinusitis,Disease
Cystic Fibrosis,Disease
Colon Carcinoma,Disease
Arsenic Poisoning Inorganic,Disease
Suffering Physical,Disease
Chronic Kidney Diseases,Disease
Uveomeningoencephalitic Syndrome,Disease
Oxalosis,Disease
Multinodular goiter,Disease
Stage IV Ovarian Carcinoma,Disease
Hairy Cell Leukemia,Disease
Biliary Atresia,Disease
Gastritis Atrophic,Disease
Coprophilia (disorder),Disease
Severe Bronchopulmonary Dysplasia,Disease
Chronic Airflow Obstruction,Disease
Ischemic stroke,Disease
Papillary thyroid carcinoma,Disease
Diabetes,Disease
Infections specific to perinatal period,Disease
Osteoporosis,Disease
TNF,Gene
Neutrophilia (disorder),Disease
Pleural Effusion Malignant,Disease
RND1,Gene
Psoriasis,Disease
Arteriovenous hemangioma,Disease
Quebec platelet disorder ORPHA:220436,Disease
Oligoarticular Juvenile Idiopathic Arthritis,Disease
Brain Edema,Disease
Lymphoma AIDS-Related,Disease
CARCINOMA OF VULVA,Disease
Ovarian adenocarcinoma,Disease
MIR616,Gene
Amyotrophic Lateral Sclerosis Sporadic,Disease
Hodgkin Disease,Disease
Cryptosporidiosis,Disease
Shock,Disease
Metastatic melanoma,Disease
Autosomal recessive mendelian susceptibility to mycobacterial diseases due to partial JAK1 deficiency ORPHA:574957,Disease
Celiac Disease,Disease
Trisomy,Disease
Chronic synovitis,Disease
Cachexia,Disease
Hepatitis Alcoholic,Disease
Malignant neoplasm of endometrium,Disease
Autoimmune Hepatitis,Disease
Lung Injury,Disease
PTAFR,Gene
Cardiomegaly,Disease
Erythema Multiforme,Disease
Immunologic Deficiency Syndromes,Disease
FOXJ1,Gene
Peritonitis,Disease
Inflammatory Bowel Diseases,Disease
Acute colitis,Disease
INHBC,Gene
Childhood Acute Lymphoblastic Leukemia,Disease
Chronic lymphoproliferative disorder of natural killer cells ORPHA:512017,Disease
Infarction,Disease
HIV-Associated Lipodystrophy Syndrome,Disease
UNC13A,Gene
Silicosis,Disease
Malignant neoplasm of esophagus,Disease
HSPA6,Gene
Lymphangioleiomyomatosis,Disease
Malignant neoplasm of liver,Disease
Left ventricular systolic dysfunction,Disease
External Carotid Artery Diseases,Disease
Acute Chest Syndrome,Disease
Paget Disease,Disease
Amyotrophic Lateral Sclerosis,Disease
Familial M??ni??re disease,Disease
Mammary Neoplasms Human,Disease
Myelofibrosis,Disease
Severe Aplastic Anemia,Disease
Neoplasm Invasiveness,Disease
Chronic Neutrophilic Leukemia,Disease
