Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Inflammation	29/429	8.175176869314723E-21	2.811443325357333E-17	0	0	13.065439814814814	604.3181996470422	SERPINA3;CSF2;CD83;CXCL8;CSF1;RASL11B;TNFAIP3;ADM;CXCL1;TNF;CXCL2;THBS1;CX3CL1;ICAM1;PLAU;CCL5;CCL4;BDKRB2;CCL2;TNFSF14;CCL20;LIF;CXCL10;IL1A;CXCL11;IL23A;IL1B;IRF1;MASP2
Pneumonia	29/497	4.641382062590705E-19	7.980856456624717E-16	0	0	11.128027065527066	469.75969838759556	CSF3;CSF2;CXCL8;PTAFR;CXCL1;TNF;CXCL2;CXCL5;CX3CL1;ICAM1;PLAU;CCL5;CCL4;CCL2;CCL22;CCL20;FOS;TICAM1;NFKBIA;CXCL10;IL1A;IL23A;IL1B;CYP1A1;MASP2;CFB;HSPA1B;BIRC3;HSPA1A
Reperfusion Injury	16/110	3.873108709467909E-17	4.439873617286713E-14	0	0	27.80938983646914	1050.913758198579	CXCL8;ADM;CXCL1;FOS;TICAM1;SOD2;ETS1;TNF;CXCL2;THBS1;ICAM1;IL1A;PLAU;IL1B;CCL2;HSPA1A
Asthma	39/1313	2.097867084037558E-15	1.8036412255012907E-12	0	0	5.806643065389421	196.2520817578409	SERPINA3;CSF3;OXTR;CSF2;CXCL8;SDC4;PTAFR;TNFAIP3;ADM;CXCL1;ETS1;TNF;THBS1;CXCL5;CX3CL1;ICAM1;RGS2;PLAU;CCL5;BDKRB2;CCL2;POTEF;STAT5A;CCL22;TNFSF14;CCL20;LIF;FOS;SOD2;DKK1;CXCL10;IL1A;CXCL11;NR4A3;IL23A;IL1B;IRF1;LTB;BIRC3
Psoriasis	31/818	4.533600688556713E-15	3.118210553589307E-12	0	0	7.088729591714416	234.12131470800736	CSF3;CSF2;CXCL8;TNFAIP3;CXCL1;ETS1;TNF;CX3CL1;ICAM1;PLAU;DNAJB4;CCL5;NFKBIZ;CCL4;CCL2;CCL22;CCL20;FOS;SOD2;DKK1;NFKBIA;CXCL10;IL1A;CXCL11;IL23A;IL1B;IRF1;ID1;CYP1A1;MASP2;CFB
Familial M??ni??re disease	15/125	7.49840747079825E-15	3.861499575207375E-12	0	0	22.078614008941877	718.0867349178556	CSF2;CXCL8;TNFAIP3;CXCL1;FOS;SOD2;ICAM1;NFKBIA;CXCL10;IL1A;IL1B;CCL5;CCL4;CCL2;HSPA1A
Juvenile arthritis	21/326	7.859987504056884E-15	3.861499575207375E-12	0	0	11.608762012436404	377.0176637904651	DUSP2;CSF2;CD83;CXCL8;CCL20;PLK2;HSPA6;TNFAIP3;CXCL1;FOS;TNF;THBS1;ICAM1;CXCL10;IL1A;CXCL11;NR4A3;IL1B;IRF1;CCL5;MIR22HG
Lymphoma	38/1307	1.049241451151828E-14	4.5104266881389206E-12	0	0	5.624185113546815	181.0319668568675	CSF3;CSF2;CXCL8;CSF1;TNFAIP3;SPG7;ETS1;TNF;THBS1;CX3CL1;ICAM1;HSPH1;PLAU;CCL5;CCL4;CYP1B1;CCL2;STAT5A;TNFSF14;PLK2;LIF;FOS;SOD2;RCAN1;CXCL10;IL1A;CXCL11;NR4A3;MAFB;IL1B;IRF1;ID1;MIR17HG;CYP1A1;LTB;HSPA1B;BIRC3;HSPA1A
Multiple Myeloma	37/1312	6.615620778663781E-14	2.5279022064249713E-11	0	0	5.3941647058823525	163.695409132682	CSF3;CSF2;CD83;CXCL8;TNFAIP3;ADM;SPG7;TNF;THBS1;ICAM1;CCL5;CCL4;CYP1B1;CCL2;POTEF;STAT5A;DUSP2;TNFSF14;CCL20;PLK2;LIF;FOS;SOD2;DKK1;NFKBIA;CXCL10;IL1A;CXCL11;MAFB;IL23A;IL1B;IRF1;ID1;MIR17HG;HSPA1B;BIRC3;HSPA1A
Virus Diseases	30/875	1.8413735527535877E-13	6.332483647919588E-11	0	0	6.310236133384947	185.03564995003603	OXTR;CSF2;CD83;CXCL8;ADM;CXCL1;SPG7;TNF;CXCL2;THBS1;CXCL5;CX3CL1;ICAM1;CCL5;CCL2;POTEF;HS3ST3B1;FOXJ1;FOS;TICAM1;NFKBIA;CXCL10;IL1A;CXCL11;IL23A;IL1B;IRF1;CYP1A1;MASP2;BIRC3
