Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Charcot-Marie-Tooth disease type 1D ORPHA:101084	14/101	7.856467110538157E-15	3.598261936626476E-12	0	0	25.872722175497618	840.2797657021989	DUSP2;CD83;CXCL8;CCL22;TNFAIP3;FOS;TNF;STX11;ICAM1;NFKBIA;CXCL10;NR4A3;NFKBIZ;CCL4
Charcot-Marie-Tooth disease type 4E ORPHA:99951	14/101	7.856467110538157E-15	3.598261936626476E-12	0	0	25.872722175497618	840.2797657021989	DUSP2;CD83;CXCL8;CCL22;TNFAIP3;FOS;TNF;STX11;ICAM1;NFKBIA;CXCL10;NR4A3;NFKBIZ;CCL4
Nasopharyngeal carcinoma ORPHA:150	13/101	2.000442343352539E-13	6.108017288369751E-11	0	0	23.55892595307918	688.8685990922271	CXCL8;TNFAIP3;TNF;STX11;ICAM1;NFKBIA;IL1B;IRF1;CCL5;NFKBIZ;CCL4;LTB;BIRC3
Systemic-onset juvenile idiopathic arthritis ORPHA:85414	12/104	6.6146589102262495E-12	1.514756890441811E-9	0	0	20.630608695652175	531.0676182524505	NFKBIA;CXCL10;CXCL8;CCL20;IL1B;TNFAIP3;CCL2;CXCL1;TICAM1;CXCL3;CXCL2;ICAM1
Hereditary pediatric Behcet-like disease ORPHA:476102	11/101	9.758417269760736E-11	1.787742043820167E-8	0	0	19.18015873015873	442.108524035035	STAT5A;NFKBIA;CXCL8;IRF1;NFKBIZ;CCL4;TNFAIP3;TNF;STX11;ICAM1;BIRC3
Autosomal dominant hyper-IgE syndrome ORPHA:2314	9/101	3.121907446003804E-8	2.859667220539484E-6	0	0	15.11030910326087	261.13993653872126	STAT5A;NFKBIA;IRF1;NFKBIZ;TNFAIP2;TNFAIP3;STX11;ICAM1;BIRC3
NON RARE IN EUROPE: Psoriatic arthritis ORPHA:40050	9/101	3.121907446003804E-8	2.859667220539484E-6	0	0	15.11030910326087	261.13993653872126	NFKBIA;TNFSF14;IRF1;CCL5;CCL4;TNFAIP3;LTB;TNF;STX11
Chronic lymphoproliferative disorder of natural killer cells ORPHA:512017	9/101	3.121907446003804E-8	2.859667220539484E-6	0	0	15.11030910326087	261.13993653872126	STAT5A;NFKBIA;IRF1;NFKBIZ;TNFAIP2;TNFAIP3;STX11;ICAM1;BIRC3
STAT3-related early-onset multisystem autoimmune disease ORPHA:438159	9/101	3.121907446003804E-8	2.859667220539484E-6	0	0	15.11030910326087	261.13993653872126	STAT5A;NFKBIA;IRF1;NFKBIZ;TNFAIP2;TNFAIP3;STX11;ICAM1;BIRC3
T-cell large granular lymphocyte leukemia ORPHA:86872	9/101	3.121907446003804E-8	2.859667220539484E-6	0	0	15.11030910326087	261.13993653872126	STAT5A;NFKBIA;IRF1;NFKBIZ;TNFAIP2;TNFAIP3;STX11;ICAM1;BIRC3
